Countries,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
Australia,12202042,12391833,12623430,12895524,13180609,13386329,13565041,13755314,13953503,14123107,14292318,14470905,14689310,14886219,15083887,15231645,15532115,15725666,15909989,16090990,16265767,16439920,16620300,16803915,16991355,17196311
Austria,5085034,5093202,5098762,5115121,5125754,5146399,5184364,5209025,5242298,5285847,5342640,5408975,5442187,5462438,5478294,5490075,5492410,5485990,5475851,5460982,5442480,5419883,5393378,5364702,5335076,5306807
Belgium,6252984,6303499,6363858,6420877,6472135,6532025,6583735,6612231,6629549,6641189,6655677,6670757,6683872,6697185,6711534,6722542,6705826,6703936,6704137,6701834,6699047,6697186,6694504,6690195,6683990,6678904
Canada,20156044,20392578,20614243,20838716,21083635,21329825,21519075,21701350,21871046,22024212,22093877,22238852,22407551,22636959,22877292,23029860,22946000,23025300,23095900,23169400,23234400,23302200,23388500,23478000,23576500,23692900
Chile,9412594,9561664,9716637,9882497,10058845,10234622,10417615,10591140,10742711,10893208,11035437,11175921,11361869,11603658,11859855,12101594,12231194,12296489,12338535,12369083,12390564,12406548,12421636,12439055,12459150,12477924
Colombia,22726907,23189434,23648850,24112574,24578125,25044127,25521728,25997869,26470702,26934530,27386815,27820263,28240775,28645355,29032686,29400955,29646594,29752321,29785928,29838608,29967528,30192390,30371957,30548330,30772022,31067146
Costa Rica,2350856,2421056,2484770,2546427,2609813,2672798,2731877,2789640.505,2846552.92,2900423.925,2952723.821,3002471.47,3047089.675,3088128.833,3126557.188,3164759.949,3199471.856,3229406.794,3253699.235,3278732.362,3299891.479,3319039.789,3337838.282,3358521.064,3378989.415,3397507.265
Czech Republic,6619728,6655400,6702423,6772342,6798207,6795111,6735476,6698544,6650881,6611239,6564446,6511153,6456647,6417087,6386515,6355503,6321385,6288791,6260135,6238479,6222971,6211191,6204672,6197416,6183210,6168405
Denmark,3272070,3273133,3274986,3278627,3279955,3273643,3266671,3261534,3266220,3280409,3304273,3328948,3348443,3359610,3370577,3366856,3373928,3377266,3382755,3387692,3390664,3391930,3391656,3388065,3380557,3369964
Estonia,820090,815320,812460,814225,817765,819915,818356,813823,807990,801091,795860,791122,786678,784837,782695,778859,774904,770064,765100,760084,755437,751375,748329,746553,745253,744289
Finland,3179792,3184138,3190226,3204325,3213966,3216246,3209677,3200625,3191266,3181664,3172094,3163744,3153906,3141007,3130495,3122540,3110816,3101499,3095340,3091094,3086487,3082536,3079171,3075832,3073514,3073070
