fw,dw,prod,u,v
314544.22,2187414.8,105.191,1.7572725,1.7795464
315697.81,2195386.3,103.201,1.7337416,1.7327827
318677.81,2205787.3,104.604,1.6971315,1.7640802
327995.31,2213858.8,105.148,1.7384939,1.7134207
336515.53,2206851.5,100.806,1.6947998,1.6839685
339671.72,2220332.3,103.154,1.6745946,1.6109076
344282.5,2231751.5,104.145,1.7018951,1.4119489
349872.56,2230359.5,99.868,1.6734371,1.4648321
349853.91,2238729,99.732,1.6985437,1.2925316
351874.72,2253051.3,98.833,1.7172191,1.4546671
355349.19,2256010.8,99.752,1.7258173,1.4509839
357439.34,2263393.8,102.495,1.8059547,1.4404721
351895.59,2268671.5,98.9,1.8335472,1.5011312
352116.19,2263033.8,102,1.8542446,1.5025526
352917.25,2268901.8,98.6,1.902799,1.508077
355784.75,2268396.3,99.8,1.9123935,1.5969626
359618.09,2258198,97.7,1.8231528,1.4701146
362073.06,2262367,99.8,1.8920511,1.3747628
366030.03,2267521,98.5,1.8839622,1.262525
365468.16,2266434.8,102,1.8386199,1.3465819
367413.09,2264267,102.8,1.8802844,1.4555027
367153.13,2276366,100.5,1.8852196,1.4604564
365652.44,2280632.5,100,1.9051007,1.4618649
364958.22,2294469.8,99.3,1.959818,1.404137
360782.78,2295638.3,97.8,2.002048,1.3850844
357212.63,2289574.5,100.1,2.0496256,1.4496446
355455.75,2290354.3,99.1,2.0858545,1.5089285
358234.78,2288642.3,98.4,2.0425804,1.5519683
359368.5,2290968.5,101.4,2.062912,1.5000917
362637.63,2285929.5,100.3,2.0469487,1.5631253
364696.44,2285588.5,99.2,2.0450809,1.4980406
365570.13,2286387,97.2,2.1136293,1.5053926
368304.38,2288211.5,97.5,2.0708978,1.5467496
367905.97,2294868,95.7,1.966745,1.5639766
367903.38,2302817.8,100.2,2.0738564,1.5257741
367862.38,2303930.8,97.9,2.065469,1.5607491
355249.5,2310227.5,102.4,2.0126972,1.4699039
350366.75,2307942.3,98.4,2.0990498,1.6374601
348361.34,2311929.8,100.2,2.0657573,1.6580682
350462.06,2309278,98.6,1.9857728,1.5986279
351558.41,2307144.5,99.1,2.0114772,1.5902524
354896.84,2299476.3,97.5,2.0245957,1.7545487
358123.91,2294167,98.3,1.9792874,1.5558378
357300,2293229,99,2.053158,1.5270733
360497.91,2306203,98.5,2.1114104,1.4738163
361105.53,2304690.5,99.6,1.8840078,1.4937074
362395.53,2311113.5,98.2,2.1213486,1.4413356
365371.09,2316935,95,2.0946889,1.5762695
366027.59,2329591.5,97.9,2.1583457,1.5603364
363475.63,2321201.5,99.1,2.1729834,1.5842724
364526.78,2321348.3,97.2,2.1810772,1.5876184
365992.59,2318455.5,100.7,2.2198014,1.5808975
366316.88,2316862,101.5,2.276175,1.6349803
368753.34,2318414.8,100.3,2.2123311,1.583569
370359.56,2313729.5,99.3,2.2177062,1.6407361
370164.53,2317503.5,101.2,2.2331932,1.7349548
372384.81,2310052.3,98.2,2.1135962,1.6732668
374231.09,2322576,100.2,2.1885729,1.5092856
374788.31,2330714.8,98.1,2.2159176,1.5726626
376594.75,2327554.3,96.4,2.1742678,1.3888527
370229.28,2336217.8,97.4,2.2745697,1.3769511
368216.84,2334365.3,94,2.1711059,1.2253187
367838.59,2339471.5,95.9,2.2257166,1.1476736
370614.34,2341784.8,99.2,2.305362,1.1727084
368880.41,2342026.5,98.2,2.2924643,1.2347862
369720.34,2336639.8,97.9,2.2178571,1.2363156
370104.5,2335182.5,100.7,2.2621446,1.2604907
369502.75,2337380.3,99,2.217798,1.1611148
370837.97,2336314,100.8,2.1940541,1.1324117
370760.94,2345116,99.4,2.1811399,1.1364125
369075.19,2348827.8,97.4,2.2504511,1.0453789
368043.47,2352091.5,99.5,2.3315363,1.0999496
351028.63,2366669.3,99.2,1.6835643,1.081938
344524.84,2364785.3,93.7,1.761269,1.0471926
337963.53,2363295.5,98.8,1.8122137,0.86257333
335162.16,2337491.8,93.7,1.917684,0.73125356
331044.97,2325401,85.2,2.0407703,0.72804832
327978.44,2321338.5,91.9,2.1988549,0.82194781
323938.25,2324445.8,94.1,2.2633266,0.90475917
320453.13,2326453.8,94.5,2.2630227,1.0813161
315955.72,2332548.3,98.5,2.3456409,0.94129819
311389.41,2337793.5,98.9,2.3429701,1.0045636
307058.06,2343817,98.5,2.3276389,1.1109524
303065.06,2346296,98.5,2.3516941,1.0591398
299684.19,2345735.8,97.9,2.2468419,1.136964
296644.34,2344973.8,101.2,2.2584147,1.2771238
293306,2355956,99.5,2.2286742,1.4078267
290470.22,2360588.8,99.6,2.1500881,1.4999492
289145.97,2361482,98.6,2.0363858,1.4719633
289011.94,2361886,98.9,2.0004437,1.6208012
288344.31,2361785.8,99.3,1.9140536,1.5934448
287168.81,2363533.3,100.6,1.8754187,1.6815581
287151.44,2367660.5,98.9,1.8643202,1.6811353
286593.28,2365699.8,98.8,1.8378948,1.6873724
285955.63,2373433.3,100.9,1.7737023,1.7220174
285306.41,2368602.5,104.2,1.7830433,1.9370977
