fw,dw,prod,u,v
311553.53,2934703.5,98.844002,7.7833633,1.1691927
310986.53,2954628.5,101.875,7.808177,1.0684919
318088.91,2965026,98.720001,7.6980095,.99548465
323053.97,2960916,99.787003,7.6606202,1.0598228
327364.41,2985389.5,100.7,7.6795917,.97830516
328718.56,2984701.5,98.603996,7.6266193,1.0901973
326354.47,3002586.5,98.265999,7.6489253,1.0477968
322789.06,3006428,96.711998,7.6836314,.93919098
320929.09,3020656,97.677002,7.751677,.97997189
317718.94,3032879,99.514999,7.799118,1.2134691
316815.72,3049247.3,100.44,7.8495598,1.1962559
315260.44,3044727.5,101.253,7.8391004,1.2635865
316879.81,3057851.3,102.04,7.846138,1.2418767
317966,3053465,100.432,7.7296042,1.3394382
319951.25,3064863.8,98.594002,7.6686349,1.4179759
326039.53,3062543.5,98.794998,7.717134,1.4878441
331558.13,3066101,98.938004,7.6537166,1.4355216
335054.69,3060939.3,99.239998,7.5184789,1.3898152
339259.94,3070648,98.338997,7.5909705,1.363651
340153.97,3078741,100.188,7.5365143,1.3056989
342263.22,3072131.8,98.559998,7.5674639,1.23935
344599.13,3087623,100.222,7.6775022,1.0354379
344931,3098054,99.940002,7.6385198,1.4748273
344972.44,3097985.5,102.196,7.6979113,1.4234451
344869.69,3107073.3,102.561,7.6423488,1.4963456
344073.25,3120725.8,101.396,7.5535407,1.4831588
345917.5,3131010.5,101.711,7.4959612,1.5481691
354746,3143358,101.619,7.5592613,1.5069945
363021.13,3140170.8,98.758003,7.4730272,1.4821769
366009.66,3155030.3,101.844,7.4604287,1.3478268
370691.94,3169407,102.774,7.5788045,1.262176
376331.13,3165980.8,99.332001,7.5730357,1.2407509
375943.94,3176451,98.731003,7.6680112,1.2061635
377426.47,3190859.5,97.272003,7.7488685,1.3360087
380235.53,3192942.5,98.323997,7.7335396,1.2725493
381037.75,3202220.3,101.442,7.8073869,1.2245059
381143.66,3204286.3,97.599998,7.822619,1.2527368
380011.63,3201900.5,100.6,7.7680645,1.2817546
379834.59,3208706.5,98.300003,7.7982612,1.3132681
382088.75,3207405.3,99.5,7.8113732,1.4414406
385472.44,3197976.5,98,7.6946449,1.3420262
387920.59,3200983.5,99.900002,7.7751312,1.1756279
391783.09,3205998,98.900002,7.8523674,1.1273907
390972.56,3205176.5,101.9,7.794312,1.1794597
