fw,dw,prod,u,v
311553.53,2934703.5,98.844002,7.7459373,1.193096
310986.53,2954628.5,101.875,7.7770123,1.0554805
318088.91,2965026,98.720001,7.6858206,.97348017
323053.97,2960916,99.787003,7.6281872,1.013855
327364.41,2985389.5,100.7,7.6759725,.95159346
328718.56,2984701.5,98.603996,7.6776185,1.0870395
326354.47,3002586.5,98.265999,7.654851,1.0674369
322789.06,3006428,96.711998,7.7275443,.98050219
320929.09,3020656,97.677002,7.7942381,1.0083857
317718.94,3032879,99.514999,7.7999849,1.1720072
316815.72,3049247.3,100.44,7.8430982,1.2135674
315260.44,3044727.5,101.253,7.8130302,1.2869703
316879.81,3057851.3,102.04,7.8133702,1.2696878
317966,3053465,100.432,7.7008619,1.3270534
319951.25,3064863.8,98.594002,7.6537113,1.3905747
326039.53,3062543.5,98.794998,7.6930556,1.4318078
331558.13,3066101,98.938004,7.6483083,1.3963845
335054.69,3060939.3,99.239998,7.5659356,1.3849088
339259.94,3070648,98.338997,7.5961003,1.3875978
340153.97,3078741,100.188,7.5746937,1.3533437
342263.22,3072131.8,98.559998,7.6038513,1.2633238
344599.13,3087623,100.222,7.6810651,1.0016608
344931,3098054,99.940002,7.6286883,1.4978327
344972.44,3097985.5,102.196,7.6760364,1.4480846
344869.69,3107073.3,102.561,7.6123013,1.5298079
344073.25,3120725.8,101.396,7.5317945,1.4767483
345917.5,3131010.5,101.711,7.4806437,1.5287913
354746,3143358,101.619,7.542717,1.4610947
363021.13,3140170.8,98.758003,7.46839,1.4425063
366009.66,3155030.3,101.844,7.50492,1.3427707
370691.94,3169407,102.774,7.5791879,1.2789298
376331.13,3165980.8,99.332001,7.6017394,1.2732558
375943.94,3176451,98.731003,7.7017102,1.2185113
377426.47,3190859.5,97.272003,7.7519879,1.2954534
380235.53,3192942.5,98.323997,7.7235541,1.2924725
381037.75,3202220.3,101.442,7.7921581,1.2440815
381143.66,3204286.3,97.599998,7.7917132,1.2778316
380011.63,3201900.5,100.6,7.7521143,1.2840139
379834.59,3208706.5,98.300003,7.7836566,1.309968
382088.75,3207405.3,99.5,7.8009501,1.4088181
385472.44,3197976.5,98,7.6932993,1.3078171
387920.59,3200983.5,99.900002,7.8177652,1.1720599
391783.09,3205998,98.900002,7.8436627,1.1358248
390972.56,3205176.5,101.9,7.8160954,1.1976829
392640.72,3208410.3,103.1,7.6162992,1.3277577
391953.81,3220244.3,101.3,7.6443834,1.3113118
389801.5,3226209.5,100.7,7.6145616,1.2617381
388491.31,3245619.8,100.1,7.6510253,1.2357836
386075,3241917,99,7.6702085,1.2098489
381758.03,3232867,100.8,8.1605015,1.237699
379357.94,3234876,101,8.1866159,1.2864388
381900.03,3231885,100,8.131074,1.3110299
383145.34,3230846.8,103.6,8.1820679,1.3376006
386342.34,3228520.8,103.8,8.2081852,1.3366183
388607.5,3229149.5,102.8,7.5141687,1.3142581
389260.41,3231155.5,101,7.6292,1.3389379
391593.5,3236520.5,101.4,7.588408,1.4002277
390422.72,3245023.3,100.6,7.4667301,1.3393863
389326.97,3253456,105.3,7.5698829,1.3182901
387723.13,3258406,104.3,7.5245161,1.3560351
381318,3258797,106.7,7.408711,1.2504567
374716.56,3258846.5,104.8,7.4593167,1.4024401
371577.56,3262358.5,106.4,7.376924,1.423134
373180.47,3261915.5,104.4,7.2796421,1.3581282
373921.06,3256266,105.4,7.3170958,1.3950118
377460.75,3250865.3,104.2,7.3217368,1.5132027
381150.06,3247532,104.4,7.2739453,1.4004555
380386.16,3249465.8,104.9,7.4042573,1.4048444
383862.25,3266711.8,105.3,7.5023623,1.3690954
384301.47,3265618.5,105.7,7.2504296,1.3342668
385491.59,3274540.5,105.2,7.4927645,1.2721685
388561.22,3277925.8,102.7,7.438314,1.3723201
389509.22,3327209.8,105,7.474885,1.364121
386718.41,3319125.5,105.9,7.4614534,1.3749678
387831.53,3319183.5,104.4,7.4656768,1.3831576
389345.28,3316116.8,107.1,8.053237,1.4228572
389544.59,3317227.5,108.1,8.1444921,1.4363605
392041.47,3315368.5,108.4,8.0654564,1.399091
393513.06,3315408,107.8,8.086915,1.4596267
393254.31,3321917.8,108.9,8.1403856,1.4958056
395191.72,3313445.3,106.2,8.0111074,1.4517889
396520.41,3329279.5,107.5,8.1444712,1.3021044
396368.84,3335772.3,105.5,8.1386509,1.3447134
397070.88,3331436.3,103.6,8.1223745,1.2050245
395044.59,3339569.5,105.2,8.2409163,1.1729738
391962.69,3338613.3,101.9,8.091485,1.0560443
391003.28,3339952.8,103.9,8.145278,.97893447
393515.19,3343327.8,105.9,7.416513,1.0134912
391664.09,3340927,105.7,7.4109092,1.0633738
392393.75,3336446.3,106.3,7.290946,1.060619
392765.88,3333734,108.6,7.3763571,1.1501981
391734.31,3338475.8,106.5,7.3464799,1.0512068
392154.19,3337706.8,108.1,7.3307953,1.0181531
