ym,numD,FW,DW,prod
624,3246257,311553.5207,2934703.479,100.479
625,3265615,310986.5366,2954628.463,101.246
626,3283115,318088.9045,2965026.096,97.987
627,3283970,323053.9815,2960916.019,99.808
628,3312754,327364.3909,2985389.609,100.767
629,3313420,328718.5552,2984701.445,99.233
630,3328941,326354.4544,3002586.546,100.384
631,3329217,322789.0763,3006427.924,96.836
632,3341585,320929.0904,3020655.91,98.178
633,3350598,317718.9468,3032879.053,99.425
634,3366063,316815.7105,3049247.289,99.425
635,3359988,315260.4431,3044727.557,100.288
636,3374731,316879.8084,3057851.192,99.712
637,3371431,317966.0102,3053464.99,98.658
638,3384815,319951.2392,3064863.761,96.069
639,3388583,326039.5359,3062543.464,95.877
640,3397659,331558.1255,3066100.875,96.74
641,3395994,335054.7018,3060939.298,98.178
642,3409908,339259.945,3070648.055,97.699
643,3418895,340153.9763,3078741.024,101.151
644,3414395,342263.209,3072131.791,97.603
645,3432222,344599.1235,3087622.877,101.055
646,3442985,344931.0018,3098053.998,99.329
647,3442958,344972.4262,3097985.574,101.246
648,3451943,344869.6875,3107073.312,101.055
649,3464799,344073.2534,3120725.747,99.712
650,3476928,345917.5141,3131010.486,100.288
651,3498104,354746.0022,3143357.998,100.096
652,3503192,363021.1389,3140170.861,98.37
653,3521040,366009.6575,3155030.342,101.055
654,3540099,370691.9241,3169407.076,101.151
655,3542312,376331.1294,3165980.871,98.37
656,3552395,375943.9448,3176451.055,97.987
657,3568286,377426.4691,3190859.531,96.932
658,3573178,380235.5282,3192942.472,98.274
659,3583258,381037.7601,3202220.24,99.712
660,3585430,381143.6584,3204286.342,96.7
661,3581912,380011.6226,3201900.377,100.5
662,3588541,379834.5785,3208706.421,97.9
663,3589494,382088.7425,3207405.258,100.3
664,3583449,385472.44,3197976.56,98.6
665,3588904,387920.6058,3200983.394,99.3
666,3597781,391783.1037,3205997.896,100
667,3596149,390972.5506,3205176.449,102.6
668,3601051,392640.7072,3208410.293,102
669,3612198,391953.8198,3220244.18,101.1
670,3616011,389801.4845,3226209.516,100.8
671,3634111,388491.3077,3245619.692,101
672,3627992,386075.0098,3241916.99,99.4
673,3614625,381758.0393,3232866.961,100.5
674,3614234,379357.935,3234876.065,103.2
675,3613785,381900.028,3231884.972,101.4
676,3613992,383145.3495,3230846.651,103.2
677,3614863,386342.3342,3228520.666,102.3
678,3617757,388607.4928,3229149.507,101.8
679,3620416,389260.4174,3231155.583,100.9
680,3628114,391593.4994,3236520.501,101.9
681,3635446,390422.7175,3245023.283,99.5
682,3642783,389326.967,3253456.033,104.9
683,3646129,387723.1174,3258405.883,104.6
684,3640115,381317.9996,3258797,104.6
685,3633563,374716.5583,3258846.442,103.4
686,3633936,371577.5743,3262358.426,105.2
687,3635096,373180.4808,3261915.519,103.2
688,3630187,373921.0599,3256265.94,105.1
689,3628326,377460.7482,3250865.252,104.3
690,3628682,381150.0566,3247531.943,103.9
691,3629852,380386.1717,3249465.828,104.8
692,3650574,383862.2469,3266711.753,104.7
693,3649920,384301.4798,3265618.52,103.8
694,3660032,385491.5814,3274540.419,104.1
695,3666487,388561.232,3277925.768,99.9
696,3716719,389509.2216,3327209.778,102
697,3705844,386718.4057,3319125.594,104.3
698,3707015,387831.5205,3319183.48,101.3
699,3705462,389345.2771,3316116.723,103.2
700,3706772,389544.6026,3317227.397,107
701,3707410,392041.4596,3315368.54,103.5
702,3708921,393513.0746,3315407.925,102.6
703,3715172,393254.328,3321917.672,105.6
704,3708637,395191.7087,3313445.291,102.3
705,3725800,396520.3924,3329279.608,103.3
706,3732141,396368.8482,3335772.152,103
707,3728507,397070.862,3331436.138,100.9
708,3734614,395044.6042,3339569.396,104.8
709,3730576,391962.6821,3338613.318,100.5
710,3730956,391003.2665,3339952.733,102.2
711,3736843,393515.185,3343327.815,103.4
712,3732591,391664.1,3340926.9,101.8
713,3728840,392393.7359,3336446.264,101
714,3726500,392765.8815,3333734.119,103.3
715,3730210,391734.3116,3338475.688,102.8
716,3729861,392154.19,3337706.81,101.5
717,3738194,390158.4567,3348035.543,101.5
718,3735574,385523.5108,3350050.489,100.5
719,3732618,380430.5067,3352187.493,102.9
720,3729925,381180.1878,3348744.812,100.9
721,3719700,370251.5084,3349448.492,93.8
722,3708373,360291.4427,3348081.557,98.7
723,3670583,355339.3921,3315243.608,96.7
724,3652870,349893.3364,3302976.664,90.5
725,3640734,346145.6754,3294588.325,97
726,3643498,341820.8784,3301677.122,98.5
727,3642894,338396.4732,3304497.527,98.3
728,3648436,334121.5316,3314314.468,102.7
729,3647798,330095.7188,3317702.281,102.6
730,3650886,326675.7174,3324210.283,102
731,3647536,324053.4028,3323482.597,102
732,3648470,322269.5578,3326200.442,102.1
733,3644796,320538.0136,3324257.986,103.5
734,3656235,318149.7617,3338085.238,102.5
735,3657801,315880.4632,3341920.537,102.3
736,3658997,314904.7603,3344092.24,101
737,3659387,314874.8622,3344512.138,101.8
738,3662565,314233.5285,3348331.472,101.4
739,3664405,312910.8794,3351494.121,101.1
740,3674535,312902.956,3361632.044,98.8
741,3673407,312241.6523,3361165.348,99.5
742,3683366,311390.7063,3371975.294,100.7
743,3675759,310566.3123,3365192.688,103.3
744,3679093,310364.3939,3368728.606,104.4
745,3685781,310936.8911,3374844.109,102.3
746,3698416,311933.648,3386482.352,102.3
