uC,nonuC,numD,unemp
2.15314,2.15314,3585430 ,75059 
2.481839,2.134635,3581912 ,75221 
2.50686,2.13569,3588541 ,79495 
2.12486,2.053813,3589494 ,80210 
2.46422,2.053841,3583449 ,76882 
2.567678,2.084296,3588904 ,80523 
2.755603,2.065544,3597781 ,84487 
2.563365,2.15266,3596149 ,81594 
2.337905,2.080271,3601051 ,81055 
2.201767,1.993975,3612198 ,77945 
2.484932,1.977507,3616011 ,74431 
2.441352,2.003446,3634111 ,73514 
2.618559,2.155098,3627992 ,81134 
2.985679,2.309407,3614625 ,82926 
3.070111,2.300747,3614234 ,87057 
2.827771,2.206727,3613785 ,85319 
2.757508,2.121083,3613992 ,86974 
2.257894,2.005582,3614863 ,87844 
2.600112,2.062362,3617757 ,90630 
2.873773,2.212328,3620416 ,92224 
2.730381,2.177539,3628114 ,87732 
2.916395,2.160051,3635446 ,79681 
2.562376,2.085449,3642783 ,80155 
2.317739,2.008427,3646129 ,76361 
2.474077,1.943025,3640115 ,79637 
2.46445,1.98824,3633563 ,82410 
2.737459,2.011458,3633936 ,83371 
2.733914,2.038317,3635096 ,80176 
2.374977,2.005927,3630187 ,81321 
2.17159,1.909817,3628326 ,82100 
2.21487,1.963377,3628682 ,83600 
2.397725,2.107516,3629852 ,85658 
2.195288,1.972949,3650574 ,85923 
2.261162,1.929579,3649920 ,73335 
2.475094,1.892285,3660032 ,77982 
2.339765,1.83532,3666487 ,73896 
2.480449,1.888253,3716719 ,83215
2.499891,1.933289,3705844 ,83867
2.695932,1.955527,3707015 ,87936
2.823139,2.032879,3705462 ,90395
2.755338,2.065147,3706772 ,93452
2.571398,2.095636,3707410 ,92065
2.938949,2.247581,3708921 ,95985
3.172499,2.421556,3715172 ,95757
2.89073,2.218398,3708637 ,88059
2.782297,2.27674,3725800 ,87914
2.866054,2.267442,3732141 ,84382
2.757232,2.175871,3728507 ,81076
2.883321,2.268819,3734614 ,92243
2.979138,2.154297,3730576 ,88667
2.7306,1.976257,3730956 ,94545
2.701953,1.995419,3736843 ,98366
2.706304,2.0174,3732591 ,98517
2.446574,2.011228,3728840 ,95920
2.643477,2.112259,3726500 ,101569
2.118643,2.142665,3730210 ,98756
2.82614,2.078329,3729861 ,94972
2.345025,1.985938,3738194 ,90845
2.141806,1.83175,3735574 ,90065
2.320921,1.871832,3732618 ,89433
2.482702,2.005106,3729925 ,98584
2.763298,2.130739,3719700 ,102627
2.731635,2.23134,3708373 ,108737
2.516277,2.245486,3670583 ,114126
3.28482,2.340306,3652870 ,122065
3.056468,2.39668,3640734 ,133125
2.723498,2.37245,3643498 ,140567
1.890862,2.235193,3642894 ,138928
2.445421,2.315818,3648436 ,140008
2.702118,2.339693,3647798 ,132084
2.505512,2.27895,3650886 ,123637
2.580732,2.306611,3647536 ,118784
2.587881,2.285817,3648470 ,120600
2.402269,2.187393,3644796 ,120377
2.186589,2.224042,3656235 ,123524
2.139882,2.235872,3657801 ,119972
2.244928,2.086636,3658997 ,115692
2.192671,2.140016,3659387 ,116439
1.938929,2.062939,3662565 ,116110
1.730056,2.219231,3664405 ,113648
