u,v,u_old,v_old
0.0195946,0.0092614,0.0183904,0.0128328
0.0200134,0.0088162,0.018315,0.0129768
0.0206366,0.0084088,0.0182468,0.0131212
0.0214088,0.0081131,0.018185,0.0132604
0.0222535,0.007985,0.01814,0.0133773
0.0230829,0.008032,0.0181158,0.0134565
0.0238097,0.0082172,0.0181188,0.0134684
0.0243825,0.0084912,0.0181611,0.0134001
0.0247711,0.0088228,0.0182403,0.013252
0.0249461,0.0092195,0.0183504,0.0130372
0.0248987,0.009683,0.0184759,0.0127563
0.0246498,0.0102111,0.018586,0.0124094
0.0242295,0.0108105,0.0186667,0.0120272
0.0236915,0.0114671,0.0187176,0.011646
0.0230704,0.0121506,0.0187341,0.0113108
0.0223959,0.0128278,0.0187357,0.0110596
0.0216989,0.0134797,0.0187388,0.0109115
0.0210037,0.0141088,0.0187503,0.0108796
0.0203132,0.0147142,0.0187756,0.0109571
0.0196298,0.0153063,0.0188155,0.0111496
,,0.0188608,0.0114663
,,0.0188978,0.0118841
,,0.0189131,0.0123534
,,0.0188959,0.0128351
,,0.0188443,0.0132852
,,0.0187552,0.0136756
,,0.0186344,0.0139731
,,0.0184897,0.0141568
,,0.0183222,0.0142272
,,0.0181469,0.014209
,,0.017984,0.0141436
,,0.0178412,0.0140749
,,0.0177269,0.0140562
,,0.0176392,0.0141396
,,0.0175654,0.0143515
,,0.0175059,0.014597
,,0.0174566,0.0148061
,,0.0174218,0.0149195
,,0.0174099,0.0149125
,,0.0174306,0.0147789
,,0.0174853,0.0145437
,,0.0175851,0.014245
,,0.0177278,0.0139407
,,0.0179016,0.0136771
,,0.0180991,0.013479
,,0.0183074,0.0133561
,,0.0185139,0.0132954
,,0.0187158,0.0132867
,,0.0189015,0.0133134
,,0.0190618,0.013346
,,0.0191926,0.0133541
,,0.0192942,0.0133133
,,0.0193776,0.0132146
,,0.0194652,0.0130939
,,0.0195577,0.0130055
,,0.0196614,0.0129734
,,0.0197891,0.0129823
,,0.0199414,0.0129994
,,0.0201134,0.0130221
,,0.0203046,0.0130671
,,0.020503,0.0131463
,,0.0206906,0.0132634
,,0.0208477,0.0134041
,,0.0209656,0.0135463
,,0.0210507,0.0136733
,,0.0211017,0.0137745
,,0.021115,0.0138502
,,0.021091,0.0139058
,,0.021024,0.0139429
,,0.0209244,0.0139636
,,0.0208026,0.0139915
,,0.0206502,0.0140463
,,0.0204726,0.0141312
,,0.0202845,0.014249
,,0.0200894,0.0143677
,,0.0199085,0.014465
,,0.0197712,0.0145327
,,0.0196894,0.0145522
,,0.0196674,0.014505
,,0.0197086,0.0144131
,,0.0197998,0.0143044
,,0.0199341,0.0142145
,,0.0201248,0.0141771
,,0.0203426,0.014211
,,0.0205737,0.0142984
,,0.0208011,0.0144213
,,0.021012,0.0145625
,,0.021195,0.0146978
,,0.0213394,0.0147967
,,0.021444,0.0148305
,,0.0215286,0.0147751
,,0.0216148,0.0145991
,,0.021722,0.0142906
,,0.0218707,0.0138716
,,0.0220417,0.0133912
,,0.0222177,0.0128832
,,0.0223759,0.0123963
,,0.0224838,0.0119681
,,0.0225278,0.011635
,,0.0224758,0.0114059
,,0.022295,0.0112573
,,0.0219768,0.0111468
,,0.0215356,0.011032
,,0.0209928,0.0108711
,,0.0204037,0.0106573
,,0.0198621,0.0103888
,,0.0195141,0.0100625
,,0.0194221,0.0096856
,,0.0195946,0.0092614
