t,u,v,Production,emp,empcompare,productivity,
1,0.02480449,0.013040465,100,3716719,3716719,104.5154,0.525730019
2,0.0253961,0.014139977,101.9175455,3705844,3705844,104.5154,0.556777497
3,0.02568822,0.014910158,100.1917546,3707015,3707015,104.5154,0.580427838
4,0.02670434,0.015023228,102.6845638,3705462,3705462,109.2117,0.56257627
5,0.02712822,0.015076594,103.1639501,3706772,3706772,109.2117,0.55575316
6,0.02752872,0.01398338,103.7392138,3707410,3707410,109.2117,0.507956055
7,0.0295247,0.014153176,103.2598274,3708921,3708921,109.4659,0.479367309
8,0.03181009,0.014815371,104.4103547,3715172,3715172,109.4659,0.465744391
9,0.02914135,0.014669415,101.8216683,3708637,3708637,109.4659,0.503388312
10,0.02990775,0.013460461,103.1639501,3725800,3725800,106.8126,0.450065986
11,0.0297856,0.013022846,101.2464046,3732141,3732141,106.8126,0.437219529
12,0.02858271,0.012064413,99.90412272,3728507,3728507,106.8126,0.422087794
13,0.02980369,0.011192043,100.2876318,3734614,3734614,105.3965,0.375525413
14,0.02829931,0.011019001,98.08245446,3730576,3730576,105.3965,0.389373486
15,0.02596054,0.010987456,99.61649089,3730956,3730956,105.3965,0.423236805
16,0.02621225,0.011004422,101.5340364,3736843,3736843,106.3837,0.419819817
17,0.026501,0.011329409,100.8628955,3732591,3732591,106.3837,0.427508736
18,0.02641992,0.01072336,101.8216683,3728840,3728840,106.3837,0.405881623
19,0.02774709,0.011209924,104.0268456,3726500,3726500,108.669,0.404003591
20,0.02814651,0.010637411,102.3010547,3730210,3730210,108.669,0.377930017
21,0.02730138,0.010410622,103.5474593,3729861,3729861,108.669,0.38132219
22,0.02608771,0.010750838,102.5886865,3738194,3738194,110.7959,0.412103554
23,0.02406226,0.009409432,103.2598274,3735574,3735574,110.7959,0.39104523
24,0.02458879,0.01003241,106.903164,3732618,3732618,110.7959,0.40800747
25,0.02633951,0.009290981,104.1227229,3729925,3731517,109.6251,0.352739326
26,0.02798985,0.009181899,101.05465,3719700,3726517,109.6251,0.32804388
27,0.02931136,0.008036509,105.5608821,3708373,3718658,109.6251,0.274177281
28,0.02949718,0.006746839,99.13710451,3670583,3713858,110.5546,0.228728272
29,0.03074276,0.006636249,91.27516779,3652870,3709452,110.5546,0.2158638
30,0.03148331,0.007327532,98.94534995,3640734,3704747,110.5546,0.232743381
31,0.03116502,0.008171513,101.2464046,3643498,3700419,113.3037,0.262201436
32,0.02936197,0.009426002,101.5340364,3642894,3697028,113.3037,0.321027574
33,0.03042108,0.00855085,105.0814957,3648436,3693184,113.3037,0.281083052
34,0.03073471,0.00908697,104.4103547,3647798,3689499,117.2305,0.295658231
35,0.02993678,0.009401498,104.8897411,3650886,3685495,117.2305,0.314045064
36,0.03030013,0.009229599,107.8619367,3647536,3681990,117.2305,0.304605921
37,0.03002699,0.009393897,106.232023,3648470,3678684,120.5456,0.312848441
38,0.02873406,0.011264992,111.2176414,3644796,3673879,120.5456,0.392043171
39,0.02921549,0.012834043,110.3547459,3656235,3668658,120.5456,0.439288987
40,0.02937089,0.013713038,108.2454458,3657801,3663435,118.031,0.466892151
41,0.0274105,0.013411211,106.4237776,3658997,3662099,118.031,0.48927276
42,0.02811171,0.013956553,109.1083413,3659387,3661122,118.031,0.496467593
43,0.02709921,0.013955011,109.012464,3662565,3660146,118.031,0.514960067
44,0.02915229,0.014666031,108.5330777,3664405,3659087,118.031,0.503083326
