year,month,E9,F4,H2
2014,1,246554 ,246474 ,238972 
2014,2,246662 ,246701 ,242177 
2014,3,246622 ,253628 ,247521 
2014,4,252169 ,260854 ,257986 
2014,5,257573 ,264534 ,268134 
2014,6,258018 ,267983 ,274250 
2014,7,260098 ,273815 ,279420 
2014,8,264570 ,276260 ,283636 
2014,9,264112 ,278384 ,282944 
2014,10,264996 ,282395 ,284124 
2014,11,268338 ,285952 ,284440 
2014,12,270569 ,289427 ,282670 
2015,1,271287 ,292918 ,283412 
2015,2,270561 ,295640 ,284090 
2015,3,269975 ,298396 ,286365 
2015,4,270687 ,304222 ,289845 
2015,5,272961 ,307457 ,293423 
2015,6,275867 ,307342 ,293749 
2015,7,278239 ,312556 ,296436 
2015,8,276861 ,314345 ,296581 
2015,9,276945 ,320073 ,298404 
2015,10,277697 ,322278 ,293361 
2015,11,276607 ,324882 ,288800 
2015,12,276042 ,328187 ,285342 
2016,1,273453 ,332644 ,283124 
2016,2,269745 ,332222 ,280781 
2016,3,266835 ,334819 ,279852 
2016,4,269380 ,340498 ,276963 
2016,5,271276 ,343447 ,273220 
2016,6,274493 ,347912 ,271112 
2016,7,275502 ,354801 ,270532 
2016,8,277326 ,355294 ,267405 
2016,9,279047 ,361427 ,266850 
2016,10,279441 ,363633 ,262085 
2016,11,279122 ,368518 ,258999 
2016,12,279187 ,372533 ,254950 
2017,1,272739 ,379810 ,251013 
2017,2,268047 ,377481 ,248269 
2017,3,265198 ,381598 ,245331 
2017,4,267274 ,387536 ,241639 
2017,5,269168 ,390546 ,236632 
2017,6,272748 ,395699 ,234440 
2017,7,276280 ,401932 ,231462 
2017,8,275806 ,403079 ,228623 
2017,9,277787 ,409334 ,229799 
2017,10,278308 ,409178 ,229901 
2017,11,277055 ,412450 ,235804 
2017,12,279127 ,415121 ,238880 
2018,1,279123 ,418920 ,239139 
2018,2,275164 ,419922 ,240066 
2018,3,274239 ,422123 ,245519 
2018,4,274165 ,427438 ,246481 
2018,5,274500 ,429514 ,243930 
2018,6,276811 ,432485 ,243339 
2018,7,278013 ,436926 ,240903 
2018,8,278094 ,436539 ,240400 
2018,9,278690 ,439977 ,243905 
2018,10,279781 ,440948 ,246678 
2018,11,278772 ,442880 ,250555 
2018,12,280312 ,444880 ,250381 
2019,1,277979 ,448968 ,250409 
2019,2,275330 ,447501 ,252058 
2019,3,274152 ,449334 ,252840 
2019,4,276989 ,452251 ,251944 
2019,5,275180 ,454032 ,248692 
2019,6,276553 ,455324 ,245452 
2019,7,277473 ,458533 ,240549 
2019,8,277450 ,458471 ,237729 
2019,9,278560 ,459879 ,238220 
2019,10,278566 ,458963 ,238320 
2019,11,276671 ,459901 ,236342 
2019,12,276755 ,464152 ,226322 
2020,1,280707 ,470871 ,229300 
2020,2,273972 ,468605 ,224585 
2020,3,267594 ,465647 ,218448 
2020,4,264959 ,464560 ,214856 
2020,5,261109 ,463139 ,209766 
2020,6,258078 ,461798 ,206746 
2020,7,254099 ,460995 ,202036 
2020,8,250952 ,462101 ,195046 
2020,9,247273 ,463056 ,184805 
2020,10,243725 ,463283 ,174570 
2020,11,240214 ,465301 ,163580 
2020,12,236950 ,466682 ,154537 
2021,1,233950 ,468031 ,147675 
2021,2,230549 ,469619 ,143459 
2021,3,226553 ,470188 ,141294 
2021,4,222492 ,470449 ,142011 
2021,5,220605 ,471114 ,141898 
2021,6,220588 ,472514 ,139684 
