Countries,old2000,old2017,new2000f,new2017f,new2018f,new2020f,new2000t,new2017t,new2018t,new2020t
Greece,2.53,5.01,273868,538400,538400,538400,10917480,"10,754,679.0 ","10,754,679.0 ","10,754,679.0 "
Hungary,1.5,1.54,153125,151132,161549,199957,10210970,"9,787,969.0 ","9,775,566.0 ","9,750,153.0 "
Slovak Republic,0.55,1.28,29498,69695,72883,78936,5388720,"5,439,231.5 ","5,446,770.5 ","5,458,827.0 "
Portugal,1.86,3.86,190896,397731,421711,590348,10289900,"10,300,300.0 ","10,283,822.0 ","10,297,080.5 "
Estonia,20.88,16.11,291724,212213,213667,215611,1379342,"1,317,384.0 ","1,321,977.0 ","1,329,479.0 "
Czech Republic,2.23,4.66,228862,493441,524142,593366,10272500,"10,589,526.0 ","10,626,430.0 ","10,700,155.0 "
Spain,2.28,9.5,923879,4419455,4562962,5226906,40554390,"46,532,869.0 ","46,728,814.0 ","47,351,567.0 "
Japan,1.23,1.88,1556113,2382822,2561848,2933137,126926000,"126,706,210.0 ","126,443,180.0 ","125,708,000.0 "
Korea,0.45,2.28,168950,1161677,1171762,2024578,47008110,"51,361,911.0 ","51,606,633.0 ","51,780,579.0 "
Italy,2.35,8.34,1340655,5047028,5144440,5039637,56942110,"60,002,254.0 ","59,877,216.0 ","59,449,527.0 "
France,5.37,6.82,3258500,4704000,4616763,4763340,59062380,"66,883,314.0 ","67,068,133.0 ","67,347,238.0 "
United Kingdom,3.75,9.29,2208000,6137000,5991000,6227000,58886000,"66,040,229.0 ","66,435,550.0 ","67,081,234.0 "
Finland,1.69,4.42,87680,243639,249452,267629,5175000,"5,508,209.0 ","5,515,525.0 ","5,529,545.0 "
Belgium,8.75,12.04,897110,1366500,1388900,1478847,10251250,"11,349,081.0 ","11,403,740.0 ","11,506,938.0 "
Sweden,5.43,8.47,481838,851949,897336,940580,8872109,"10,057,695.0 ","10,175,215.0 ","10,353,444.0 "
Germany,8.93,12.15,7343591,10039080,10623940,11228300,82211500,"82,657,000.0 ","82,905,788.0 ","83,160,874.0 "
Austria,3.65,5.45,693955,1341930,1395880,1486223,8011566,"8,795,073.0 ","8,837,707.0 ","8,916,845.0 "
Denmark,4.86,8.42,259357,484986,505992,537071,5339616,"5,760,694.0 ","5,789,957.0 ","5,825,337.0 "
Netherlands,4.09,5.68,651500,972300,1040810,1192309,15925510,"17,131,295.0 ","17,231,622.0 ","17,441,500.0 "
Iceland,2.59,8.82,7271,30275,37830,49391,281154,"343,399.0 ","352,722.0 ","366,462.0 "
United States,5.88,6.89,16579283,22415312,22415312,22518800,282162400,"325,122,128.0 ","326,838,199.0 ","329,484,123.0 "
Norway,3.98,10.6,178686,559227,567783,604525,4490966,"5,276,965.0 ","5,311,916.0 ","5,379,472.0 "
Switzerland,19.05,24.01,1368670,2029527,2053589,2111412,7184250,"8,451,834.0 ","8,514,327.0 ","8,636,563.0 "
