time,ym,indmc,uib,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,EXIT,EXITfull,EXITpart,hour,wage_tot,prod,E9,hourfull,hourpart,wage_totfull,wage_totpart,hire,hirefull,hirepart,left,leftfull,leftpart
2009. 06,593,10,,180495,146660,33457,3117,1737,1379,12057,3466,8591,9482,3638,5844,,,89.93,,,,,,11749,3224,8526,5338,2890,2448
2009. 07,594,10,,180446,147196,33063,2405,2030,375,8576,3668,4908,8435,3849,4586,,,90.263,,,,,,8254,3346,4908,4305,2992,1314
2009. 08,595,10,,181609,146274,35169,3221,2206,1015,7481,3366,4115,6297,3238,3059,,,89.657,,,,,,7344,3229,4115,3699,2617,1082
2009. 09,596,10,,183671,147160,36326,2719,2175,544,9262,3503,5760,7220,2663,4557,,,91.325,,,,,,9040,3297,5743,3927,2268,1659
2009. 10,597,10,,184037,147236,36651,2424,2053,371,7478,3484,3994,7076,2926,4150,,,87.021,,,,,,7323,3330,3993,3696,2145,1551
2009. 11,598,10,,185395,148377,36994,2618,1910,708,7514,3289,4225,6031,2859,3171,,,90.027,,,,,,7057,2833,4224,3480,2288,1192
2009. 12,599,10,,185653,146693,38711,2725,1951,775,7155,3248,3906,7121,3745,3377,,,90.789,,,,,,6754,2848,3906,3607,2336,1272
2010. 01,600,10,,187289,148145,38673,3503,2509,994,9328,3555,5773,7914,3118,4795,,,91.443,,,,,,8564,2791,5772,3151,2117,1034
2010. 02,601,10,,184503,147145,36766,4872,3420,1452,6663,2809,3854,9570,3558,6012,,,93.244,,,,,,6052,2544,3509,4745,2498,2248
2010. 03,602,10,,183836,147294,35959,4921,3689,1231,7281,3839,3443,7939,3237,4703,,,91.205,,,,,,6698,3265,3433,3974,2623,1351
2010. 04,603,10,,183783,148774,34409,4343,3395,948,7185,3644,3541,7255,3039,4216,,,91.094,,,,,,6867,3326,3541,3561,2443,1118
2010. 05,604,10,,185031,151656,32865,4067,3214,853,8846,4805,4041,7508,3399,4109,,,91.723,,,,,,7348,3316,4032,3978,2817,1161
2010. 06,605,10,,185553,151252,33794,4043,3319,723,9613,3321,6292,9088,3943,5145,,,93.683,,,,,,9550,3257,6292,4388,3148,1240
2010. 07,606,10,,187895,151557,35851,4053,3052,1001,11603,4918,6685,9241,3677,5565,,,94.234,,,,,,11315,4630,6685,4896,3254,1642
2010. 08,607,10,,187862,152107,35288,5001,3848,1152,8414,4200,4214,8427,3339,5088,,,94.168,,,,,,8310,4102,4208,4306,2906,1401
2010. 09,608,10,,187252,151628,35266,5514,4336,1178,9345,3655,5689,9846,3767,6078,,,95.065,,,,,,8879,3242,5638,5863,3292,2571
2010. 10,609,10,,187307,151810,35096,4727,3599,1128,11349,5211,6138,11337,4668,6668,,,92.879,,,,,,9838,3997,5841,6062,4011,2050
2010. 11,610,10,,187616,151470,35700,3981,3125,856,11401,5156,6245,11137,4842,6295,,,95.653,,,,,,11284,5052,6232,6461,4390,2071
2010. 12,611,10,,186983,151759,34902,2802,1956,846,13364,5535,7830,13873,3733,10140,,,96.904,,,,,,12657,5356,7301,6166,3173,2992
2011. 01,612,10,,185398,149453,35601,2690,2292,398,16430,5238,11192,18037,4815,13221,188.8,2073247,98.795,,196.4,142,2244173,1016559,15610,4436,11174,5859,4162,1697
2011. 02,613,10,,189560,150685,38538,2886,2413,473,14548,5662,8886,10379,4945,5435,164.7,2019391,90.997,,169.2,136.6,2187412,970958,14374,5488,8886,6198,4284,1915
2011. 03,614,10,,190924,151991,38587,2961,2265,696,12609,6099,6510,11254,4705,6548,195.6,1938909,97.043,,202.3,155.9,2092762,1019623,11573,5089,6484,5250,3595,1655
2011. 04,615,10,,193211,151866,40163,3254,2582,672,13243,5014,8229,11792,5491,6301,191.7,2010028,91.816,,198.2,153.4,2183528,982268,12933,4723,8210,6828,4440,2388
2011. 05,616,10,,191215,150392,39597,3011,2188,824,13217,4543,8674,15257,4617,10640,187,1944525,93.288,,192.1,155.9,2091046,1042634,13057,4384,8673,10589,3954,6635
2011. 06,617,10,,192440,160229,30981,3579,2807,772,12467,5694,6774,11246,4337,6909,191.1,2025637,95.172,,198.1,149,2180665,1089549,12314,5557,6757,6659,3662,2997
2011. 07,618,10,,194109,159946,32978,2777,2271,506,13919,5727,8192,12205,4753,7453,191.6,2053568,94.708,,197.5,151,2210718,972298,13753,5568,8184,7542,3993,3549
2011. 08,619,10,,197298,159739,35939,2728,2273,455,12715,5049,7666,9961,4207,5754,187.4,2121635,98.025,,192.8,150.5,2284267,1014767,12534,4870,7664,6407,3672,2735
2011. 09,620,10,,198328,162839,33783,2763,2353,410,11316,5474,5843,10372,3506,6866,183.4,2222477,93.457,,188.4,147.9,2394612,984142,11082,5240,5842,5842,2883,2959
2011. 10,621,10,,198315,161132,35531,3587,2720,868,9751,3953,5798,9710,3611,6100,182.5,2051473,95.101,,188.7,139.3,2205601,974147,9611,3815,5796,5895,3240,2655
2011. 11,622,10,,199931,157044,41544,3639,2314,1325,11253,3574,7679,9328,3599,5729,192.7,2020606,96.804,,198.2,159.5,2174724,1087369,10906,3271,7634,5201,3284,1917
2011. 12,623,10,,199934,155813,42857,3215,2318,897,8121,3332,4788,8039,2907,5132,194.9,2487265,96.919,,200.4,161.4,2718309,1064973,7846,3065,4782,4176,2240,1936
2012. 01,624,10,,198155,155837,41774,3289,2217,1072,18245,4793,13452,19304,4383,14920,177.4,2240744,93.648,,183.4,144.3,2465053,998030,17174,3727,13448,5937,3437,2500
2012. 02,625,10,,203776,157441,45891,3082,2294,788,17072,4659,12413,11351,3632,7719,181.2,2100708,96.368,,189.1,138.7,2323180,907607,16749,4346,12403,4627,3008,1619
2012. 03,626,10,,206381,158270,47729,2949,2284,665,14793,6068,8725,12126,4572,7553,185.5,2077849,96.996,,192.4,146.7,2281955,938983,13843,5188,8655,5825,3642,2183
2012. 04,627,10,,206034,159583,46054,2693,2051,642,10742,4668,6075,11104,3753,7351,184.1,2121506,97.117,,189.2,153.1,2309426,975946,10542,4467,6075,5617,3356,2261
2012. 05,628,10,,205797,160582,44853,2883,2084,799,11721,4319,7403,11923,3690,8233,187.1,2069027,98.643,,193.4,149.2,2256786,955938,11577,4180,7397,6250,3359,2891
2012. 06,629,10,,206018,168585,36652,2791,2020,771,11489,4030,7459,11687,3948,7740,181.1,2144295,96.421,,186.4,144.6,2309039,1000665,11350,3891,7459,5044,3305,1739
2012. 07,630,10,,207881,169117,38044,3167,1793,1375,14531,4735,9796,12607,3761,8846,188.9,2133733,97.349,,195.5,146.2,2304183,1033898,13588,3824,9764,5351,3257,2094
2012. 08,631,10,,205669,172787,31949,2236,1434,802,11079,3448,7632,13504,2967,10537,184.4,2120321,97.865,,191,141,2290957,1001846,10672,3040,7632,5579,2661,2918
2012. 09,632,10,,208818,172906,35080,2874,1508,1366,14203,3842,10361,10953,2729,8225,179.6,2353017,97.32,,185,141.7,2536208,1058139,13878,3539,10340,5056,2398,2658
2012. 10,633,10,,209390,172848,35594,2875,1917,958,13342,4335,9007,12886,4699,8187,182.1,2106164,97.629,,189.2,134.5,2278217,962986,12964,3972,8992,6659,3991,2668
2012. 11,634,10,,208607,169070,38572,2695,2050,645,10176,4017,6159,10976,3927,7049,190.6,2055922,98.278,,198.7,137.3,2220046,972535,9783,3625,6159,5268,3566,1702
2012. 12,635,10,,207940,170437,36623,2652,1843,808,9955,4638,5317,10537,2957,7580,180.2,2524580,97.002,,185.2,147.4,2753054,1039633,9479,4162,5317,4492,2318,2175
2013. 01,636,10,,207545,175318,31730,3293,2107,1187,9489,4908,4581,9501,4734,4767,192.3,2206452,98.336,,198.9,146.2,2375554,1025756,8746,4178,4568,4897,3192,1705
2013. 02,637,10,,211215,175964,34465,3657,3074,583,12848,4248,8600,9466,3971,5496,160.8,2242591,95.542,,170.3,109.9,2512782,807582,12134,3534,8600,4990,2744,2246
2013. 03,638,10,,216776,174190,41694,4114,2782,1333,17096,4625,12470,11642,5576,6066,177.4,2150165,95.756,,184.4,140,2369591,987406,16614,4178,12436,5854,3420,2434
2013. 04,639,10,,211829,175338,35631,4262,3022,1240,9529,5198,4332,14444,4326,10117,189.9,2163053,95.459,,197.6,145.6,2350538,1095319,8828,4510,4318,4814,3200,1614
2013. 05,640,10,,212255,176144,35220,3615,2521,1094,9424,5063,4361,9030,4291,4739,185.8,2155068,97.227,,192.7,145.9,2336485,1102281,8877,4519,4358,4770,2951,1819
2013. 06,641,10,,205621,176056,28635,2718,1798,920,10555,4042,6513,17227,4003,13224,172.8,2192625,94.393,,179.2,127.5,2372780,918446,10431,3918,6513,4616,2940,1676
