ym,activeall_d11,prod
660,73.78807,97.3
661,73.9454,101.1
662,73.72687,98.5
663,73.93574,99.8
664,74.05572,97.7
665,74.05201,99.8
666,74.13706,98.6
667,73.95369,101.8
668,74.03709,102.8
669,74.0591,101.7
670,74.06002,100.7
671,74.07757,100.3
672,74.00309,98.5
673,74.06242,101.3
674,73.8797,101.2
675,73.83492,100.1
676,73.93758,103.3
677,74.09447,103.7
678,74.16756,102.4
679,74.38994,101.1
680,74.3659,101.4
681,74.27394,100.8
682,74.20606,105.3
683,74.17118,104.7
684,73.98551,106.6
685,74.47561,104.8
686,74.48309,106.5
687,74.61223,104.6
688,74.24162,105.1
689,74.4099,104.1
690,74.38204,104.1
691,74.58257,104.9
692,74.48464,105.1
693,74.38822,105.9
694,74.37907,105.3
695,74.38129,103
696,74.4837,104.3
697,74.01244,106.3
698,74.51444,104.5
699,74.49581,107.1
700,74.3788,107.6
701,74.13927,108.2
702,74.17094,107.7
703,74.4388,108.9
704,74.33547,106.2
705,74.21292,107.6
706,74.25938,105.6
707,74.13062,104.2
708,74.29632,104.6
709,74.02177,102.3
710,74.22162,103.9
711,74.23491,105.9
712,74.20885,105.2
713,74.27262,106.2
714,74.24745,108.5
715,73.99521,106.7
716,74.05043,108
717,74.09238,107
718,74.14964,107.7
719,74.24779,111.5
720,74.47314,108.6
721,74.05933,105.4
722,72.87563,110.1
723,72.28177,103.4
724,72.90238,95.2
725,72.92035,103.2
726,72.90929,105.6
727,72.61318,105.9
728,72.59698,109.6
729,72.78127,108.9
730,73.0754,109.4
731,72.5194,112.5
732,72.51734,110.8
733,72.78787,116
734,73.04475,115.1
735,73.02075,112.9
736,73.33228,111
737,73.33904,113.8
738,73.14173,113.7
739,73.09785,113.4
740,73.21037,111.9
741,73.30083,108.6
742,73.45914,114.7
743,73.63677,120.2
