t,prod,L,Lfixed,vorig,vsim,vsimfixed,vsim_sticky,vsimfixed_sticky,worig,wsim,wsimfixed,wsim_sticky,wsimfixed_sticky,wsim_sticky_90,wsimfixed_sticky_90,uorig,usim,usimfixed,usim_sticky,usimfixed_sticky,f,vlong,ulong
714,0.9923704,1,1,,,,,,,,,,,,,,,,,,,,
715,0.9952015,1,1,,,,,,,,,,,,,,,,,,,,
716,0.9956482,1,1,,,,,,,,,,,,,,,,,,,,
717,0.9930951,1,1,,,,,,,,,,,,,,,,,,,,
718,0.9879557,1,1,,,,,,,,,,,,,,,,,,,,
719,0.9807192,1,1,0.009518,0.009227688,0.009227688,0.009227688,0.009227688,0.797224902,0.761594821,0.761522938,0.8106189,0.8106189,0.8106189,0.8106189,0.0729055,0.075373272,0.075413398,0.075413373,0.075413398,0.934369,,
720,0.9707118,1,1,0.0088033,0.008915126,0.008864596,0.008864621,0.008864596,0.799470294,0.747821241,0.747111859,0.809983834,0.80998383,0.804268241,0.804268196,0.0758093,0.076168071,0.076159726,0.076159675,0.076159726,0.9330034,,
721,0.9584495,1,1,0.0087129,0.008368022,0.008212739,0.008212865,0.008212739,0.800927078,0.733981484,0.732011143,0.809204127,0.809204103,0.797042732,0.797042491,0.0770257,0.077366113,0.077214349,0.077214197,0.077214349,0.9311866,,
722,0.9462226,1,1,0.007624,0.007644804,0.007390797,0.007391297,0.007390797,0.802206843,0.722284788,0.719037967,0.808302544,0.808302441,0.789243043,0.789242039,0.0769328,0.07875023,0.078475305,0.078474771,0.078475304,0.9290124,,
723,0.9345339,1,1,0.006366,0.006810135,0.006495429,0.006497325,0.006495429,0.801887627,0.712329767,0.708143497,0.807301254,0.807300852,0.781136086,0.781132185,0.08023,0.080171238,0.079856649,0.07985469,0.079856649,0.9266169,,
724,0.9273676,1,1,0.0062978,0.006020001,0.005648223,0.005655325,0.005648222,0.800532412,0.702410143,0.697325012,0.806202618,0.806201093,0.772766247,0.772751468,0.0819719,0.081608859,0.081242393,0.081235113,0.081242393,0.9242758,,
725,0.9289133,1,1,0.0069148,0.005383716,0.004956528,0.004983059,0.004956528,0.80048199,0.694747306,0.688737702,0.80503219,0.80502646,0.764405609,0.764350092,0.0847505,0.082900177,0.08252359,0.082496443,0.08252359,0.9222249,,
726,0.9370801,1,1,0.0076529,0.005024778,0.00449406,0.004593081,0.00449406,0.802976588,0.692358561,0.684666879,0.80384439,0.803822864,0.756590263,0.756381771,0.088247,0.083967293,0.083617938,0.083516631,0.083617938,0.920704,,
727,0.9489511,0.999658,1,0.0087269,0.005028119,4.22E-03,0.004589065,0.004217976,0.806908745,0.695577295,0.683388917,0.802699316,0.802618524,0.74986494,0.749082486,0.0912606,0.084672787,0.084554425,0.084205111,0.084554425,0.9199479,,
728,0.9619359,0.9983062,1,0.0079756,0.005439681,3.98E-03,0.005025915,0.003980603,0.811372686,0.7069502,0.684201168,0.801683093,0.801434351,0.744986148,0.742594355,0.0901293,0.084990545,0.085469075,0.084542875,0.085469075,0.9200834,,
