uT,empT,vacancyT,matchedT
0.0215314,3585430,44916,118470
0.02134635,3581912,49892,96858
0.0213569,3588541,53833,125430
0.02053813,3589494,56250,116193
0.02053841,3583449,51202,101353
0.02084296,3588904,43269,110766
0.02065544,3597781,39952,111080
0.0215266,3596149,42625,97861
0.02080271,3601051,48236,101298
0.01993975,3612198,50407,110542
0.01977507,3616011,45454,113447
0.02003446,3634111,46303,120747
0.02155098,3627992,43026,110435
0.02309407,3614625,48299,89805
0.02300747,3614234,52925,112791
0.02206727,3613785,52620,105613
0.02121083,3613992,52688,101997
0.02005582,3614863,49571,100868
0.02062362,3617757,46886,101725
0.02212328,3620416,48489,97971
0.02177539,3628114,51672,101082
0.02160051,3635446,51787,109221
0.02085449,3642783,47874,99428
0.02008427,3646129,50717,98364
0.01943025,3640115,44670,96478
0.0198824,3633563,54085,107872
0.02011458,3633936,57639,119944
0.02038317,3635096,54221,110718
0.02005927,3630187,54916,105636
0.01909817,3628326,56194,95812
0.01963377,3628682,50432,101852
0.02107516,3629852,51617,104815
0.01972949,3650574,51455,113339
0.01929579,3649920,51802,95161
0.01892285,3660032,46493,110156
0.0183532,3666487,51474,103272
0.01888253,3716719,49706,128896
0.01933289,3705844,53772,110020
0.01955527,3707015,56831,141941
0.02032879,3705462,57314,133455
0.02065147,3706772,57483,129730
0.02095636,3707410,53232,133869
0.02247581,3708921,54076,128837
0.02421556,3715172,56829,125317
0.02218398,3708637,56012,120667
0.0227674,3725800,51556,134886
0.02267442,3732141,50010,127965
0.02175871,3728507,46258,125174
0.02268819,3734614,43018,141277
0.02154297,3730576,42353,114372
0.01976257,3730956,42107,128999
0.01995419,3736843,42266,135746
0.020174,3732591,43457,118833
0.02011228,3728840,41000,121271
0.02112259,3726500,42927,116384
0.02142665,3730210,40564,112661
0.02078329,3729861,39978,114199
0.01985938,3738194,41157,119004
0.0183175,3735574,35917,113643
0.01871832,3732618,38321,110915
0.02005106,3729925,35529,113794
0.02130739,3719700,35114,109449
0.0223134,3708373,30629,114257
0.02245486,3670583,25405,97343
0.02340306,3652870,25059,99215
0.0239668,3640734,27506,112974
0.0237245,3643498,30582,125060
0.02235193,3642894,34984,113902
0.02315818,3648436,31981,122529
0.02339693,3647798,34048,117099
0.0227895,3650886,35184,114416
0.02306611,3647536,34543,113282
0.02285817,3648470,35175,133945
0.02187393,3644796,42074,112170
0.02224042,3656235,47977,137915
0.02235872,3657801,51268,137090
0.02086636,3658997,50229,121327
0.02140016,3659387,52225,129843
0.02062939,3662565,52149,124456
0.02219231,3664405,54698,118172
