ym,nonuC,uC
660,2.15314,2.15314
661,2.134635,2.481839
662,2.13569,2.50686
663,2.053813,2.12486
664,2.053841,2.46422
665,2.084296,2.567678
666,2.065544,2.755603
667,2.15266,2.563365
668,2.080271,2.337905
669,1.993975,2.201767
670,1.977507,2.484932
671,2.003446,2.441352
672,2.155098,2.618559
673,2.309407,2.985679
674,2.300747,3.070111
675,2.206727,2.827771
676,2.121083,2.757508
677,2.005582,2.257894
678,2.062362,2.600112
679,2.212328,2.873773
680,2.177539,2.730381
681,2.160051,2.916395
682,2.085449,2.562376
683,2.008427,2.317739
684,1.943025,2.474077
685,1.98824,2.46445
686,2.011458,2.737459
687,2.038317,2.733914
688,2.005927,2.374977
689,1.909817,2.17159
690,1.963377,2.21487
691,2.107516,2.397725
692,1.972949,2.195288
693,1.929579,2.261162
694,1.892285,2.475094
695,1.83532,2.339765
696,1.888253,2.480449
697,1.933289,2.499891
698,1.955527,2.695932
699,2.032879,2.823139
700,2.065147,2.755338
701,2.095636,2.571398
702,2.247581,2.938949
703,2.421556,3.172499
704,2.218398,2.89073
705,2.27674,2.782297
706,2.267442,2.866054
707,2.175871,2.757232
708,2.268819,2.883321
709,2.154297,2.979138
710,1.976257,2.7306
711,1.995419,2.701953
712,2.0174,2.706304
713,2.011228,2.446574
714,2.112259,2.643477
715,2.142665,2.118643
716,2.078329,2.82614
717,1.985938,2.345025
718,1.83175,2.141806
719,1.871832,2.320921
720,2.005106,2.482702
721,2.130739,2.763298
722,2.23134,2.731635
723,2.245486,2.516277
724,2.340306,3.28482
725,2.39668,3.056468
726,2.37245,2.723498
727,2.235193,1.890862
728,2.315818,2.445421
729,2.339693,2.702118
730,2.27895,2.505512
731,2.306611,2.580732
732,2.285817,2.587881
733,2.187393,2.402269
734,2.224042,2.186589
735,2.235872,2.139882
736,2.086636,2.244928
737,2.140016,2.192671
738,2.062939,1.938929
739,2.219231,1.730056
740,2.138244,1.855345
741,2.122794,2.024999
742,1.92425,1.882347
743,1.953126,1.783169
