u,v
1.858981766,1.226910907
1.778560236,1.320591465
1.902396485,1.404121809
1.84299721,1.4579977
1.864703671,1.334106564
1.859453008,1.392523778
1.862602856,1.292782593
1.876230406,1.27593989
1.825766901,1.184422446
1.725095065,1.340374762
1.780524823,1.360232333
1.744688531,1.248058806
1.846413255,1.169192704
1.913708571,1.179624665
1.908423091,1.182352735
1.886687306,1.185455409
1.911780495,1.065125874
1.896569133,1.120202087
1.94788942,1.030868375
1.948481929,0.945027014
1.921175448,0.992732491
1.830654253,1.257506869
1.796835073,1.20749374
1.727215985,1.322326151
1.894974019,1.24187676
1.852926801,1.450570989
1.885699948,1.604843987
1.930404808,1.613476784
1.891764488,1.522342295
1.812914662,1.419819941
1.903057229,1.346722551
1.834676176,1.311534867
1.778673294,1.25211055
1.736575628,1.079475628
1.633580529,1.486065144
1.617996126,1.482184796
1.737328619,1.496345681
1.716728916,1.594291617
1.752124123,1.735037366
1.808279157,1.632627275
1.751988413,1.568997646
1.768008834,1.37783155
1.893645821,1.245247661
1.862927866,1.246586975
1.856454074,1.218924134
1.79178271,1.38004633
1.70708522,1.28378715
1.702683356,1.283245583
1.876780393,1.252736771
1.882678324,1.392887374
1.985975254,1.500136128
2.003305651,1.567073242
1.92342553,1.428846901
2.011453684,1.205632695
2.105266583,1.110462254
2.034100835,1.185295715
2.017913146,1.33949783
1.934499604,1.39546614
1.845338499,1.257020512
1.813526046,1.274121787
2.004880531,1.185945283
2.056740031,1.336210534
2.159431149,1.464349016
2.116583359,1.456091051
2.157516813,1.457889226
2.178573378,1.371310614
2.245869509,1.295996387
2.283691371,1.339321227
2.167849042,1.424211036
1.964938714,1.424501973
1.972646421,1.314214983
1.877549989,1.390982052
1.96133473,1.227159032
2.033289187,1.488483893
2.056788654,1.586131401
1.977335813,1.491597471
2.008286389,1.512759536
2.028564345,1.548758298
2.065424378,1.389815917
2.115587263,1.4220139
2.110086249,1.409504368
1.801274423,1.419263984
1.910123371,1.27028944
1.806852549,1.403905155
2.007214665,1.337362335
2.028877876,1.451005493
2.126641551,1.533066362
2.187026155,1.546743699
2.260188485,1.550756291
2.226259943,1.435827168
2.320105416,1.457998162
2.31069986,1.529646541
2.128684775,1.510312279
2.115389935,1.383756509
2.026953115,1.339981528
1.949437351,1.240657454
2.214316161,1.151872724
2.130777265,1.135293853
2.27180144,1.128584738
2.3598918,1.131061701
2.36620684,1.164258286
2.306148944,1.099537658
2.44349797,1.151938817
2.373461222,1.087445479
2.282731691,1.071836189
2.178668352,1.100986198
2.161477111,0.961485437
2.148009436,1.026652071
1.66512517,0.95253926
1.738178079,0.94400086
1.847287476,0.825941727
1.958800005,0.692124385
2.105220005,0.686008536
2.303622017,0.755506994
2.430554648,0.839358221
2.402612868,0.960335382
2.417612369,0.876567384
2.281182237,0.933385017
2.13349061,0.963711274
2.051629374,0.947022867
2.082461964,0.964102761
2.080706575,1.154358159
2.12842227,1.312196836
2.066333297,1.40160714
1.991965558,1.372753244
2.004613614,1.427151597
1.997215066,1.423838212
1.953884464,1.492684351
