ym,indmc,wage_tot_service
696,0,3295269.76
697,0,3584638.206
698,0,3168270.395
699,0,3066585.493
700,0,3054143.775
701,0,3086608.375
702,0,3298952.41
703,0,3145934.485
704,0,3466762.15
705,0,3030334.289
706,0,3017338.515
707,0,3544485.578
708,0,3641225.173
709,0,3493167.805
710,0,3301573.023
711,0,3211518.244
712,0,3189962.944
713,0,3217718.862
714,0,3395783.763
715,0,3282677.444
716,0,3590070.262
717,0,3202188.695
718,0,3137967.734
719,0,3708323.559
720,0,3857365.983
721,0,3335905.236
722,0,3411613.808
723,0,3267303.174
724,0,3229160.991
725,0,3261184.064
726,0,3449018.029
727,0,3301993.008
728,0,3661862.362
729,0,3237347.698
730,0,3206068.714
731,0,3832261.913
732,0,3654489.485
733,0,3853693.361
734,0,3569649.15
735,0,3406443.171
736,0,3341447.296
737,0,3374717.889
738,0,3644075.702
739,0,3424598.557
740,0,3807480.881
741,0,3333422.568
742,0,3323126.943
743,0,4042073.971
744,0,4328683.1
745,0,3613068.427
746,0,3784086.642
747,0,3483831.503
