nation,issue,code
Mexico,5772838,484
China-mainland,3783356,156
India,3465867,356
Brazil,1892855,76
Philippines,943595,608
Argentina,912445,32
Colombia,775901,170
Dominican Republic,662730,214
Ecuador,655477,218
Israel,621128,376
Vietnam,572688,704
Russia,559980,643
Nigeria,418212,566
Peru,384825,604
China - mainland,354253,156
Poland,340013,616
Turkey,312602,792
Jamaica,302179,388
"Korea, South",301544,410
Japan,289526,392
Indonesia,281313,360
Saudi Arabia,278182,682
Costa Rica,255690,188
Germany,247636,276
Pakistan,247277,586
Ukraine,230728,804
Great Britain & Northern Ireland,228704,826
South Africa,226308,710
Egypt,225549,818
Thailand,215605,764
El Salvador,202910,222
Guatemala,198798,320
Romania,192683,642
France,179195,250
Hong Kong S. A. R.,178364,344
Honduras,174362,340
Australia,159310,36
Malaysia,146470,458
Bangladesh,137628,50
Italy,129983,380
Haiti,127883,332
Spain,124029,724
Trinidad and Tobago,114708,780
Jordan,114692,400
Panama,113434,591
Venezuela,112208,862
Mexico City,109460,484
Monterrey,108492,484
China - mainland born,107561,156
Nepal,107135,524
Ethiopia,105644,231
Kenya,87144,404
Great Britain and Northern Ireland,85549,826
Ghana,85462,288
Bolivia,85247,68
Uruguay,83668,858
China-Taiwan,80433,158
Lebanon,78457,422
Netherlands,77125,528
Bulgaria,74931,100
Kazakhstan,74794,398
Morocco,72160,504
China - Mainland,71805,156
Kuwait,71605,414
Belarus,68494,112
Serbia,68092,688
Albania,65398,8
Burma,62952,104
United Arab Emirates,62753,784
Afghanistan,61265,4
Cuba,60436,192
Nicaragua,58659,558
Croatia,57643,191
Ireland,54744,372
Algeria,53144,12
Sweden,50878,752
"Bahamas, The",50353,44
Chile,50183,152
Sri Lanka,48113,144
Singapore,45647,702
Cameroon,45499,120
Iran,42153,364
Paraguay,41747,600
"Congo, Democratic Republic of the",41224,180
Canada,40654,124
Armenia,40247,51
Uzbekistan,40198,860
Barbados,39336,52
Iraq,39159,368
Switzerland,38749,756
Guyana,38674,328
New Zealand,35813,554
Hong Kong S.A.R.,34240,344
Sao Paulo,33906,76
Buenos Aires,33647,32
Denmark,33147,208
Uganda,33131,800
Zimbabwe,33107,716
Azerbaijan,32885,31
Cambodia,32863,116
Mongolia,32774,496
Belgium,32536,56
New Delhi,32412,356
Norway,30037,578
Manila,29727,608
Austria,29686,40
Greece,28785,300
Portugal,28701,620
Guadalajara,28604,484
Tijuana Tpf,28024,484
Tunisia,26903,788
Qatar,26833,634
Tel Aviv,26832,376
Yemen,26622,887
Bogota,26382,170
Czech Republic,25472,203
Georgia,25405,268
Montenegro,24888,499
Tanzania,23054,834
Sudan,23038,729
Palestinian Authority Travel Document,22768,376
Quito,22708,218
Kosovo,22487,
Hungary,22481,348
Senegal,21736,686
Oman,20773,512
Bosnia-Herzegovina,20533,70
Lima,20094,604
Liberia,19756,430
Angola,19640,24
Moldova,19564,498
China - Taiwan,19325,158
Cote D'Ivoire,19169,384
Suriname,19016,740
Belize,18707,84
Cyprus,18634,196
Finland,18544,246
Santo Domingo,17908,214
Jakarta,16884,360
Slovakia,16787,703
Ho Chi Minh City,16488,704
Bahrain,15904,48
Rio de Janeiro,15651,76
Brasilia,15019,76
Chennai,14689,31
Syria,14669,760
Lithuania,14497,440
Macedonia,14491,807
Hyderabad,14379,356
Fiji,13774,242
Seoul,13631,410
Kyrgyzstan,13194,417
Mumbai,12762,356
Sierra Leone,12607,694
Rwanda,12460,646
Nuevo Laredo,12352,484
Taiwan,12310,158
Mauritius,12308,480
Cabo Verde,12236,132
Togo,12029,768
Hermosillo,11856,484
Zambia,11806,894
Shanghai,11745,156
Antigua and Barbuda,11647,28
Grenada,11284,308
London,10813,826
British National Overseas (Hong Kong) Passport,10809,344
St Lucia,10801,662
Tokyo,10274,392
Bangkok,10244,764
Mali,10169,466
Istanbul,10144,792
Guinea,9782,226
Porto Alegre,9522,76
North Macedonia,9472,807
Latvia,9427,428
Burkina Faso,9394,854
Kingston,9338,388
Paris,9314,250
Macau S. A. R.,9156,156
Tajikistan,9153,762
Laos,8737,418
Dominica,8595,212
Kuwait City,8438,414
San Jose,8303,
Benin,8271,204
Cote d'Ivoire,8173,384
*Non-Nationality Based Issuances,8106,
Tegucigalpa,8037,340
Matamoros,7931,484
Guatemala City,7845,320
Eritrea,7644,232
Madagascar,7622,450
Frankfurt,7479,276
Recife,7377,76
Ciudad Juarez,7274,484
Beijing,7242,156
Mozambique,7179,508
La Paz,7173,68
Guangzhou,6909,156
San Salvador,6870,222
China - Taiwan born,6791,158
St. Vincent and The Grenadines,6773,670
"Gambia, The",6737,270
Kolkata,6722,356
Doha,6507,634
Iceland,6500,352
Malawi,6486,454
Jeddah,6374,682
Dubai,6199,784
Niger,5892,562
Abu Dhabi,5855,784
Namibia,5653,516
Madrid,5638,724
Estonia,5636,233
Dhaka,5461,50
St. Kitts and Nevis,5449,
Kyiv,5405,
Montevideo,5404,
"Congo, Republic of the",5378,178
Turkmenistan,5299,
Islamabad,5174,
Jerusalem,5161,
Cairo,5140,
Libya,5011,
Riyadh,4905,
Gabon,4900,
Burundi,4840,
Botswana,4839,
Toronto,4813,
Somalia,4797,
Berlin,4787,
Slovenia,4769,
AIT Taipei,4755,
Mauritania,4678,
Saint Lucia,4618,662
Osaka/Kobe,4269,
Tonga,4265,
Panama City,4229,591
Chad,4151,
Port of Spain,4020,724
Hong Kong,3967,344
Warsaw,3953,
Samoa,3892,
Equatorial Guinea,3876,226
Vancouver,3856,
Melbourne,3833,
Santiago,3820,
Kathmandu,3635,
Hanoi,3566,
Nassau,3563,
China-Mainland born,3509,156
Abuja,3386,
Karachi,3370,
Cayman Islands,3360,
Bucharest,3359,
Milan,3356,
Lagos,3315,
Department,3234,
Papua New Guinea,3221,226
Kuala Lumpur,3128,
Nogales,2976,
Munich,2955,
Merida,2903,
Saint Vincent and the Grenadines,2896,
Bhutan,2893,
Bern,2869,
Casablanca,2788,
Nur-Sultan,2688,
South Sudan,2658,728
Nairobi,2598,
China - Mainland born,2526,156
Tirana,2511,
Belgrade,2489,
Brussels,2449,
Ankara,2441,
Ottawa,2436,
Surabaya,2435,
Saint Kitts and Nevis,2391,
Calgary,2373,
Accra,2325,
Yerevan,2292,
Dhahran,2173,
Asuncion,2168,
Managua,2163,
Port-au-Prince,2038,
Belmopan,2023,
Addis Ababa,2005,
Bosnia and Herzegovina,2005,70
Bridgetown,1981,
Vienna,1938,
Manama,1892,
Tashkent,1875,
Muscat,1862,
Cape Town,1843,
Amman,1802,
Luxembourg,1785,
Johannesburg,1718,
Almaty,1638,
Stockholm,1601,
Djibouti,1600,
Sofia,1553,
Dublin,1539,
Beirut,1520,
Kiribati,1447,
Copenhagen,1445,
Amsterdam,1421,
Malta,1420,
Colombo,1406,
Georgetown,1346,
Algiers,1344,
Oslo,1333,
Rome,1315,
Paramaribo,1311,
Phnom Penh,1236,
Lisbon,1183,
Lesotho,1169,
Hong Kong S.A.R.B,1133,344
Central African Republic,1121,
Maldives,1118,
Prague,1107,
Eswatini,1094,
Florence,1090,
Athens,1077,
Tunis,1060,
Bermuda,1048,
Harare,1040,
Naples,1029,
Podgorica,1010,
Dar es Salaam,932,
Baku,929,
Port Louis,922,
Budapest,920,
Abidjan,881,
Kinshasa,855,
Swaziland,828,
Macau S.A.R.,807,
Belfast,803,
Luanda,777,
Rangoon,756,
Chiang Mai,747,
Lusaka,744,
Curacao,743,
Bishkek,729,
Shenyang,715,
Timor-Leste,702,
Seychelles,698,
Zagreb,696,
Helsinki,695,
Perth,692,
Pristina,681,
Turks and Caicos Islands,679,
Brunei,670,
Democratic Republic of the Congo,626,180
Freetown,625,
Dakar,609,
Skopje,603,
China,598,156
Sarajevo,580,
Ulaanbaatar,577,
Suva,568,
Guinea-Bissau,562,226
Kampala,559,
Riga,557,
Nicosia,554,
Solomon Islands,541,
Krakow,520,
Durban,497,
Comoros,492,
Tallinn,481,
Minsk,458,
Chisinau,457,
*Non-nationality based issuances,451,
Tbilisi,441,
Vanuatu,411,
Auckland,399,
Halifax,396,
**Eswatini,395,
Kigali,385,
Ouagadougou,365,
Vilnius,345,
Moscow,331,
Lilongwe,329,
Windhoek,312,
Bratislava,308,
Libreville,286,
Yaounde,282,
British Virgin Islands,275,
Antananarivo,268,
Bamako,256,
South Korea,250,410
Tuvalu,247,
Dushanbe,241,
Sao Tome and Principe,239,
*Non-Nationlity Based Issuances,238,
Hamilton,237,
Niamey,232,
Nauru,231,
Ljubljana,230,
"Korea, North",220,
St. Vincent and the Grenadines,216,
Erbil,209,
"Marshall Islands, Republic of the",206,
Valletta,203,
Hong Kong S.A.R,203,344
Gaborone,202,
Maputo,194,
Liechtenstein,188,
Antigua And Barbuda,179,
N`Djamena,176,
Guayaquil,168,
Malabo,168,
Quebec,164,
Port Moresby,160,
ChileH1,160,
