"SQGDP8 Chain-type quantity indexes for real GDP by state (2012=100.0)"
"Chain-type quantity indexes for real GDP by state: Private industries (Quantity index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4"
"01000","Alabama",96.522,97.761,97.465,98.573,99.139,99.378,99.634,99.220,98.832,99.639,100.425,100.111,99.755,99.807,98.581,95.139,93.845,93.649,93.989,94.458,94.433,95.928,98.172,98.352,97.393,97.994,98.592,100.196,100.197,100.819,99.696,99.289,101.967,101.536,102.419,101.311,99.457,100.946,101.594,101.572,101.037,101.995,102.287,102.157,102.966,103.604,103.537,104.054,104.817,104.980,105.522,106.384,107.188,107.598,107.542,108.129,108.702,109.000,109.282,109.532,108.047,97.068,107.293,107.859,108.677,109.430,109.654,111.488
"02000","Alaska",75.170,76.442,75.995,77.003,79.702,82.739,83.807,86.882,87.736,89.540,89.354,87.397,84.803,82.370,86.379,95.971,99.968,98.738,95.541,93.976,91.214,93.924,94.771,94.433,90.809,93.065,94.456,98.799,98.678,101.944,100.761,98.617,97.436,93.737,94.410,93.637,91.404,91.898,92.686,93.764,95.135,94.013,93.737,93.769,94.329,92.386,91.931,91.851,92.021,92.207,93.270,91.656,90.527,89.816,89.752,90.397,89.747,89.790,91.787,91.601,89.598,79.195,81.920,84.503,83.385,83.812,83.825,84.780
"04000","Arizona",94.582,96.016,97.795,98.238,100.110,100.566,101.315,103.125,103.386,104.596,105.753,105.667,105.137,105.067,103.748,99.667,96.037,94.042,93.151,93.923,93.399,94.539,95.816,97.102,96.757,97.235,97.381,99.665,99.868,100.219,99.845,100.069,100.579,100.514,101.164,101.989,102.291,102.669,103.631,103.290,105.016,105.266,105.344,106.286,107.281,108.426,109.734,110.332,111.526,112.358,114.225,115.131,117.213,117.699,118.594,119.379,120.874,121.848,123.395,124.250,122.176,114.053,122.307,125.069,125.887,127.667,128.672,130.907
"05000","Arkansas",96.428,97.046,97.650,100.028,99.744,101.062,100.187,99.490,97.151,98.128,98.411,103.621,98.034,99.507,98.529,96.367,96.898,92.996,93.241,93.921,93.896,96.944,98.417,98.620,98.087,99.184,99.192,100.722,100.611,100.466,99.940,98.982,102.240,101.980,103.078,102.864,102.895,103.538,104.346,104.707,103.936,104.677,105.560,105.364,104.855,104.894,104.944,106.509,105.873,106.273,106.254,107.376,108.166,108.425,108.868,109.545,109.040,109.214,109.988,110.818,109.610,101.614,109.568,110.288,112.709,113.333,113.466,115.052
"06000","California",88.313,89.322,90.618,91.610,93.617,93.420,93.890,94.546,94.043,94.925,95.971,97.389,95.800,97.967,97.789,94.129,94.208,92.981,92.687,93.443,94.424,94.955,95.592,97.817,97.049,97.271,96.730,97.481,98.915,99.327,100.157,101.602,101.454,102.375,103.676,106.499,105.402,106.606,108.628,108.762,111.427,112.752,112.675,112.959,114.696,114.747,116.480,117.472,118.961,121.081,123.112,125.084,125.236,127.170,128.598,128.899,130.292,132.319,133.269,134.259,132.410,119.881,130.139,132.485,136.066,139.348,140.129,143.698
"08000","Colorado",89.128,89.616,90.413,89.284,91.946,91.562,92.822,92.660,94.122,95.723,96.757,98.758,97.437,98.212,97.775,96.486,96.082,94.149,94.710,95.104,94.492,95.085,96.376,98.572,97.261,97.581,97.845,98.719,99.296,100.010,99.799,100.895,102.776,102.962,104.414,105.654,106.271,107.654,109.577,111.931,113.102,113.661,114.422,115.274,114.799,115.259,117.036,118.374,118.574,119.462,121.097,122.650,123.964,124.963,125.584,127.126,128.380,130.291,132.529,132.412,131.036,118.882,127.141,128.385,130.969,134.322,134.882,137.233
"09000","Connecticut",97.751,97.863,97.774,99.518,102.981,102.192,102.165,103.549,107.261,107.166,107.218,106.419,112.194,110.161,105.342,99.305,101.993,100.913,100.849,101.249,101.122,101.821,101.679,100.453,97.883,99.335,98.331,99.086,100.136,100.146,99.955,99.763,98.154,97.366,97.982,97.612,95.747,97.113,98.377,99.592,100.695,101.080,100.718,100.618,101.353,100.856,100.651,101.418,101.262,103.309,103.533,103.596,104.176,103.822,105.203,104.815,105.378,105.624,105.497,105.412,102.773,91.874,99.135,100.223,101.025,102.452,103.095,105.250
"10000","Delaware",94.043,90.789,90.697,103.331,97.192,98.815,97.327,95.787,96.762,99.124,96.112,94.777,93.341,94.103,93.685,91.920,97.545,99.295,99.506,96.256,98.509,95.541,95.904,97.091,99.721,100.859,101.496,101.368,102.884,100.527,99.762,96.827,95.218,94.888,95.808,100.128,101.179,104.698,107.285,108.000,109.485,111.220,107.572,106.103,103.122,102.212,100.842,100.610,99.304,96.636,96.824,96.588,97.047,97.913,99.826,100.130,101.807,103.116,103.509,104.262,101.131,94.205,100.627,101.171,101.479,102.761,104.032,106.104
"11000","District of Columbia",86.853,87.235,87.229,87.263,87.820,88.397,90.324,88.642,91.086,91.414,94.899,94.999,96.914,97.065,97.250,96.410,93.534,94.323,92.978,93.327,94.808,96.452,97.282,98.645,97.897,98.849,98.939,99.158,99.274,100.386,100.415,99.925,100.647,99.980,101.074,101.112,102.673,102.699,103.899,104.720,106.085,107.030,106.491,106.875,108.816,109.169,108.570,109.432,108.440,109.486,111.537,111.433,111.699,112.664,114.302,114.496,113.892,114.433,115.477,116.993,115.919,105.319,110.380,111.848,111.430,113.981,115.106,117.256
"12000","Florida",104.324,105.107,107.224,107.150,108.878,109.429,109.073,110.272,109.065,109.986,110.408,109.507,107.360,106.515,104.545,100.766,98.896,97.698,97.293,98.133,97.829,98.576,99.363,99.976,98.573,99.087,98.839,99.358,99.793,99.490,100.516,100.201,101.751,101.906,103.043,103.985,104.018,105.490,107.046,108.132,109.411,111.004,112.292,113.308,113.655,114.672,116.440,117.384,118.536,119.369,120.029,121.849,123.740,124.410,125.811,126.137,127.953,128.612,129.456,130.101,128.340,116.906,127.132,127.690,130.467,134.251,135.423,138.136
"13000","Georgia",98.763,99.550,99.962,101.105,100.718,100.858,101.397,102.314,100.519,101.457,102.539,103.424,100.636,101.106,100.050,96.169,94.891,94.941,94.741,95.210,94.838,95.353,96.355,97.946,97.633,97.752,98.335,99.170,99.634,99.963,100.334,100.069,101.762,101.675,102.386,103.351,104.272,105.933,107.182,107.664,109.238,110.829,111.513,112.413,114.390,115.075,115.983,117.047,118.709,119.140,119.997,121.926,121.794,123.169,124.483,125.319,126.569,128.745,129.377,129.334,126.431,115.416,124.303,125.276,127.358,129.965,130.925,133.580
"15000","Hawaii",92.202,93.571,94.979,95.913,95.668,96.437,97.034,97.083,97.184,97.825,99.542,100.500,99.839,100.286,98.471,95.903,94.216,93.946,93.582,94.357,94.974,95.994,97.708,98.536,97.532,97.587,97.608,98.936,99.431,99.925,100.457,100.186,102.793,102.021,102.601,102.968,101.582,102.570,103.701,104.117,105.754,107.013,107.546,108.620,108.321,109.004,109.656,109.896,111.487,112.066,113.013,113.127,114.276,115.677,115.374,114.419,113.017,113.307,114.719,114.302,110.307,91.372,95.656,97.066,98.417,104.744,106.094,108.171
"16000","Idaho",93.034,94.766,96.163,95.479,98.003,98.576,96.840,97.687,98.649,98.975,100.017,102.262,102.282,104.508,104.343,101.170,99.150,96.305,97.245,96.856,98.604,98.998,100.293,101.026,99.688,99.594,99.399,101.022,99.791,100.329,100.604,99.276,102.226,104.108,105.380,107.382,107.276,108.124,109.182,109.962,110.399,109.186,109.263,109.032,112.821,113.924,114.803,114.181,114.321,115.827,116.966,118.323,122.511,123.723,124.568,126.138,127.916,129.099,130.409,131.410,130.852,120.300,131.726,133.833,136.252,136.990,136.363,139.597
