STATE,Benefits
01/31/2000,"6,344,245"
02/29/2000,"7,480,816"
03/31/2000,"6,494,583"
04/30/2000,"4,977,351"
05/31/2000,"4,915,332"
06/30/2000,"4,455,732"
07/31/2000,"6,211,122"
08/31/2000,"6,422,030"
09/30/2000,"4,130,540"
10/31/2000,"3,893,915"
11/30/2000,"5,020,405"
12/31/2000,"6,056,381"
01/31/2001,"10,193,906"
02/28/2001,"9,016,336"
03/31/2001,"8,442,259"
04/30/2001,"5,852,336"
05/31/2001,"6,076,486"
06/30/2001,"6,057,313"
07/31/2001,"6,576,750"
08/31/2001,"7,316,014"
09/30/2001,"5,324,021"
10/31/2001,"6,710,038"
11/30/2001,"6,475,771"
12/31/2001,"7,314,545"
01/31/2002,"11,335,728"
02/28/2002,"9,002,087"
03/31/2002,"10,628,435"
04/30/2002,"9,311,197"
05/31/2002,"8,958,168"
06/30/2002,"7,663,442"
07/31/2002,"9,663,969"
08/31/2002,"8,864,262"
09/30/2002,"7,329,690"
10/31/2002,"8,391,928"
11/30/2002,"7,420,928"
12/31/2002,"8,849,623"
01/31/2003,"12,535,502"
02/28/2003,"12,513,617"
03/31/2003,"12,727,498"
04/30/2003,"10,960,191"
05/31/2003,"8,456,870"
06/30/2003,"8,264,044"
07/31/2003,"10,232,977"
08/31/2003,"8,747,428"
09/30/2003,"8,402,029"
10/31/2003,"8,976,149"
11/30/2003,"8,554,224"
12/31/2003,"10,797,204"
01/31/2004,"11,388,237"
02/29/2004,"11,397,233"
03/31/2004,"12,158,702"
04/30/2004,"8,896,110"
05/31/2004,"7,057,635"
06/30/2004,"8,162,224"
07/31/2004,"8,696,701"
08/31/2004,"10,157,555"
09/30/2004,"8,259,922"
10/31/2004,"6,744,860"
11/30/2004,"7,966,821"
12/31/2004,"8,244,210"
01/31/2005,"10,307,036"
02/28/2005,"9,564,020"
03/31/2005,"10,809,018"
04/30/2005,"7,834,879"
05/31/2005,"6,079,529"
06/30/2005,"9,135,025"
07/31/2005,"7,802,006"
08/31/2005,"8,765,229"
09/30/2005,"5,847,752"
10/31/2005,"7,701,419"
11/30/2005,"6,382,817"
12/31/2005,"9,786,227"
01/31/2006,"10,448,240"
02/28/2006,"8,249,114"
03/31/2006,"9,081,973"
04/30/2006,"7,009,664"
05/31/2006,"8,582,058"
06/30/2006,"6,667,300"
07/31/2006,"9,838,625"
08/31/2006,"8,577,465"
09/30/2006,"6,583,415"
10/31/2006,"7,941,619"
11/30/2006,"6,757,922"
12/31/2006,"7,989,264"
01/31/2007,"11,377,214"
02/28/2007,"11,096,384"
03/31/2007,"10,402,572"
04/30/2007,"9,452,696"
05/31/2007,"7,264,025"
06/30/2007,"6,965,697"
07/31/2007,"9,669,028"
08/31/2007,"7,594,222"
09/30/2007,"6,604,124"
10/31/2007,"8,202,823"
11/30/2007,"7,440,007"
12/31/2007,"9,344,415"
01/31/2008,"11,949,313"
02/29/2008,"10,276,690"
03/31/2008,"11,258,886"
04/30/2008,"9,402,051"
05/31/2008,"8,440,925"
06/30/2008,"9,423,704"
07/31/2008,"10,397,512"
08/31/2008,"9,759,647"
09/30/2008,"10,845,439"
10/31/2008,"10,110,812"
11/30/2008,"10,782,033"
12/31/2008,"15,486,275"
01/31/2009,"16,544,068"
02/28/2009,"18,247,749"
03/31/2009,"22,005,351"
04/30/2009,"17,331,598"
05/31/2009,"15,995,915"
06/30/2009,"19,370,125"
07/31/2009,"16,007,243"
08/31/2009,"16,562,618"
09/30/2009,"13,283,911"
10/31/2009,"12,404,246"
11/30/2009,"14,659,650"
12/31/2009,"14,973,639"
01/31/2010,"15,616,767"
02/28/2010,"15,774,193"
03/31/2010,"18,187,125"
04/30/2010,"12,796,893"
