STATE,Benefits
01/31/2000,"10,826,804"
02/29/2000,"8,824,145"
03/31/2000,"9,791,851"
04/30/2000,"7,514,088"
05/31/2000,"6,966,975"
06/30/2000,"4,886,163"
07/31/2000,"4,263,200"
08/31/2000,"4,746,973"
09/30/2000,"3,601,099"
10/31/2000,"4,097,385"
11/30/2000,"4,986,200"
12/31/2000,"6,576,774"
01/31/2001,"11,392,826"
02/28/2001,"10,855,582"
03/31/2001,"10,946,212"
04/30/2001,"10,194,190"
05/31/2001,"8,922,423"
06/30/2001,"6,506,138"
07/31/2001,"7,185,238"
08/31/2001,"6,246,644"
09/30/2001,"5,409,644"
10/31/2001,"6,741,900"
11/30/2001,"7,401,551"
12/31/2001,"11,136,952"
01/31/2002,"14,629,560"
02/28/2002,"14,574,975"
03/31/2002,"14,481,815"
04/30/2002,"14,029,899"
05/31/2002,"10,589,136"
06/30/2002,"8,168,812"
07/31/2002,"8,802,288"
08/31/2002,"6,860,469"
09/30/2002,"5,235,293"
10/31/2002,"7,133,721"
11/30/2002,"7,042,347"
12/31/2002,"11,205,339"
01/31/2003,"14,813,568"
02/28/2003,"15,190,830"
03/31/2003,"16,164,928"
04/30/2003,"14,995,743"
05/31/2003,"11,296,841"
06/30/2003,"9,319,274"
07/31/2003,"9,267,168"
08/31/2003,"7,359,745"
09/30/2003,"7,446,581"
10/31/2003,"6,728,029"
11/30/2003,"6,946,360"
12/31/2003,"11,565,671"
01/31/2004,"13,286,816"
02/29/2004,"14,504,016"
03/31/2004,"16,518,766"
04/30/2004,"12,251,332"
05/31/2004,"9,108,094"
06/30/2004,"8,823,635"
07/31/2004,"7,065,561"
08/31/2004,"7,219,865"
09/30/2004,"5,751,886"
10/31/2004,"5,054,081"
11/30/2004,"7,045,926"
12/31/2004,"9,062,488"
01/31/2005,"13,010,715"
02/28/2005,"13,349,719"
03/31/2005,"15,144,469"
04/30/2005,"11,200,572"
05/31/2005,"9,896,175"
06/30/2005,"7,734,499"
07/31/2005,"6,543,905"
08/31/2005,"7,366,295"
09/30/2005,"5,379,664"
10/31/2005,"5,799,138"
11/30/2005,"6,428,552"
12/31/2005,"8,356,444"
01/31/2006,"13,444,246"
02/28/2006,"12,427,642"
03/31/2006,"12,489,940"
04/30/2006,"9,864,190"
05/31/2006,"9,139,507"
06/30/2006,"6,459,105"
07/31/2006,"6,969,343"
08/31/2006,"6,346,435"
09/30/2006,"5,330,361"
10/31/2006,"6,309,008"
11/30/2006,"6,949,562"
12/31/2006,"8,941,297"
01/31/2007,"14,703,639"
02/28/2007,"13,496,710"
03/31/2007,"13,497,106"
04/30/2007,"13,859,096"
05/31/2007,"9,398,469"
06/30/2007,"7,067,696"
07/31/2007,"7,659,872"
08/31/2007,"5,970,322"
09/30/2007,"4,969,355"
10/31/2007,"6,122,097"
11/30/2007,"6,465,633"
12/31/2007,"10,751,673"
01/31/2008,"14,029,499"
02/29/2008,"14,659,498"
03/31/2008,"17,372,680"
04/30/2008,"13,694,163"
05/31/2008,"10,411,227"
06/30/2008,"9,926,091"
07/31/2008,"8,647,143"
08/31/2008,"8,277,161"
09/30/2008,"9,050,163"
10/31/2008,"8,144,393"
11/30/2008,"10,076,980"
12/31/2008,"18,749,487"
01/31/2009,"22,196,449"
02/28/2009,"25,395,293"
03/31/2009,"33,631,569"
04/30/2009,"26,725,525"
05/31/2009,"22,656,695"
06/30/2009,"23,458,784"
07/31/2009,"18,344,916"
08/31/2009,"19,149,405"
09/30/2009,"14,967,417"
10/31/2009,"13,391,874"
11/30/2009,"16,962,168"
12/31/2009,"19,130,278"
01/31/2010,"22,317,883"
02/28/2010,"24,128,614"
03/31/2010,"29,054,302"
04/30/2010,"20,569,301"
05/31/2010,"18,204,174"
06/30/2010,"14,888,659"
07/31/2010,"13,348,521"
08/31/2010,"15,333,912"
09/30/2010,"11,290,676"
10/31/2010,"10,706,876"
11/30/2010,"14,483,949"
12/31/2010,"15,803,752"
01/31/2011,"23,255,291"
02/28/2011,"21,123,223"
03/31/2011,"26,610,752"
04/30/2011,"18,628,240"
05/31/2011,"17,788,884"
06/30/2011,"12,447,666"
07/31/2011,"11,597,628"
08/31/2011,"13,343,439"
09/30/2011,"9,402,335"
10/31/2011,"10,763,348"
