STATE,Benefits
01/31/2000,"16,111,368"
02/29/2000,"20,095,201"
03/31/2000,"17,105,303"
04/30/2000,"17,257,891"
05/31/2000,"15,499,054"
06/30/2000,"13,825,399"
07/31/2000,"14,525,343"
08/31/2000,"16,252,794"
09/30/2000,"12,837,682"
10/31/2000,"14,430,056"
11/30/2000,"14,004,449"
12/31/2000,"15,417,461"
01/31/2001,"25,279,184"
02/28/2001,"21,994,071"
03/31/2001,"23,635,494"
04/30/2001,"22,005,391"
05/31/2001,"26,991,276"
06/30/2001,"24,151,756"
07/31/2001,"30,294,041"
08/31/2001,"27,434,287"
09/30/2001,"24,632,444"
10/31/2001,"36,437,795"
11/30/2001,"37,831,393"
12/31/2001,"76,923,252"
01/31/2002,"78,860,091"
02/28/2002,"65,122,676"
03/31/2002,"63,317,743"
04/30/2002,"68,731,732"
05/31/2002,"61,485,922"
06/30/2002,"55,251,895"
07/31/2002,"67,686,806"
08/31/2002,"55,758,611"
09/30/2002,"50,732,250"
10/31/2002,"60,451,697"
11/30/2002,"49,521,574"
12/31/2002,"64,582,147"
01/31/2003,"67,685,331"
02/28/2003,"60,568,884"
03/31/2003,"59,731,025"
04/30/2003,"62,246,717"
05/31/2003,"49,443,579"
06/30/2003,"48,918,152"
07/31/2003,"57,098,832"
08/31/2003,"44,224,691"
09/30/2003,"44,640,818"
10/31/2003,"38,337,817"
11/30/2003,"32,692,975"
12/31/2003,"42,661,621"
01/31/2004,"39,148,855"
02/29/2004,"38,991,130"
03/31/2004,"41,820,885"
04/30/2004,"30,840,662"
05/31/2004,"27,844,247"
06/30/2004,"32,996,310"
07/31/2004,"28,722,386"
08/31/2004,"31,399,246"
09/30/2004,"24,815,707"
10/31/2004,"24,199,033"
11/30/2004,"28,121,932"
12/31/2004,"27,293,776"
01/31/2005,"31,157,978"
02/28/2005,"31,199,298"
03/31/2005,"36,532,246"
04/30/2005,"26,690,115"
05/31/2005,"24,773,495"
06/30/2005,"29,561,384"
07/31/2005,"24,537,406"
08/31/2005,"28,174,311"
09/30/2005,"22,542,867"
10/31/2005,"20,920,461"
11/30/2005,"25,976,754"
12/31/2005,"25,126,243"
01/31/2006,"33,191,612"
02/28/2006,"29,157,183"
03/31/2006,"29,695,238"
04/30/2006,"24,179,648"
05/31/2006,"27,481,287"
06/30/2006,"24,191,361"
07/31/2006,"25,280,707"
08/31/2006,"30,647,158"
09/30/2006,"24,892,052"
10/31/2006,"30,405,037"
11/30/2006,"27,978,137"
12/31/2006,"27,897,759"
01/31/2007,"37,755,809"
02/28/2007,"32,813,354"
03/31/2007,"33,331,051"
04/30/2007,"28,348,914"
05/31/2007,"32,491,932"
06/30/2007,"27,279,955"
07/31/2007,"31,190,553"
08/31/2007,"28,839,266"
09/30/2007,"25,044,835"
10/31/2007,"29,840,576"
11/30/2007,"27,872,531"
12/31/2007,"28,980,682"
01/31/2008,"43,276,646"
02/29/2008,"38,125,235"
03/31/2008,"38,079,441"
04/30/2008,"42,225,121"
05/31/2008,"34,560,736"
06/30/2008,"35,209,740"
07/31/2008,"44,329,957"
08/31/2008,"36,391,451"
09/30/2008,"41,851,358"
10/31/2008,"39,617,969"
11/30/2008,"42,719,922"
12/31/2008,"68,220,060"
01/31/2009,"76,040,085"
02/28/2009,"83,927,888"
03/31/2009,"110,400,029"
04/30/2009,"98,603,916"
05/31/2009,"112,666,512"
06/30/2009,"109,403,340"
07/31/2009,"93,243,579"
08/31/2009,"82,711,388"
09/30/2009,"88,015,043"
10/31/2009,"69,447,956"
11/30/2009,"64,541,811"
12/31/2009,"81,330,719"
01/31/2010,"73,908,212"
02/28/2010,"74,093,069"
03/31/2010,"86,174,746"
04/30/2010,"63,264,762"
05/31/2010,"57,048,446"
06/30/2010,"66,936,778"
07/31/2010,"55,453,434"
08/31/2010,"61,404,223"
09/30/2010,"50,893,778"
10/31/2010,"48,991,850"
11/30/2010,"57,319,590"
12/31/2010,"52,609,754"
01/31/2011,"67,578,101"
