state,Benefits
01/31/2000,"12,495,081"
02/29/2000,"10,566,989"
03/31/2000,"10,782,848"
04/30/2000,"12,574,380"
05/31/2000,"13,753,123"
06/30/2000,"14,224,522"
07/31/2000,"17,338,941"
08/31/2000,"16,835,096"
09/30/2000,"12,623,310"
10/31/2000,"13,013,740"
11/30/2000,"10,515,831"
12/31/2000,"10,149,483"
01/31/2001,"13,662,607"
02/28/2001,"12,134,614"
03/31/2001,"13,312,020"
04/30/2001,"18,216,920"
05/31/2001,"20,159,111"
06/30/2001,"21,147,784"
07/31/2001,"28,078,601"
08/31/2001,"25,335,963"
09/30/2001,"25,810,908"
10/31/2001,"24,677,446"
11/30/2001,"24,713,025"
12/31/2001,"31,553,706"
01/31/2002,"29,787,107"
02/28/2002,"28,665,693"
03/31/2002,"31,252,569"
04/30/2002,"32,604,871"
05/31/2002,"32,560,192"
06/30/2002,"33,955,476"
07/31/2002,"36,314,120"
08/31/2002,"31,827,962"
09/30/2002,"32,679,587"
10/31/2002,"28,412,397"
11/30/2002,"25,755,147"
12/31/2002,"30,750,290"
01/31/2003,"27,008,950"
02/28/2003,"26,333,469"
03/31/2003,"31,108,172"
04/30/2003,"30,002,120"
05/31/2003,"30,121,360"
06/30/2003,"35,800,451"
07/31/2003,"34,139,805"
08/31/2003,"34,151,774"
09/30/2003,"29,858,691"
10/31/2003,"25,307,281"
11/30/2003,"26,103,628"
12/31/2003,"24,573,307"
01/31/2004,"22,359,551"
02/29/2004,"23,460,519"
03/31/2004,"22,105,235"
04/30/2004,"20,911,974"
05/31/2004,"23,983,256"
06/30/2004,"25,660,640"
07/31/2004,"24,330,105"
08/31/2004,"28,941,613"
09/30/2004,"21,493,444"
10/31/2004,"21,787,763"
11/30/2004,"20,236,377"
12/31/2004,"18,973,638"
01/31/2005,"22,172,520"
02/28/2005,"17,574,793"
03/31/2005,"17,897,438"
04/30/2005,"17,717,806"
05/31/2005,"23,017,712"
06/30/2005,"20,862,282"
07/31/2005,"23,618,544"
