state,Benefits
01/31/2000,"238,478,778"
02/29/2000,"232,105,017"
03/31/2000,"265,954,781"
04/30/2000,"200,331,357"
05/31/2000,"199,304,810"
06/30/2000,"193,145,163"
07/31/2000,"178,486,110"
08/31/2000,"192,613,198"
09/30/2000,"156,006,122"
10/31/2000,"167,846,403"
11/30/2000,"192,313,211"
12/31/2000,"197,185,550"
01/31/2001,"255,084,704"
02/28/2001,"226,054,135"
03/31/2001,"257,506,681"
04/30/2001,"246,643,567"
05/31/2001,"269,016,973"
06/30/2001,"251,928,351"
07/31/2001,"278,730,487"
08/31/2001,"305,505,485"
09/30/2001,"260,242,490"
10/31/2001,"325,518,756"
11/30/2001,"327,429,753"
12/31/2001,"356,203,888"
01/31/2002,"412,481,948"
02/28/2002,"418,377,643"
03/31/2002,"450,039,590"
04/30/2002,"476,647,644"
05/31/2002,"484,935,745"
06/30/2002,"420,873,476"
07/31/2002,"492,904,606"
08/31/2002,"578,291,376"
09/30/2002,"413,846,585"
10/31/2002,"600,874,822"
11/30/2002,"408,024,289"
12/31/2002,"484,254,142"
01/31/2003,"525,981,989"
02/28/2003,"483,795,969"
03/31/2003,"504,165,069"
04/30/2003,"575,033,506"
05/31/2003,"509,933,816"
06/30/2003,"495,341,633"
07/31/2003,"547,112,725"
08/31/2003,"459,804,034"
09/30/2003,"463,007,020"
10/31/2003,"465,347,524"
11/30/2003,"412,790,239"
12/31/2003,"523,461,891"
01/31/2004,"474,195,616"
02/29/2004,"439,392,387"
03/31/2004,"492,479,944"
04/30/2004,"467,930,085"
05/31/2004,"385,766,066"
06/30/2004,"438,816,971"
07/31/2004,"391,225,116"
08/31/2004,"393,337,235"
09/30/2004,"381,135,768"
10/31/2004,"329,752,775"
11/30/2004,"373,620,609"
12/31/2004,"431,955,429"
01/31/2005,"424,529,397"
02/28/2005,"411,363,281"
03/31/2005,"462,628,275"
04/30/2005,"400,584,717"
05/31/2005,"376,532,031"
06/30/2005,"404,526,144"
07/31/2005,"345,761,940"
08/31/2005,"384,408,978"
09/30/2005,"322,752,769"
10/31/2005,"302,611,519"
11/30/2005,"337,588,740"
12/31/2005,"353,176,084"
01/31/2006,"405,295,508"
02/28/2006,"369,057,262"
03/31/2006,"427,574,270"
04/30/2006,"374,680,895"
05/31/2006,"376,179,330"
06/30/2006,"368,892,569"
07/31/2006,"334,878,018"
08/31/2006,"369,902,549"
09/30/2006,"312,025,191"
10/31/2006,"325,824,710"
11/30/2006,"361,074,798"
12/31/2006,"367,168,222"
01/31/2007,"470,322,216"
02/28/2007,"404,784,241"
03/31/2007,"419,362,076"
04/30/2007,"407,270,274"
05/31/2007,"421,683,373"
06/30/2007,"371,523,529"
07/31/2007,"391,274,430"
08/31/2007,"414,401,946"
09/30/2007,"349,096,004"
10/31/2007,"414,376,131"
11/30/2007,"400,951,244"
12/31/2007,"459,826,692"
01/31/2008,"568,002,017"
02/29/2008,"523,985,549"
03/31/2008,"538,012,006"
04/30/2008,"597,840,332"
05/31/2008,"510,201,506"
06/30/2008,"505,128,467"
