STATE,Benefits
01/31/2000,"49,494,207"
02/29/2000,"50,336,951"
03/31/2000,"47,086,897"
04/30/2000,"42,413,476"
05/31/2000,"53,939,418"
06/30/2000,"49,810,142"
07/31/2000,"59,844,273"
08/31/2000,"69,973,185"
09/30/2000,"59,297,462"
10/31/2000,"63,337,094"
11/30/2000,"51,727,562"
12/31/2000,"50,371,629"
01/31/2001,"64,641,668"
02/28/2001,"54,561,201"
03/31/2001,"56,162,624"
04/30/2001,"62,170,281"
05/31/2001,"73,764,000"
06/30/2001,"70,931,924"
07/31/2001,"92,869,432"
08/31/2001,"89,715,966"
09/30/2001,"83,223,601"
10/31/2001,"105,299,466"
11/30/2001,"93,498,130"
12/31/2001,"103,971,720"
01/31/2002,"117,576,799"
02/28/2002,"98,286,961"
03/31/2002,"93,457,445"
04/30/2002,"106,254,377"
05/31/2002,"93,933,449"
06/30/2002,"93,187,288"
07/31/2002,"121,995,481"
08/31/2002,"102,535,628"
09/30/2002,"103,359,548"
10/31/2002,"104,385,128"
11/30/2002,"83,561,350"
12/31/2002,"101,380,071"
01/31/2003,"91,868,970"
02/28/2003,"85,189,584"
03/31/2003,"91,749,426"
04/30/2003,"96,346,869"
05/31/2003,"87,658,374"
06/30/2003,"98,629,414"
07/31/2003,"114,580,804"
08/31/2003,"100,089,191"
09/30/2003,"112,656,889"
10/31/2003,"94,091,723"
11/30/2003,"80,677,099"
12/31/2003,"101,585,199"
01/31/2004,"82,118,269"
02/29/2004,"78,485,640"
03/31/2004,"92,450,242"
04/30/2004,"72,948,948"
05/31/2004,"72,407,428"
06/30/2004,"93,954,184"
07/31/2004,"83,216,913"
08/31/2004,"99,135,410"
09/30/2004,"85,592,422"
10/31/2004,"84,631,481"
11/30/2004,"91,178,025"
12/31/2004,"77,967,450"
01/31/2005,"76,403,599"
02/28/2005,"65,067,219"
03/31/2005,"71,002,710"
04/30/2005,"58,792,211"
05/31/2005,"69,240,591"
06/30/2005,"67,513,870"
07/31/2005,"68,131,557"
08/31/2005,"85,491,277"
09/30/2005,"68,185,924"
10/31/2005,"64,983,428"
11/30/2005,"71,231,495"
12/31/2005,"61,659,185"
01/31/2006,"68,046,089"
02/28/2006,"55,773,574"
03/31/2006,"57,113,340"
04/30/2006,"51,173,093"
05/31/2006,"63,738,967"
06/30/2006,"58,837,544"
07/31/2006,"68,829,078"
08/31/2006,"79,665,766"
09/30/2006,"69,792,640"
10/31/2006,"79,918,716"
11/30/2006,"69,787,126"
12/31/2006,"68,501,263"
01/31/2007,"87,026,897"
02/28/2007,"71,711,851"
03/31/2007,"72,388,706"
04/30/2007,"76,704,073"
05/31/2007,"86,138,031"
06/30/2007,"83,141,825"
07/31/2007,"108,243,731"
08/31/2007,"104,781,108"
09/30/2007,"98,040,016"
10/31/2007,"119,906,290"
11/30/2007,"100,065,003"
12/31/2007,"110,192,054"
01/31/2008,"125,684,098"
02/29/2008,"112,932,168"
03/31/2008,"120,399,124"
04/30/2008,"134,534,846"
05/31/2008,"121,984,048"
06/30/2008,"138,538,984"
07/31/2008,"167,371,199"
08/31/2008,"154,634,497"
09/30/2008,"181,835,587"
10/31/2008,"171,917,902"
11/30/2008,"166,631,925"
12/31/2008,"231,145,212"
01/31/2009,"211,006,908"
02/28/2009,"227,518,285"
03/31/2009,"284,262,830"
04/30/2009,"264,449,209"
05/31/2009,"251,206,452"
06/30/2009,"297,378,348"
07/31/2009,"276,980,472"
08/31/2009,"273,442,760"
09/30/2009,"276,177,207"
10/31/2009,"230,558,254"
11/30/2009,"229,286,893"
12/31/2009,"240,738,622"
01/31/2010,"201,099,509"
02/28/2010,"191,807,654"
03/31/2010,"221,058,518"
04/30/2010,"176,075,233"
05/31/2010,"165,167,375"
06/30/2010,"201,504,743"
07/31/2010,"179,060,475"
08/31/2010,"205,373,150"
09/30/2010,"176,597,533"
10/31/2010,"161,234,744"
11/30/2010,"184,606,706"
12/31/2010,"157,646,533"
01/31/2011,"159,133,502"
02/28/2011,"145,315,720"
03/31/2011,"157,947,848"
04/30/2011,"126,769,026"
05/31/2011,"145,754,800"
06/30/2011,"131,339,655"
07/31/2011,"133,534,102"
08/31/2011,"143,745,563"
09/30/2011,"117,143,209"
10/31/2011,"112,271,562"
11/30/2011,"116,681,124"
12/31/2011,"104,418,714"
01/31/2012,"117,190,076"
02/29/2012,"106,536,789"
03/31/2012,"96,601,011"
04/30/2012,"99,341,047"
