STATE,Benefits
01/31/2000,"29,073,105"
02/29/2000,"28,130,309"
03/31/2000,"23,659,655"
04/30/2000,"20,917,221"
05/31/2000,"24,790,389"
06/30/2000,"22,459,533"
07/31/2000,"24,859,481"
08/31/2000,"29,788,654"
09/30/2000,"24,304,377"
10/31/2000,"29,101,440"
11/30/2000,"28,942,998"
12/31/2000,"31,686,513"
01/31/2001,"47,816,446"
02/28/2001,"37,574,289"
03/31/2001,"37,643,200"
04/30/2001,"38,644,784"
05/31/2001,"49,798,312"
06/30/2001,"45,544,588"
07/31/2001,"60,661,631"
08/31/2001,"51,564,963"
09/30/2001,"49,144,209"
10/31/2001,"66,393,743"
11/30/2001,"61,418,321"
12/31/2001,"63,747,073"
01/31/2002,"89,086,286"
02/28/2002,"66,377,789"
03/31/2002,"62,704,041"
04/30/2002,"70,798,946"
05/31/2002,"59,314,722"
06/30/2002,"57,205,191"
07/31/2002,"70,822,985"
08/31/2002,"56,296,675"
09/30/2002,"54,923,764"
10/31/2002,"66,371,651"
11/30/2002,"54,125,896"
12/31/2002,"72,996,456"
01/31/2003,"69,175,900"
02/28/2003,"62,543,024"
03/31/2003,"62,382,790"
04/30/2003,"71,142,172"
05/31/2003,"60,281,851"
06/30/2003,"60,275,709"
07/31/2003,"77,461,986"
08/31/2003,"59,022,973"
09/30/2003,"66,639,060"
10/31/2003,"53,626,227"
11/30/2003,"50,729,062"
12/31/2003,"66,740,012"
01/31/2004,"60,793,535"
02/29/2004,"51,993,587"
03/31/2004,"58,425,910"
04/30/2004,"44,693,878"
05/31/2004,"43,480,854"
06/30/2004,"55,538,031"
07/31/2004,"46,571,313"
08/31/2004,"52,662,467"
09/30/2004,"42,044,402"
10/31/2004,"39,553,151"
11/30/2004,"47,125,236"
12/31/2004,"43,654,778"
01/31/2005,"45,027,273"
02/28/2005,"40,817,854"
03/31/2005,"47,416,504"
04/30/2005,"39,194,694"
05/31/2005,"38,957,152"
06/30/2005,"49,863,100"
07/31/2005,"44,279,455"
08/31/2005,"50,767,222"
09/30/2005,"41,335,732"
10/31/2005,"39,978,070"
11/30/2005,"47,152,096"
12/31/2005,"43,159,540"
01/31/2006,"54,911,861"
02/28/2006,"42,084,923"
03/31/2006,"40,119,303"
04/30/2006,"37,985,075"
05/31/2006,"45,578,627"
06/30/2006,"41,478,333"
07/31/2006,"44,023,055"
08/31/2006,"51,541,596"
09/30/2006,"41,398,594"
10/31/2006,"49,870,646"
11/30/2006,"45,816,060"
12/31/2006,"46,436,225"
01/31/2007,"61,684,473"
02/28/2007,"44,512,927"
03/31/2007,"43,457,503"
04/30/2007,"41,743,898"
05/31/2007,"50,807,827"
06/30/2007,"45,187,073"
07/31/2007,"57,879,335"
08/31/2007,"48,310,984"
09/30/2007,"46,425,330"
10/31/2007,"57,603,719"
11/30/2007,"51,441,177"
12/31/2007,"55,207,007"
01/31/2008,"76,131,124"
02/29/2008,"60,729,568"
03/31/2008,"60,522,505"
04/30/2008,"72,785,857"
05/31/2008,"61,499,038"
06/30/2008,"64,193,661"
07/31/2008,"82,230,741"
08/31/2008,"68,092,961"
09/30/2008,"85,128,386"
10/31/2008,"81,750,443"
11/30/2008,"92,632,329"
12/31/2008,"144,767,573"
01/31/2009,"140,090,627"
02/28/2009,"140,827,130"
03/31/2009,"179,164,035"
04/30/2009,"152,805,565"
05/31/2009,"143,796,425"
06/30/2009,"167,234,927"
07/31/2009,"150,223,541"
08/31/2009,"131,774,505"
09/30/2009,"143,692,888"
10/31/2009,"122,157,532"
11/30/2009,"110,154,563"
12/31/2009,"143,164,844"
01/31/2010,"119,783,563"
02/28/2010,"109,475,299"
03/31/2010,"120,311,071"
04/30/2010,"96,695,714"
05/31/2010,"86,100,332"
06/30/2010,"102,894,911"
07/31/2010,"94,070,957"
08/31/2010,"93,895,163"
09/30/2010,"88,591,623"
10/31/2010,"78,073,468"
11/30/2010,"86,104,100"
12/31/2010,"89,639,601"
01/31/2011,"86,136,061"
02/28/2011,"78,728,058"
03/31/2011,"88,382,285"
04/30/2011,"69,711,491"
05/31/2011,"68,265,603"
06/30/2011,"85,713,270"
07/31/2011,"75,496,231"
08/31/2011,"83,924,806"
09/30/2011,"73,285,535"
10/31/2011,"67,972,988"
11/30/2011,"80,556,773"
12/31/2011,"77,403,143"
01/31/2012,"85,892,966"
02/29/2012,"74,130,702"
03/31/2012,"69,693,378"
04/30/2012,"62,797,392"
05/31/2012,"74,187,460"
06/30/2012,"64,928,744"
07/31/2012,"73,934,246"
08/31/2012,"70,243,739"
09/30/2012,"59,476,652"
10/31/2012,"69,021,975"
11/30/2012,"62,546,072"
12/31/2012,"58,678,647"
01/31/2013,"77,131,339"
02/28/2013,"56,694,076"
03/31/2013,"52,615,902"
04/30/2013,"57,771,180"
05/31/2013,"55,481,840"
06/30/2013,"51,187,514"
07/31/2013,"63,269,980"
08/31/2013,"52,520,044"
09/30/2013,"46,288,408"
10/31/2013,"53,161,236"
11/30/2013,"41,487,674"
12/31/2013,"56,253,875"
01/31/2014,"58,212,082"
02/28/2014,"47,798,972"
03/31/2014,"41,706,282"
04/30/2014,"44,449,464"
05/31/2014,"40,109,240"
06/30/2014,"40,325,422"
07/31/2014,"50,264,333"
08/31/2014,"38,223,108"
09/30/2014,"38,718,403"
10/31/2014,"37,093,144"
11/30/2014,"29,137,894"
12/31/2014,"43,339,815"
01/31/2015,"43,674,284"
02/28/2015,"34,327,668"
03/31/2015,"35,970,504"
04/30/2015,"32,050,603"
05/31/2015,"29,970,943"
06/30/2015,"34,206,121"
07/31/2015,"36,748,696"
08/31/2015,"31,011,039"
09/30/2015,"34,412,633"
10/31/2015,"30,266,162"
11/30/2015,"26,989,913"
12/31/2015,"38,453,411"
01/31/2016,"37,463,349"
02/29/2016,"30,797,863"
03/31/2016,"33,237,648"
04/30/2016,"26,212,502"
05/31/2016,"26,248,154"
06/30/2016,"31,571,467"
07/31/2016,"28,415,817"
08/31/2016,"29,744,136"
09/30/2016,"25,801,960"
10/31/2016,"24,851,137"
11/30/2016,"26,616,468"
12/31/2016,"26,913,796"
01/31/2017,"35,677,524"
02/28/2017,"27,556,809"
03/31/2017,"28,844,903"
04/30/2017,"23,802,307"
05/31/2017,"27,141,331"
06/30/2017,"26,966,223"
07/31/2017,"26,190,739"
08/31/2017,"29,443,028"
09/30/2017,"23,105,114"
10/31/2017,"25,673,067"
11/30/2017,"24,700,084"
12/31/2017,"24,825,526"
01/31/2018,"35,268,241"
02/28/2018,"25,665,301"
03/31/2018,"24,794,856"
04/30/2018,"23,163,751"
05/31/2018,"26,446,636"
06/30/2018,"23,234,661"
07/31/2018,"27,816,565"
08/31/2018,"24,751,481"
09/30/2018,"20,458,540"
10/31/2018,"24,229,661"
11/30/2018,"22,783,194"
12/31/2018,"21,954,265"
01/31/2019,"32,164,509"
02/28/2019,"24,158,582"
03/31/2019,"22,461,022"
04/30/2019,"23,779,834"
05/31/2019,"23,397,931"
06/30/2019,"21,767,648"
07/31/2019,"27,118,256"
08/31/2019,"22,946,738"
09/30/2019,"22,530,435"
10/31/2019,"27,154,107"
11/30/2019,"21,491,460"
12/31/2019,"29,483,130"
01/31/2020,"34,753,862"
02/29/2020,"25,351,748"
03/31/2020,"45,305,582"
04/30/2020,"503,316,771"
05/31/2020,"711,079,787"
06/30/2020,"683,992,204"
07/31/2020,"624,604,735"
08/31/2020,"470,793,116"
09/30/2020,"476,849,536"
10/31/2020,"274,829,966"
11/30/2020,"177,629,345"
12/31/2020,"161,966,335"
01/31/2021,"108,814,983"
02/28/2021,"85,961,478"
03/31/2021,"98,497,392"
04/30/2021,"90,105,206"
05/31/2021,"80,048,718"
06/30/2021,"94,831,796"
07/31/2021,"52,789,821"
08/31/2021,"54,640,249"
09/30/2021,"40,374,721"
10/31/2021,"43,021,103"
11/30/2021,"24,542,420"
12/31/2021,"20,684,447"
01/31/2022,"21,870,446"
