STATE,Benefits
01/31/2000,"15,897,548"
02/29/2000,"19,938,586"
03/31/2000,"15,866,099"
04/30/2000,"13,290,729"
05/31/2000,"14,877,025"
06/30/2000,"12,443,141"
07/31/2000,"12,495,100"
08/31/2000,"14,948,580"
09/30/2000,"11,877,690"
10/31/2000,"14,375,992"
11/30/2000,"13,191,918"
12/31/2000,"16,455,134"
01/31/2001,"25,958,109"
02/28/2001,"21,838,912"
03/31/2001,"20,464,279"
04/30/2001,"17,192,753"
05/31/2001,"18,921,383"
06/30/2001,"17,481,786"
07/31/2001,"20,115,958"
08/31/2001,"17,274,819"
09/30/2001,"16,441,266"
10/31/2001,"21,382,770"
11/30/2001,"19,876,039"
12/31/2001,"23,881,270"
01/31/2002,"38,844,388"
02/28/2002,"33,211,263"
03/31/2002,"31,423,906"
04/30/2002,"33,292,106"
05/31/2002,"27,319,575"
06/30/2002,"25,516,640"
07/31/2002,"31,076,310"
08/31/2002,"26,178,340"
09/30/2002,"24,130,225"
10/31/2002,"29,726,962"
11/30/2002,"25,421,944"
12/31/2002,"33,636,028"
01/31/2003,"36,289,490"
02/28/2003,"34,253,018"
03/31/2003,"35,453,909"
04/30/2003,"38,616,325"
05/31/2003,"30,282,413"
06/30/2003,"30,395,433"
07/31/2003,"39,063,342"
08/31/2003,"28,250,305"
09/30/2003,"31,024,147"
10/31/2003,"25,929,869"
11/30/2003,"24,381,767"
12/31/2003,"34,216,407"
01/31/2004,"32,304,140"
02/29/2004,"32,929,356"
03/31/2004,"34,352,886"
04/30/2004,"23,766,297"
05/31/2004,"22,001,811"
06/30/2004,"25,152,702"
07/31/2004,"20,571,150"
08/31/2004,"22,921,511"
09/30/2004,"18,875,314"
10/31/2004,"17,677,062"
11/30/2004,"22,017,199"
12/31/2004,"21,881,413"
01/31/2005,"26,282,852"
02/28/2005,"25,921,528"
03/31/2005,"27,646,618"
04/30/2005,"19,117,381"
05/31/2005,"17,876,225"
06/30/2005,"21,623,758"
07/31/2005,"18,715,519"
08/31/2005,"22,522,891"
09/30/2005,"17,461,390"
10/31/2005,"16,830,089"
11/30/2005,"20,760,545"
12/31/2005,"20,961,836"
01/31/2006,"25,500,509"
02/28/2006,"20,617,666"
03/31/2006,"20,172,296"
04/30/2006,"16,576,044"
05/31/2006,"19,070,364"
06/30/2006,"16,108,920"
07/31/2006,"16,089,220"
08/31/2006,"19,835,011"
09/30/2006,"14,986,195"
10/31/2006,"17,678,744"
11/30/2006,"16,079,870"
12/31/2006,"18,820,755"
01/31/2007,"26,505,041"
02/28/2007,"24,399,634"
03/31/2007,"19,532,085"
04/30/2007,"17,031,911"
05/31/2007,"20,706,275"
06/30/2007,"16,663,803"
07/31/2007,"20,212,981"
08/31/2007,"17,374,435"
09/30/2007,"16,584,620"
10/31/2007,"19,986,632"
11/30/2007,"16,812,280"
12/31/2007,"19,680,262"
01/31/2008,"33,222,144"
02/29/2008,"27,239,449"
03/31/2008,"23,651,795"
04/30/2008,"25,746,691"
05/31/2008,"21,089,321"
06/30/2008,"21,253,567"
07/31/2008,"26,740,378"
08/31/2008,"22,104,235"
09/30/2008,"31,522,888"
10/31/2008,"23,984,131"
11/30/2008,"25,351,062"
12/31/2008,"44,377,847"
01/31/2009,"52,189,098"
02/28/2009,"54,249,056"
03/31/2009,"72,129,658"
04/30/2009,"66,599,257"
05/31/2009,"68,913,526"
06/30/2009,"81,090,336"
07/31/2009,"74,555,764"
08/31/2009,"63,502,741"
09/30/2009,"69,288,187"
10/31/2009,"53,206,541"
11/30/2009,"49,744,487"
12/31/2009,"68,355,196"
01/31/2010,"61,508,501"
02/28/2010,"55,784,608"
03/31/2010,"61,296,759"
04/30/2010,"41,976,654"
05/31/2010,"39,871,617"
06/30/2010,"38,973,065"
07/31/2010,"39,289,219"
08/31/2010,"41,602,302"
09/30/2010,"33,997,797"
10/31/2010,"31,656,564"
11/30/2010,"38,683,557"
12/31/2010,"37,303,898"
01/31/2011,"44,069,179"
02/28/2011,"45,068,959"
03/31/2011,"48,738,826"
04/30/2011,"33,740,989"
05/31/2011,"31,616,683"
06/30/2011,"37,647,930"
07/31/2011,"30,006,707"
08/31/2011,"34,945,596"
09/30/2011,"30,066,015"
10/31/2011,"26,079,253"
11/30/2011,"33,231,323"
12/31/2011,"32,292,486"
01/31/2012,"41,912,413"
02/29/2012,"36,243,668"
03/31/2012,"33,868,788"
04/30/2012,"29,818,152"
05/31/2012,"33,699,977"
06/30/2012,"28,312,225"
07/31/2012,"35,073,428"
08/31/2012,"28,709,480"
09/30/2012,"26,827,295"
10/31/2012,"31,597,593"
11/30/2012,"26,373,698"
12/31/2012,"31,677,821"
01/31/2013,"43,782,206"
02/28/2013,"35,618,896"
03/31/2013,"33,769,992"
04/30/2013,"35,131,772"
05/31/2013,"26,040,012"
06/30/2013,"24,335,264"
07/31/2013,"30,984,001"
08/31/2013,"24,526,465"
09/30/2013,"22,017,311"
10/31/2013,"25,811,084"
11/30/2013,"22,034,980"
12/31/2013,"30,748,591"
01/31/2014,"31,088,758"
02/28/2014,"30,463,973"
03/31/2014,"27,419,101"
04/30/2014,"27,514,494"
05/31/2014,"23,314,217"
06/30/2014,"21,627,902"
07/31/2014,"26,841,365"
08/31/2014,"19,965,534"
09/30/2014,"22,459,497"
10/31/2014,"18,170,379"
11/30/2014,"18,128,828"
12/31/2014,"26,916,568"
01/31/2015,"29,341,093"
02/28/2015,"29,688,637"
03/31/2015,"29,353,954"
04/30/2015,"21,531,516"
05/31/2015,"19,223,625"
06/30/2015,"21,658,268"
07/31/2015,"18,163,807"
08/31/2015,"16,971,211"
09/30/2015,"19,537,834"
10/31/2015,"13,604,509"
11/30/2015,"13,973,271"
12/31/2015,"21,844,859"
01/31/2016,"24,313,706"
02/29/2016,"23,737,525"
03/31/2016,"24,401,796"
04/30/2016,"15,130,008"
05/31/2016,"15,828,377"
06/30/2016,"17,726,106"
07/31/2016,"15,119,168"
08/31/2016,"16,483,108"
09/30/2016,"12,077,003"
10/31/2016,"10,983,413"
11/30/2016,"14,411,171"
12/31/2016,"15,132,339"
01/31/2017,"24,291,033"
02/28/2017,"18,105,415"
03/31/2017,"17,812,489"
04/30/2017,"15,711,186"
05/31/2017,"14,428,520"
06/30/2017,"12,618,257"
07/31/2017,"12,675,745"
08/31/2017,"15,771,399"
09/30/2017,"11,281,195"
10/31/2017,"15,088,208"
11/30/2017,"10,843,271"
12/31/2017,"9,461,349"
01/31/2018,"21,932,389"
02/28/2018,"16,793,775"
03/31/2018,"13,931,908"
04/30/2018,"10,790,922"
05/31/2018,"11,273,773"
06/30/2018,"9,502,385"
07/31/2018,"11,515,538"
08/31/2018,"9,476,210"
09/30/2018,"8,522,807"
10/31/2018,"9,766,997"
11/30/2018,"8,719,274"
12/31/2018,"10,375,528"
01/31/2019,"16,755,491"
02/28/2019,"15,327,229"
03/31/2019,"13,443,579"
04/30/2019,"11,040,759"
05/31/2019,"9,278,931"
06/30/2019,"8,464,511"
07/31/2019,"10,459,675"
08/31/2019,"8,500,861"
09/30/2019,"7,939,218"
10/31/2019,"9,985,595"
11/30/2019,"8,307,978"
12/31/2019,"12,800,623"
01/31/2020,"14,287,921"
02/29/2020,"15,148,629"
03/31/2020,"22,658,227"
04/30/2020,"126,408,084"
05/31/2020,"139,286,355"
06/30/2020,"129,036,271"
07/31/2020,"106,432,784"
08/31/2020,"82,870,532"
09/30/2020,"83,306,098"
10/31/2020,"56,897,844"
11/30/2020,"58,717,466"
12/31/2020,"140,730,626"
01/31/2021,"123,690,253"
02/28/2021,"15,693,181"
03/31/2021,"29,561,999"
04/30/2021,"16,738,002"
05/31/2021,"18,845,325"
06/30/2021,"22,149,601"
07/31/2021,"21,983,522"
08/31/2021,"20,589,874"
09/30/2021,"14,465,819"
10/31/2021,"12,571,475"
11/30/2021,"12,718,666"
12/31/2021,"13,158,997"
01/31/2022,"14,897,349"
