STATE,Benefits
01/31/2000,"29,407,196"
02/29/2000,"28,899,963"
03/31/2000,"23,226,296"
04/30/2000,"18,767,940"
05/31/2000,"21,331,217"
06/30/2000,"19,005,946"
07/31/2000,"23,637,853"
08/31/2000,"21,822,119"
09/30/2000,"18,946,882"
10/31/2000,"23,412,443"
11/30/2000,"21,771,217"
12/31/2000,"25,122,237"
01/31/2001,"43,151,345"
02/28/2001,"34,756,679"
03/31/2001,"34,751,099"
04/30/2001,"31,079,607"
05/31/2001,"33,148,674"
06/30/2001,"31,225,811"
07/31/2001,"40,468,974"
08/31/2001,"31,397,628"
09/30/2001,"28,887,885"
10/31/2001,"37,226,543"
11/30/2001,"32,287,520"
12/31/2001,"44,801,786"
01/31/2002,"54,077,872"
02/28/2002,"45,253,006"
03/31/2002,"48,877,478"
04/30/2002,"43,124,684"
05/31/2002,"37,911,153"
06/30/2002,"39,716,291"
07/31/2002,"40,343,998"
08/31/2002,"32,622,895"
09/30/2002,"32,763,072"
10/31/2002,"31,929,738"
11/30/2002,"31,165,308"
12/31/2002,"43,524,669"
01/31/2003,"49,660,816"
02/28/2003,"45,635,614"
03/31/2003,"53,355,310"
04/30/2003,"38,968,698"
05/31/2003,"35,899,167"
06/30/2003,"41,609,889"
07/31/2003,"39,834,871"
08/31/2003,"35,324,982"
09/30/2003,"33,235,743"
10/31/2003,"28,848,023"
11/30/2003,"33,050,447"
12/31/2003,"35,761,987"
01/31/2004,"44,969,624"
02/29/2004,"47,887,652"
03/31/2004,"41,464,355"
04/30/2004,"33,820,150"
05/31/2004,"35,495,747"
06/30/2004,"32,547,993"
07/31/2004,"35,903,459"
08/31/2004,"35,191,175"
09/30/2004,"26,287,842"
10/31/2004,"26,758,795"
11/30/2004,"26,972,426"
12/31/2004,"28,686,636"
01/31/2005,"48,046,794"
02/28/2005,"36,866,837"
03/31/2005,"34,273,764"
04/30/2005,"29,605,895"
05/31/2005,"32,980,802"
06/30/2005,"27,007,870"
07/31/2005,"33,111,233"
08/31/2005,"27,146,906"
09/30/2005,"24,010,892"
10/31/2005,"24,832,827"
11/30/2005,"26,710,240"
12/31/2005,"28,718,766"
01/31/2006,"42,810,656"
02/28/2006,"34,789,589"
03/31/2006,"33,682,938"
04/30/2006,"27,294,338"
05/31/2006,"29,674,915"
06/30/2006,"25,660,468"
07/31/2006,"31,552,679"
08/31/2006,"30,218,048"
09/30/2006,"27,640,677"
10/31/2006,"33,422,257"
11/30/2006,"32,993,080"
12/31/2006,"32,210,134"
01/31/2007,"49,720,448"
02/28/2007,"41,616,718"
03/31/2007,"39,142,693"
04/30/2007,"36,977,220"
05/31/2007,"30,690,475"
06/30/2007,"28,057,603"
07/31/2007,"38,422,444"
08/31/2007,"29,867,713"
09/30/2007,"25,913,949"
10/31/2007,"34,902,112"
11/30/2007,"27,335,269"
12/31/2007,"41,238,206"
01/31/2008,"47,615,065"
02/29/2008,"43,998,338"
03/31/2008,"47,150,274"
04/30/2008,"41,305,359"
05/31/2008,"36,052,062"
06/30/2008,"40,838,643"
07/31/2008,"45,304,791"
08/31/2008,"42,537,568"
09/30/2008,"49,207,711"
10/31/2008,"44,173,286"
11/30/2008,"46,042,530"
12/31/2008,"78,627,644"
01/31/2009,"98,854,633"
02/28/2009,"100,259,604"
03/31/2009,"114,440,937"
04/30/2009,"102,340,531"
05/31/2009,"97,767,106"
06/30/2009,"106,182,168"
07/31/2009,"94,259,335"
08/31/2009,"84,781,572"
09/30/2009,"73,580,023"
10/31/2009,"65,252,570"
11/30/2009,"63,858,700"
12/31/2009,"69,824,186"
01/31/2010,"76,363,272"
02/28/2010,"76,319,323"
03/31/2010,"81,776,946"
04/30/2010,"59,662,897"
05/31/2010,"52,873,366"
06/30/2010,"60,460,497"
07/31/2010,"50,942,163"
08/31/2010,"52,642,828"
09/30/2010,"45,053,151"
10/31/2010,"40,001,124"
11/30/2010,"45,268,260"
12/31/2010,"48,720,948"
01/31/2011,"61,320,145"
02/28/2011,"53,594,302"
03/31/2011,"52,447,573"
04/30/2011,"44,110,361"
05/31/2011,"49,499,453"
06/30/2011,"45,139,366"
07/31/2011,"42,871,687"
08/31/2011,"46,493,029"
09/30/2011,"37,118,145"
10/31/2011,"38,791,347"
11/30/2011,"39,219,815"
12/31/2011,"42,644,211"
01/31/2012,"52,839,440"
02/29/2012,"43,928,640"
03/31/2012,"40,785,620"
