STATE,Benefits
01/31/2000,"16,713,326"
02/29/2000,"13,866,276"
03/31/2000,"13,334,629"
04/30/2000,"13,000,156"
05/31/2000,"16,564,661"
06/30/2000,"15,514,005"
07/31/2000,"19,527,669"
08/31/2000,"16,280,222"
09/30/2000,"14,249,814"
10/31/2000,"16,405,686"
11/30/2000,"14,902,497"
12/31/2000,"16,835,573"
01/31/2001,"22,896,027"
02/28/2001,"17,282,203"
03/31/2001,"17,878,301"
04/30/2001,"18,828,438"
05/31/2001,"18,923,886"
06/30/2001,"17,036,240"
07/31/2001,"22,299,810"
08/31/2001,"18,347,710"
09/30/2001,"16,607,469"
10/31/2001,"20,635,187"
11/30/2001,"19,358,247"
12/31/2001,"22,058,005"
01/31/2002,"30,553,650"
02/28/2002,"24,398,840"
03/31/2002,"23,250,413"
04/30/2002,"27,623,428"
05/31/2002,"22,420,213"
06/30/2002,"22,885,050"
07/31/2002,"29,157,192"
08/31/2002,"23,163,524"
09/30/2002,"25,622,378"
10/31/2002,"21,078,151"
11/30/2002,"20,928,632"
12/31/2002,"28,931,192"
01/31/2003,"24,324,952"
02/28/2003,"23,368,290"
03/31/2003,"28,240,349"
04/30/2003,"22,414,928"
05/31/2003,"21,819,205"
06/30/2003,"27,791,926"
07/31/2003,"25,217,097"
08/31/2003,"28,465,185"
09/30/2003,"31,940,801"
10/31/2003,"20,273,112"
11/30/2003,"20,454,873"
12/31/2003,"27,889,176"
01/31/2004,"23,582,052"
02/29/2004,"22,242,373"
03/31/2004,"25,861,603"
04/30/2004,"21,252,798"
05/31/2004,"21,604,515"
06/30/2004,"28,851,842"
07/31/2004,"24,289,884"
08/31/2004,"28,495,228"
09/30/2004,"21,540,884"
10/31/2004,"19,273,415"
11/30/2004,"23,070,127"
12/31/2004,"20,220,908"
01/31/2005,"24,725,474"
02/28/2005,"18,823,325"
03/31/2005,"18,434,626"
04/30/2005,"16,617,225"
05/31/2005,"19,257,186"
06/30/2005,"17,940,739"
07/31/2005,"19,178,135"
08/31/2005,"22,050,517"
09/30/2005,"89,873,249"
10/31/2005,"226,866,927"
11/30/2005,"150,044,351"
12/31/2005,"91,828,225"
01/31/2006,"95,664,951"
02/28/2006,"48,059,656"
03/31/2006,"27,399,361"
04/30/2006,"16,577,981"
05/31/2006,"18,284,584"
06/30/2006,"15,419,231"
07/31/2006,"18,255,423"
08/31/2006,"14,833,496"
09/30/2006,"12,015,505"
10/31/2006,"14,137,949"
11/30/2006,"12,320,263"
12/31/2006,"13,396,989"
01/31/2007,"17,859,274"
02/28/2007,"13,587,691"
03/31/2007,"12,624,934"
04/30/2007,"15,138,781"
05/31/2007,"12,195,504"
06/30/2007,"12,733,181"
07/31/2007,"16,796,894"
08/31/2007,"13,584,446"
09/30/2007,"12,795,952"
10/31/2007,"14,746,654"
11/30/2007,"12,087,088"
12/31/2007,"13,058,645"
01/31/2008,"17,862,497"
02/29/2008,"14,565,963"
03/31/2008,"17,069,358"
04/30/2008,"13,923,152"
05/31/2008,"14,000,871"
06/30/2008,"18,367,660"
07/31/2008,"17,813,718"
08/31/2008,"16,610,262"
09/30/2008,"19,717,161"
10/31/2008,"18,628,960"
11/30/2008,"18,446,681"
12/31/2008,"26,741,791"
01/31/2009,"25,411,939"
02/28/2009,"27,174,289"
03/31/2009,"38,732,817"
04/30/2009,"35,598,185"
05/31/2009,"37,077,987"
06/30/2009,"52,360,764"
07/31/2009,"46,167,662"
08/31/2009,"55,134,180"
09/30/2009,"44,892,319"
10/31/2009,"46,843,831"
11/30/2009,"56,698,496"
12/31/2009,"51,134,294"
01/31/2010,"50,176,557"
02/28/2010,"45,669,632"
03/31/2010,"51,844,361"
04/30/2010,"39,010,549"
05/31/2010,"43,138,559"
06/30/2010,"36,313,878"
