STATE,Benefits
01/31/2000,"29,619,194"
02/29/2000,"28,696,534"
03/31/2000,"24,056,349"
04/30/2000,"20,197,844"
05/31/2000,"21,872,591"
06/30/2000,"17,715,569"
07/31/2000,"22,067,947"
08/31/2000,"19,918,684"
09/30/2000,"17,225,005"
10/31/2000,"20,516,199"
11/30/2000,"18,512,503"
12/31/2000,"20,955,921"
01/31/2001,"35,429,312"
02/28/2001,"30,481,211"
03/31/2001,"29,778,417"
04/30/2001,"31,923,168"
05/31/2001,"27,599,735"
06/30/2001,"27,870,675"
07/31/2001,"36,751,940"
08/31/2001,"31,455,422"
09/30/2001,"28,246,251"
10/31/2001,"36,567,651"
11/30/2001,"34,112,282"
12/31/2001,"44,292,421"
01/31/2002,"48,427,934"
02/28/2002,"46,329,342"
03/31/2002,"44,307,080"
04/30/2002,"48,711,727"
05/31/2002,"38,402,111"
06/30/2002,"36,092,687"
07/31/2002,"46,871,888"
08/31/2002,"37,413,029"
09/30/2002,"40,041,249"
10/31/2002,"34,571,962"
11/30/2002,"32,954,053"
12/31/2002,"44,795,566"
01/31/2003,"44,345,264"
02/28/2003,"45,415,608"
03/31/2003,"54,891,907"
04/30/2003,"41,688,839"
05/31/2003,"38,516,858"
06/30/2003,"45,451,277"
07/31/2003,"42,582,268"
08/31/2003,"39,880,802"
09/30/2003,"43,123,622"
10/31/2003,"35,365,169"
11/30/2003,"34,132,789"
12/31/2003,"46,736,513"
01/31/2004,"44,460,501"
02/29/2004,"45,372,613"
03/31/2004,"48,798,901"
04/30/2004,"35,023,269"
05/31/2004,"30,701,610"
06/30/2004,"36,922,194"
07/31/2004,"32,144,320"
08/31/2004,"37,829,011"
09/30/2004,"27,978,481"
10/31/2004,"26,658,557"
11/30/2004,"33,618,137"
12/31/2004,"31,269,200"
01/31/2005,"44,140,057"
02/28/2005,"37,834,695"
03/31/2005,"37,141,077"
04/30/2005,"30,431,975"
05/31/2005,"33,307,621"
06/30/2005,"28,691,071"
07/31/2005,"29,276,662"
08/31/2005,"35,518,686"
09/30/2005,"25,089,730"
10/31/2005,"28,470,339"
11/30/2005,"25,959,498"
12/31/2005,"28,854,678"
01/31/2006,"42,561,531"
02/28/2006,"35,056,810"
03/31/2006,"33,389,375"
04/30/2006,"28,211,250"
05/31/2006,"32,449,155"
06/30/2006,"27,968,444"
07/31/2006,"35,547,285"
08/31/2006,"31,205,081"
09/30/2006,"26,774,774"
10/31/2006,"31,417,170"
11/30/2006,"28,025,899"
12/31/2006,"30,910,972"
01/31/2007,"45,919,785"
02/28/2007,"40,128,857"
03/31/2007,"37,496,027"
04/30/2007,"36,911,385"
05/31/2007,"29,591,347"
06/30/2007,"29,173,635"
07/31/2007,"38,352,648"
08/31/2007,"32,347,035"
09/30/2007,"28,728,960"
10/31/2007,"35,799,920"
11/30/2007,"33,460,545"
12/31/2007,"45,438,750"
01/31/2008,"48,222,569"
02/29/2008,"48,959,949"
03/31/2008,"56,903,288"
04/30/2008,"44,723,744"
05/31/2008,"42,304,972"
06/30/2008,"51,717,930"
07/31/2008,"48,178,659"
08/31/2008,"48,227,972"
09/30/2008,"55,605,765"
10/31/2008,"49,425,308"
11/30/2008,"54,775,981"
12/31/2008,"84,444,252"
01/31/2009,"85,609,047"
02/28/2009,"91,274,884"
03/31/2009,"115,673,325"
04/30/2009,"92,647,306"
05/31/2009,"87,407,171"
06/30/2009,"104,051,965"
07/31/2009,"86,560,798"
08/31/2009,"96,723,338"
09/30/2009,"74,143,672"
10/31/2009,"70,440,955"
11/30/2009,"83,944,965"
12/31/2009,"80,296,552"
01/31/2010,"86,523,622"
02/28/2010,"86,877,437"
03/31/2010,"104,652,425"
04/30/2010,"74,269,016"
05/31/2010,"66,749,563"
06/30/2010,"79,103,631"
07/31/2010,"65,688,277"
08/31/2010,"78,631,810"
09/30/2010,"59,925,797"
10/31/2010,"59,007,809"
11/30/2010,"72,627,330"
12/31/2010,"66,594,026"
01/31/2011,"89,938,800"
02/28/2011,"75,189,348"
03/31/2011,"72,049,603"
04/30/2011,"63,166,360"
05/31/2011,"70,327,856"
06/30/2011,"58,931,103"
07/31/2011,"59,703,784"
08/31/2011,"72,623,571"
09/30/2011,"55,336,619"
10/31/2011,"62,559,591"
11/30/2011,"55,500,005"
12/31/2011,"60,380,966"
01/31/2012,"84,241,410"
02/29/2012,"68,911,627"
03/31/2012,"65,246,830"
04/30/2012,"69,967,194"
05/31/2012,"56,557,443"
06/30/2012,"56,263,741"
07/31/2012,"71,942,641"
08/31/2012,"60,295,920"
09/30/2012,"54,019,556"
10/31/2012,"65,166,456"
11/30/2012,"56,327,511"
12/31/2012,"69,565,238"
01/31/2013,"68,812,526"
02/28/2013,"65,945,333"
03/31/2013,"63,497,731"
04/30/2013,"64,892,880"
05/31/2013,"54,668,449"
06/30/2013,"53,912,008"
07/31/2013,"71,081,291"
08/31/2013,"54,017,949"
09/30/2013,"59,044,804"
10/31/2013,"57,356,478"
11/30/2013,"51,451,676"
12/31/2013,"71,394,132"
01/31/2014,"67,999,126"
02/28/2014,"66,473,488"
03/31/2014,"73,880,296"
04/30/2014,"53,095,603"
05/31/2014,"48,413,326"
06/30/2014,"57,734,481"
07/31/2014,"50,952,879"
08/31/2014,"48,399,138"
09/30/2014,"52,338,635"
10/31/2014,"43,327,406"
11/30/2014,"43,265,762"
12/31/2014,"61,074,941"
01/31/2015,"58,936,417"
02/28/2015,"58,995,115"
03/31/2015,"66,262,569"
04/30/2015,"43,802,013"
05/31/2015,"38,971,658"
06/30/2015,"48,251,646"
07/31/2015,"42,545,375"
08/31/2015,"48,391,920"
09/30/2015,"36,371,763"
10/31/2015,"34,968,957"
11/30/2015,"43,087,419"
12/31/2015,"42,907,240"
01/31/2016,"50,750,017"
