STATE,Benefits
01/31/2000,"7,576,090"
02/29/2000,"7,240,610"
03/31/2000,"6,567,365"
04/30/2000,"4,701,471"
05/31/2000,"4,252,100"
06/30/2000,"2,958,464"
07/31/2000,"3,395,082"
08/31/2000,"3,200,079"
09/30/2000,"2,840,135"
10/31/2000,"3,211,410"
11/30/2000,"3,937,203"
12/31/2000,"5,445,373"
01/31/2001,"8,551,549"
02/28/2001,"7,873,469"
03/31/2001,"7,725,522"
04/30/2001,"7,383,905"
05/31/2001,"5,848,745"
06/30/2001,"4,006,342"
07/31/2001,"3,821,224"
08/31/2001,"3,673,046"
09/30/2001,"3,000,533"
10/31/2001,"3,706,594"
11/30/2001,"4,531,436"
12/31/2001,"6,209,880"
01/31/2002,"10,229,176"
02/28/2002,"8,994,564"
03/31/2002,"9,350,522"
04/30/2002,"7,677,671"
05/31/2002,"5,297,541"
06/30/2002,"4,082,040"
07/31/2002,"4,483,644"
08/31/2002,"3,475,401"
09/30/2002,"2,824,845"
10/31/2002,"3,589,937"
11/30/2002,"4,513,685"
12/31/2002,"6,324,094"
01/31/2003,"8,805,954"
02/28/2003,"9,234,666"
03/31/2003,"9,399,574"
04/30/2003,"8,716,097"
05/31/2003,"5,738,656"
06/30/2003,"4,803,350"
07/31/2003,"5,646,724"
08/31/2003,"4,694,541"
09/30/2003,"4,194,318"
10/31/2003,"4,080,330"
11/30/2003,"5,481,492"
12/31/2003,"8,847,543"
01/31/2004,"9,480,429"
02/29/2004,"9,843,940"
03/31/2004,"10,381,665"
04/30/2004,"5,984,682"
05/31/2004,"4,578,565"
06/30/2004,"4,721,432"
07/31/2004,"3,652,489"
08/31/2004,"3,376,314"
09/30/2004,"2,829,659"
10/31/2004,"2,781,429"
11/30/2004,"3,747,062"
12/31/2004,"6,010,401"
01/31/2005,"8,068,316"
02/28/2005,"8,277,703"
03/31/2005,"9,144,128"
04/30/2005,"5,393,122"
05/31/2005,"4,240,064"
06/30/2005,"4,491,107"
07/31/2005,"3,554,928"
08/31/2005,"3,938,815"
09/30/2005,"2,709,076"
10/31/2005,"2,796,535"
11/30/2005,"4,553,168"
12/31/2005,"6,487,657"
01/31/2006,"7,571,646"
02/28/2006,"6,159,827"
03/31/2006,"7,693,865"
04/30/2006,"5,504,613"
05/31/2006,"3,959,908"
06/30/2006,"3,482,163"
07/31/2006,"3,395,179"
08/31/2006,"4,049,900"
09/30/2006,"2,649,250"
10/31/2006,"2,812,867"
11/30/2006,"4,499,192"
12/31/2006,"6,396,662"
01/31/2007,"9,809,137"
02/28/2007,"8,877,985"
03/31/2007,"7,936,359"
04/30/2007,"5,806,873"
