STATE,Benefits
01/31/2000,"108,819,058"
02/29/2000,"131,187,883"
03/31/2000,"113,526,993"
04/30/2000,"90,194,515"
05/31/2000,"99,787,825"
06/30/2000,"80,902,227"
07/31/2000,"93,763,360"
08/31/2000,"101,561,383"
09/30/2000,"81,817,257"
10/31/2000,"87,188,732"
11/30/2000,"77,980,126"
12/31/2000,"85,285,964"
01/31/2001,"132,861,755"
02/28/2001,"124,219,158"
03/31/2001,"124,137,009"
04/30/2001,"117,689,632"
05/31/2001,"117,477,594"
06/30/2001,"107,708,187"
07/31/2001,"143,309,947"
08/31/2001,"133,722,249"
09/30/2001,"121,758,955"
10/31/2001,"151,042,486"
11/30/2001,"139,526,669"
12/31/2001,"163,382,695"
01/31/2002,"201,682,074"
02/28/2002,"193,308,836"
03/31/2002,"188,640,797"
04/30/2002,"205,498,478"
05/31/2002,"170,564,143"
06/30/2002,"156,487,316"
07/31/2002,"195,497,138"
08/31/2002,"163,097,572"
09/30/2002,"162,742,739"
10/31/2002,"160,623,777"
11/30/2002,"142,956,865"
12/31/2002,"191,261,948"
01/31/2003,"195,783,694"
02/28/2003,"196,798,780"
03/31/2003,"217,012,983"
04/30/2003,"194,840,368"
05/31/2003,"158,796,193"
06/30/2003,"167,749,347"
07/31/2003,"184,063,749"
08/31/2003,"160,643,557"
09/30/2003,"178,456,959"
10/31/2003,"147,698,340"
11/30/2003,"141,681,927"
12/31/2003,"195,351,691"
01/31/2004,"190,585,562"
02/29/2004,"198,853,825"
03/31/2004,"227,518,753"
04/30/2004,"165,698,577"
05/31/2004,"155,190,029"
06/30/2004,"160,192,397"
07/31/2004,"147,378,505"
08/31/2004,"171,740,245"
09/30/2004,"135,633,911"
10/31/2004,"124,132,159"
11/30/2004,"153,254,655"
12/31/2004,"146,456,582"
01/31/2005,"185,843,721"
02/28/2005,"183,654,497"
03/31/2005,"200,386,542"
04/30/2005,"151,922,829"
05/31/2005,"155,612,557"
06/30/2005,"138,505,424"
07/31/2005,"138,568,030"
08/31/2005,"168,735,505"
09/30/2005,"125,369,220"
10/31/2005,"128,737,676"
11/30/2005,"136,862,957"
12/31/2005,"138,187,351"
01/31/2006,"193,612,859"
02/28/2006,"173,135,683"
03/31/2006,"169,107,740"
04/30/2006,"139,228,919"
05/31/2006,"152,628,187"
06/30/2006,"125,138,945"
07/31/2006,"148,547,633"
08/31/2006,"158,854,954"
09/30/2006,"129,185,456"
10/31/2006,"143,926,905"
11/30/2006,"133,356,231"
12/31/2006,"142,133,695"
01/31/2007,"209,506,937"
02/28/2007,"183,966,102"
03/31/2007,"183,039,609"
04/30/2007,"171,753,027"
05/31/2007,"156,737,662"
06/30/2007,"132,926,398"
07/31/2007,"173,090,659"
08/31/2007,"153,162,473"
09/30/2007,"134,300,394"
10/31/2007,"156,623,858"
11/30/2007,"137,783,764"
12/31/2007,"167,198,896"
01/31/2008,"213,976,741"
02/29/2008,"194,966,373"
03/31/2008,"210,135,993"
04/30/2008,"195,303,542"
05/31/2008,"160,561,747"
06/30/2008,"174,401,972"
07/31/2008,"198,804,291"
08/31/2008,"179,806,894"
09/30/2008,"200,508,094"
10/31/2008,"180,602,777"
11/30/2008,"189,344,707"
12/31/2008,"281,587,905"
01/31/2009,"296,857,998"
02/28/2009,"315,141,466"
03/31/2009,"398,195,601"
04/30/2009,"335,706,061"
05/31/2009,"307,816,248"
06/30/2009,"356,131,422"
07/31/2009,"315,297,158"
08/31/2009,"313,323,054"
09/30/2009,"288,405,881"
10/31/2009,"239,681,805"
11/30/2009,"257,241,301"
12/31/2009,"280,929,801"
01/31/2010,"277,124,945"
02/28/2010,"274,190,800"
03/31/2010,"336,609,111"
04/30/2010,"245,958,414"
05/31/2010,"233,779,003"
06/30/2010,"243,617,295"
07/31/2010,"232,640,147"
08/31/2010,"280,648,191"
09/30/2010,"219,139,976"
10/31/2010,"198,229,149"
11/30/2010,"234,873,392"
12/31/2010,"224,747,904"
01/31/2011,"265,282,743"
02/28/2011,"250,938,561"
03/31/2011,"273,601,567"
04/30/2011,"210,466,135"
05/31/2011,"223,346,319"
06/30/2011,"191,811,034"
07/31/2011,"199,883,032"
08/31/2011,"230,056,194"
09/30/2011,"182,172,058"
10/31/2011,"188,874,205"
11/30/2011,"193,934,894"
12/31/2011,"190,788,186"
01/31/2012,"260,541,026"
02/29/2012,"234,168,231"
03/31/2012,"222,351,224"
04/30/2012,"220,600,273"
05/31/2012,"194,077,812"
06/30/2012,"174,623,867"
07/31/2012,"220,651,014"
08/31/2012,"195,466,567"
09/30/2012,"180,658,904"
10/31/2012,"177,044,577"
11/30/2012,"207,055,374"
12/31/2012,"219,999,352"
01/31/2013,"237,981,647"
02/28/2013,"218,122,477"
03/31/2013,"223,975,014"
04/30/2013,"210,287,273"
05/31/2013,"175,258,558"
06/30/2013,"174,964,242"
07/31/2013,"198,287,597"
08/31/2013,"179,505,965"
09/30/2013,"188,464,544"
10/31/2013,"167,680,938"
11/30/2013,"160,840,102"
12/31/2013,"222,226,501"
01/31/2014,"232,502,451"
02/28/2014,"225,359,639"
03/31/2014,"247,919,308"
04/30/2014,"198,185,498"
05/31/2014,"163,328,557"
06/30/2014,"176,176,099"
07/31/2014,"186,316,201"
08/31/2014,"180,568,855"
09/30/2014,"170,298,725"
10/31/2014,"154,725,793"
11/30/2014,"160,706,295"
12/31/2014,"195,672,449"
01/31/2015,"204,841,823"
02/28/2015,"210,772,944"
03/31/2015,"235,651,879"
04/30/2015,"167,929,152"
05/31/2015,"149,565,705"
06/30/2015,"152,176,251"
07/31/2015,"158,913,998"
08/31/2015,"177,237,889"
09/30/2015,"144,402,247"
10/31/2015,"132,305,922"
11/30/2015,"160,149,829"
12/31/2015,"169,431,144"
01/31/2016,"207,717,743"
02/29/2016,"212,898,916"
03/31/2016,"195,861,441"
04/30/2016,"157,493,268"
05/31/2016,"162,541,985"
06/30/2016,"139,602,048"
07/31/2016,"158,063,980"
08/31/2016,"169,014,031"
09/30/2016,"133,321,539"
10/31/2016,"147,626,889"
11/30/2016,"145,991,006"
12/31/2016,"155,574,286"
01/31/2017,"223,081,506"
02/28/2017,"194,408,327"
03/31/2017,"195,210,052"
04/30/2017,"174,889,930"
05/31/2017,"155,539,455"
06/30/2017,"139,391,201"
07/31/2017,"172,740,607"
08/31/2017,"167,034,701"
09/30/2017,"137,385,890"
10/31/2017,"153,387,914"
11/30/2017,"139,825,127"
12/31/2017,"168,610,239"
01/31/2018,"219,405,463"
02/28/2018,"194,791,249"
03/31/2018,"184,264,317"
04/30/2018,"183,498,076"
05/31/2018,"143,173,598"
06/30/2018,"133,854,962"
07/31/2018,"175,575,248"
08/31/2018,"155,672,678"
09/30/2018,"142,071,690"
10/31/2018,"138,640,541"
11/30/2018,"133,581,033"
12/31/2018,"166,209,440"
01/31/2019,"197,740,109"
02/28/2019,"191,090,847"
03/31/2019,"199,521,738"
04/30/2019,"165,578,043"
05/31/2019,"138,612,176"
06/30/2019,"143,084,933"
07/31/2019,"168,146,290"
08/31/2019,"153,064,001"
09/30/2019,"151,216,630"
10/31/2019,"134,060,718"
11/30/2019,"132,666,677"
12/31/2019,"187,318,934"
01/31/2020,"199,116,065"
02/29/2020,"193,928,290"
03/31/2020,"267,829,890"
04/30/2020,"759,617,569"
05/31/2020,"961,960,737"
06/30/2020,"859,341,577"
07/31/2020,"744,907,369"
08/31/2020,"649,141,421"
09/30/2020,"530,695,741"
10/31/2020,"323,033,465"
11/30/2020,"229,688,813"
12/31/2020,"222,560,946"
01/31/2021,"214,422,153"
02/28/2021,"197,241,003"
03/31/2021,"197,418,638"
04/30/2021,"189,386,793"
05/31/2021,"184,516,259"
06/30/2021,"194,130,544"
07/31/2021,"219,203,429"
08/31/2021,"212,948,664"
09/30/2021,"172,789,577"
10/31/2021,"133,017,801"
11/30/2021,"120,660,315"
12/31/2021,"123,718,982"
01/31/2022,"144,423,801"
