STATE,Benefits
01/31/2000,"138,980,394"
02/29/2000,"158,327,417"
03/31/2000,"176,518,766"
04/30/2000,"114,078,076"
05/31/2000,"120,742,735"
06/30/2000,"109,396,230"
07/31/2000,"109,228,319"
08/31/2000,"131,866,561"
09/30/2000,"96,983,754"
10/31/2000,"91,416,064"
11/30/2000,"122,613,469"
12/31/2000,"132,363,478"
01/31/2001,"203,400,796"
02/28/2001,"183,380,450"
03/31/2001,"186,690,670"
04/30/2001,"158,473,153"
05/31/2001,"180,443,841"
06/30/2001,"155,409,616"
07/31/2001,"164,003,637"
08/31/2001,"204,255,452"
09/30/2001,"155,670,616"
10/31/2001,"192,248,176"
11/30/2001,"183,722,224"
12/31/2001,"211,184,530"
01/31/2002,"312,869,044"
02/28/2002,"258,595,431"
03/31/2002,"247,642,855"
04/30/2002,"223,760,869"
05/31/2002,"241,195,422"
06/30/2002,"187,591,530"
07/31/2002,"230,791,503"
08/31/2002,"189,956,520"
09/30/2002,"172,008,858"
10/31/2002,"205,546,025"
11/30/2002,"176,050,452"
12/31/2002,"219,707,508"
01/31/2003,"310,608,359"
02/28/2003,"266,256,604"
03/31/2003,"267,289,124"
04/30/2003,"273,257,311"
05/31/2003,"207,317,324"
06/30/2003,"198,146,887"
07/31/2003,"247,427,595"
08/31/2003,"196,614,172"
09/30/2003,"183,134,412"
10/31/2003,"208,486,442"
11/30/2003,"167,221,895"
12/31/2003,"252,755,926"
01/31/2004,"243,647,492"
02/29/2004,"247,538,295"
03/31/2004,"276,026,341"
04/30/2004,"193,974,203"
05/31/2004,"165,089,900"
06/30/2004,"196,346,484"
07/31/2004,"171,383,211"
08/31/2004,"163,294,460"
09/30/2004,"179,069,426"
10/31/2004,"137,340,333"
11/30/2004,"143,857,287"
12/31/2004,"213,426,039"
01/31/2005,"214,084,598"
02/28/2005,"218,083,895"
03/31/2005,"262,354,760"
04/30/2005,"170,332,531"
05/31/2005,"147,133,705"
06/30/2005,"177,785,583"
07/31/2005,"152,463,282"
08/31/2005,"180,384,331"
09/30/2005,"137,648,603"
10/31/2005,"124,170,581"
11/30/2005,"158,910,318"
12/31/2005,"171,712,050"
01/31/2006,"237,883,826"
02/28/2006,"174,159,335"
03/31/2006,"247,972,134"
04/30/2006,"159,621,502"
05/31/2006,"145,282,419"
06/30/2006,"179,271,336"
07/31/2006,"155,102,764"
08/31/2006,"185,095,989"
09/30/2006,"135,481,117"
10/31/2006,"126,677,191"
11/30/2006,"167,261,692"
12/31/2006,"169,091,194"
01/31/2007,"249,269,497"
02/28/2007,"228,933,140"
03/31/2007,"226,436,546"
04/30/2007,"180,095,431"
05/31/2007,"191,522,727"
06/30/2007,"156,228,548"
07/31/2007,"166,508,379"
08/31/2007,"200,722,999"
09/30/2007,"145,446,980"
10/31/2007,"166,120,639"
11/30/2007,"155,879,576"
12/31/2007,"191,168,603"
01/31/2008,"287,725,723"
02/29/2008,"250,940,539"
03/31/2008,"243,196,105"
04/30/2008,"248,791,350"
05/31/2008,"184,276,802"
06/30/2008,"185,161,396"
07/31/2008,"243,175,043"
08/31/2008,"201,899,608"
09/30/2008,"190,771,878"
10/31/2008,"231,061,855"
11/30/2008,"214,595,336"
12/31/2008,"368,586,943"
01/31/2009,"450,050,810"
02/28/2009,"420,447,636"
03/31/2009,"517,727,820"
04/30/2009,"456,102,707"
05/31/2009,"419,146,567"
06/30/2009,"419,867,770"
07/31/2009,"503,339,738"
08/31/2009,"387,813,593"
09/30/2009,"416,375,353"
10/31/2009,"319,269,465"
11/30/2009,"299,812,215"
12/31/2009,"416,570,808"
01/31/2010,"377,973,199"
02/28/2010,"375,675,869"
03/31/2010,"442,422,282"
04/30/2010,"307,413,879"
05/31/2010,"271,624,834"
06/30/2010,"316,680,681"
07/31/2010,"269,930,309"
08/31/2010,"260,125,052"
09/30/2010,"286,400,379"
10/31/2010,"220,094,105"
11/30/2010,"221,685,362"
12/31/2010,"307,680,588"
01/31/2011,"290,342,603"
02/28/2011,"308,222,204"
03/31/2011,"353,781,857"
04/30/2011,"243,821,203"
05/31/2011,"223,356,384"
06/30/2011,"262,995,358"
07/31/2011,"224,944,652"
08/31/2011,"274,988,908"
09/30/2011,"215,585,630"
10/31/2011,"195,676,631"
11/30/2011,"244,176,834"
12/31/2011,"241,050,183"
01/31/2012,"271,848,347"
02/29/2012,"340,850,434"
03/31/2012,"271,477,039"
04/30/2012,"225,295,422"
05/31/2012,"253,522,273"
06/30/2012,"211,057,206"
07/31/2012,"216,672,096"
08/31/2012,"265,121,496"
09/30/2012,"194,176,079"
10/31/2012,"220,093,777"
11/30/2012,"209,825,887"
12/31/2012,"232,579,247"
01/31/2013,"327,282,046"
02/28/2013,"269,125,991"
03/31/2013,"254,343,094"
04/30/2013,"220,494,697"
05/31/2013,"225,344,242"
06/30/2013,"177,914,755"
07/31/2013,"226,492,931"
08/31/2013,"191,254,983"
09/30/2013,"168,185,393"
10/31/2013,"190,726,212"
11/30/2013,"165,769,048"
12/31/2013,"207,955,042"
01/31/2014,"295,132,611"
02/28/2014,"249,608,096"
03/31/2014,"236,891,311"
04/30/2014,"228,500,115"
05/31/2014,"166,312,985"
06/30/2014,"159,924,521"
07/31/2014,"203,965,909"
08/31/2014,"167,485,755"
09/30/2014,"146,970,009"
10/31/2014,"165,058,438"
11/30/2014,"136,824,477"
12/31/2014,"218,712,554"
01/31/2015,"219,252,232"
02/28/2015,"223,384,649"
03/31/2015,"225,541,412"
04/30/2015,"213,554,969"
05/31/2015,"148,814,670"
06/30/2015,"151,258,136"
07/31/2015,"196,833,491"
08/31/2015,"161,323,130"
09/30/2015,"177,382,467"
10/31/2015,"142,202,147"
11/30/2015,"146,021,594"
12/31/2015,"223,701,064"
01/31/2016,"223,277,039"
02/29/2016,"238,165,801"
03/31/2016,"268,718,350"
04/30/2016,"179,268,654"
05/31/2016,"161,689,067"
06/30/2016,"193,119,576"
07/31/2016,"165,882,884"
08/31/2016,"197,680,458"
09/30/2016,"142,111,067"
10/31/2016,"128,346,354"
11/30/2016,"161,539,126"
12/31/2016,"166,367,864"
01/31/2017,"192,025,142"
02/28/2017,"203,148,630"
03/31/2017,"238,070,649"
04/30/2017,"153,535,088"
05/31/2017,"131,427,501"
06/30/2017,"160,115,838"
07/31/2017,"142,656,968"
08/31/2017,"173,807,572"
09/30/2017,"121,832,586"
10/31/2017,"114,419,501"
11/30/2017,"148,099,600"
12/31/2017,"149,856,571"
01/31/2018,"226,202,757"
02/28/2018,"191,646,691"
03/31/2018,"180,276,372"
04/30/2018,"147,172,122"
05/31/2018,"143,926,136"
06/30/2018,"117,405,159"
07/31/2018,"129,924,779"
08/31/2018,"160,635,279"
09/30/2018,"108,818,386"
10/31/2018,"120,899,405"
11/30/2018,"110,237,497"
12/31/2018,"137,412,099"
01/31/2019,"205,387,487"
02/28/2019,"183,350,237"
03/31/2019,"177,626,381"
04/30/2019,"135,434,449"
05/31/2019,"143,043,327"
06/30/2019,"119,547,198"
07/31/2019,"159,648,969"
08/31/2019,"135,485,606"
09/30/2019,"115,242,585"
10/31/2019,"133,235,711"
11/30/2019,"112,676,968"
12/31/2019,"151,224,667"
01/31/2020,"227,247,119"
02/29/2020,"188,578,190"
03/31/2020,"179,095,930"
04/30/2020,"1,110,794,776"
05/31/2020,"1,092,473,624"
06/30/2020,"875,327,066"
07/31/2020,"884,894,186"
08/31/2020,"688,842,411"
09/30/2020,"636,204,746"
10/31/2020,"354,524,085"
11/30/2020,"305,820,673"
12/31/2020,"389,729,981"
01/31/2021,"336,335,428"
02/28/2021,"308,146,308"
03/31/2021,"326,411,844"
04/30/2021,"212,931,864"
05/31/2021,"189,520,292"
06/30/2021,"174,110,293"
07/31/2021,"208,877,669"
08/31/2021,"182,190,785"
09/30/2021,"155,295,589"
10/31/2021,"121,379,644"
11/30/2021,"122,012,471"
12/31/2021,"85,689,895"
01/31/2022,"117,801,190"
