STATE,Benefits
01/31/2000,"13,528,553"
02/29/2000,"18,097,050"
03/31/2000,"13,866,492"
04/30/2000,"10,703,384"
05/31/2000,"10,696,082"
06/30/2000,"8,762,185"
07/31/2000,"11,213,018"
08/31/2000,"10,072,719"
09/30/2000,"7,566,810"
10/31/2000,"8,497,617"
11/30/2000,"7,744,717"
12/31/2000,"10,222,868"
01/31/2001,"17,954,373"
02/28/2001,"16,515,661"
03/31/2001,"16,226,272"
04/30/2001,"14,705,337"
05/31/2001,"12,699,849"
06/30/2001,"11,792,683"
07/31/2001,"16,320,259"
08/31/2001,"14,456,481"
09/30/2001,"11,828,118"
10/31/2001,"14,235,206"
11/30/2001,"13,252,953"
12/31/2001,"17,739,653"
01/31/2002,"21,879,915"
02/28/2002,"21,577,899"
03/31/2002,"20,152,975"
04/30/2002,"20,752,806"
05/31/2002,"15,122,958"
06/30/2002,"13,585,911"
07/31/2002,"18,887,619"
08/31/2002,"15,040,731"
09/30/2002,"14,285,598"
10/31/2002,"12,665,148"
11/30/2002,"12,599,125"
12/31/2002,"18,689,819"
01/31/2003,"21,174,679"
02/28/2003,"22,048,365"
03/31/2003,"25,085,275"
04/30/2003,"17,781,584"
05/31/2003,"14,265,954"
06/30/2003,"15,925,636"
07/31/2003,"16,167,037"
08/31/2003,"15,339,149"
09/30/2003,"15,252,104"
10/31/2003,"12,288,356"
11/30/2003,"12,118,832"
12/31/2003,"18,281,707"
01/31/2004,"20,272,238"
02/29/2004,"21,863,664"
03/31/2004,"24,726,901"
04/30/2004,"16,886,779"
05/31/2004,"13,629,649"
06/30/2004,"15,770,926"
07/31/2004,"15,215,441"
08/31/2004,"18,616,184"
09/30/2004,"12,569,703"
10/31/2004,"11,614,946"
11/30/2004,"14,987,172"
12/31/2004,"15,374,210"
01/31/2005,"23,116,598"
02/28/2005,"22,100,165"
03/31/2005,"22,477,613"
04/30/2005,"16,620,579"
05/31/2005,"15,220,331"
06/30/2005,"12,848,355"
07/31/2005,"14,282,820"
08/31/2005,"17,502,315"
09/30/2005,"11,666,263"
10/31/2005,"12,414,995"
11/30/2005,"12,219,624"
12/31/2005,"14,377,204"
01/31/2006,"23,304,750"
02/28/2006,"21,280,182"
03/31/2006,"20,522,840"
04/30/2006,"15,379,004"
05/31/2006,"14,969,689"
06/30/2006,"12,478,294"
07/31/2006,"16,543,108"
08/31/2006,"15,188,695"
09/30/2006,"11,669,072"
10/31/2006,"12,976,155"
11/30/2006,"12,121,301"
12/31/2006,"14,419,643"
01/31/2007,"23,742,696"
02/28/2007,"22,473,332"
03/31/2007,"22,774,516"
04/30/2007,"20,984,807"
05/31/2007,"15,120,281"
06/30/2007,"13,760,694"
07/31/2007,"20,026,738"
08/31/2007,"17,543,467"
09/30/2007,"14,167,676"
10/31/2007,"16,517,549"
11/30/2007,"15,362,944"
12/31/2007,"21,806,742"
01/31/2008,"26,568,957"
02/29/2008,"27,224,355"
03/31/2008,"30,021,617"
04/30/2008,"22,057,516"
05/31/2008,"18,052,161"
06/30/2008,"19,891,135"
07/31/2008,"20,882,296"
08/31/2008,"20,285,115"
09/30/2008,"21,044,882"
10/31/2008,"17,857,359"
11/30/2008,"18,947,989"
12/31/2008,"29,773,900"
01/31/2009,"32,933,407"
02/28/2009,"37,392,865"
03/31/2009,"50,788,225"
04/30/2009,"38,711,729"
05/31/2009,"32,174,144"
06/30/2009,"36,153,881"
07/31/2009,"31,689,551"
08/31/2009,"34,200,176"
09/30/2009,"24,958,904"
10/31/2009,"22,161,101"
11/30/2009,"25,570,766"
12/31/2009,"25,864,578"
01/31/2010,"29,428,032"
02/28/2010,"31,949,884"
03/31/2010,"38,869,789"
04/30/2010,"27,075,568"
05/31/2010,"23,389,886"
06/30/2010,"24,906,425"
07/31/2010,"22,677,742"
08/31/2010,"26,095,951"
09/30/2010,"18,773,825"
10/31/2010,"17,159,215"
11/30/2010,"21,833,196"
12/31/2010,"22,583,138"
01/31/2011,"31,672,174"
02/28/2011,"29,563,065"
03/31/2011,"29,486,935"
04/30/2011,"23,618,102"
05/31/2011,"22,682,930"
06/30/2011,"18,014,845"
07/31/2011,"19,675,283"
08/31/2011,"23,690,868"
09/30/2011,"17,183,141"
10/31/2011,"18,727,880"
11/30/2011,"18,237,937"
12/31/2011,"20,199,547"
01/31/2012,"29,915,728"
02/29/2012,"28,059,660"
03/31/2012,"26,484,099"
04/30/2012,"24,313,868"
05/31/2012,"18,053,861"
06/30/2012,"17,520,498"
07/31/2012,"22,435,406"
08/31/2012,"18,066,152"
09/30/2012,"14,521,814"
10/31/2012,"16,592,318"
11/30/2012,"14,897,929"
12/31/2012,"19,985,468"
01/31/2013,"22,464,365"
02/28/2013,"23,215,641"
03/31/2013,"22,811,793"
04/30/2013,"20,993,492"
05/31/2013,"13,666,400"
06/30/2013,"12,667,461"
07/31/2013,"17,152,082"
08/31/2013,"14,907,399"
09/30/2013,"14,280,043"
10/31/2013,"12,415,797"
11/30/2013,"12,748,410"
12/31/2013,"18,122,074"
01/31/2014,"20,401,463"
02/28/2014,"22,185,468"
03/31/2014,"24,708,724"
04/30/2014,"16,258,143"
05/31/2014,"12,435,836"
06/30/2014,"13,493,516"
07/31/2014,"13,380,954"
08/31/2014,"12,898,916"
09/30/2014,"12,414,132"
10/31/2014,"9,955,237"
11/30/2014,"9,679,098"
12/31/2014,"15,026,981"
01/31/2015,"16,624,804"
02/28/2015,"18,586,690"
03/31/2015,"21,903,038"
04/30/2015,"13,816,651"
05/31/2015,"10,446,285"
06/30/2015,"11,838,687"
07/31/2015,"11,242,398"
08/31/2015,"13,309,098"
09/30/2015,"8,975,380"
10/31/2015,"8,474,613"
11/30/2015,"10,625,898"
12/31/2015,"11,434,653"
01/31/2016,"14,546,203"
02/29/2016,"20,445,086"
03/31/2016,"16,546,985"
04/30/2016,"12,603,883"
05/31/2016,"13,589,344"
06/30/2016,"9,902,504"
07/31/2016,"11,219,520"
08/31/2016,"13,661,275"
09/30/2016,"9,063,168"
10/31/2016,"9,911,471"
11/30/2016,"9,255,603"
12/31/2016,"10,841,554"
01/31/2017,"18,883,353"
02/28/2017,"17,506,152"
03/31/2017,"17,241,002"
04/30/2017,"13,157,333"
05/31/2017,"12,147,763"
06/30/2017,"9,580,112"
07/31/2017,"13,256,151"
08/31/2017,"11,512,693"
09/30/2017,"8,660,549"
10/31/2017,"9,879,272"
11/30/2017,"8,882,788"
12/31/2017,"10,295,603"
01/31/2018,"18,932,964"
02/28/2018,"16,987,417"
03/31/2018,"15,743,560"
04/30/2018,"14,131,180"
05/31/2018,"9,237,704"
06/30/2018,"8,539,261"
07/31/2018,"13,029,932"
08/31/2018,"10,976,424"
09/30/2018,"8,332,453"
10/31/2018,"9,350,544"
11/30/2018,"8,461,381"
12/31/2018,"12,417,324"
01/31/2019,"16,064,955"
02/28/2019,"16,925,486"
03/31/2019,"16,529,479"
04/30/2019,"14,421,120"
05/31/2019,"9,467,620"
06/30/2019,"9,079,978"
07/31/2019,"13,269,586"
08/31/2019,"10,493,443"
09/30/2019,"9,180,576"
10/31/2019,"7,547,815"
11/30/2019,"7,825,799"
12/31/2019,"13,180,403"
01/31/2020,"15,425,900"
02/29/2020,"16,294,690"
03/31/2020,"34,686,060"
04/30/2020,"112,542,105"
