STATE,Benefits
01/31/2000,"20,168,275"
02/29/2000,"16,299,179"
03/31/2000,"13,680,115"
04/30/2000,"12,348,747"
05/31/2000,"15,506,535"
06/30/2000,"13,648,556"
07/31/2000,"18,630,339"
08/31/2000,"16,956,251"
09/30/2000,"16,166,326"
10/31/2000,"19,634,842"
11/30/2000,"18,515,129"
12/31/2000,"19,627,322"
01/31/2001,"31,132,204"
02/28/2001,"24,114,056"
03/31/2001,"23,764,165"
04/30/2001,"28,590,062"
05/31/2001,"25,588,663"
06/30/2001,"28,405,510"
07/31/2001,"38,447,779"
08/31/2001,"32,134,574"
09/30/2001,"29,867,427"
10/31/2001,"40,323,179"
11/30/2001,"36,527,006"
12/31/2001,"43,714,443"
01/31/2002,"48,123,582"
02/28/2002,"39,190,569"
03/31/2002,"35,806,345"
04/30/2002,"40,052,545"
05/31/2002,"31,231,101"
06/30/2002,"30,622,210"
07/31/2002,"37,704,390"
08/31/2002,"28,722,479"
09/30/2002,"32,347,529"
10/31/2002,"28,963,118"
11/30/2002,"28,360,969"
12/31/2002,"39,606,058"
01/31/2003,"37,741,185"
02/28/2003,"34,526,198"
03/31/2003,"38,882,932"
04/30/2003,"32,205,124"
05/31/2003,"30,627,196"
06/30/2003,"38,982,537"
07/31/2003,"35,725,339"
08/31/2003,"31,452,859"
09/30/2003,"36,746,854"
10/31/2003,"29,490,878"
11/30/2003,"29,539,334"
12/31/2003,"36,775,812"
01/31/2004,"35,890,101"
02/29/2004,"33,236,960"
03/31/2004,"35,577,460"
04/30/2004,"26,601,618"
05/31/2004,"29,754,958"
06/30/2004,"27,815,381"
07/31/2004,"26,666,162"
08/31/2004,"29,802,510"
09/30/2004,"23,127,261"
10/31/2004,"22,828,512"
11/30/2004,"29,668,008"
12/31/2004,"27,133,652"
01/31/2005,"34,756,132"
02/28/2005,"27,512,786"
03/31/2005,"26,098,910"
04/30/2005,"24,843,472"
05/31/2005,"29,907,577"
06/30/2005,"26,777,105"
07/31/2005,"27,262,922"
08/31/2005,"31,637,881"
09/30/2005,"23,501,547"
10/31/2005,"28,212,831"
11/30/2005,"25,045,997"
12/31/2005,"26,540,027"
01/31/2006,"34,613,014"
02/28/2006,"25,742,231"
03/31/2006,"24,098,191"
04/30/2006,"22,471,442"
05/31/2006,"27,473,025"
06/30/2006,"24,033,184"
07/31/2006,"30,335,700"
08/31/2006,"26,671,911"
09/30/2006,"24,309,020"
10/31/2006,"29,725,186"
11/30/2006,"26,141,208"
12/31/2006,"27,532,367"
01/31/2007,"36,718,674"
02/28/2007,"28,250,416"
03/31/2007,"25,532,419"
04/30/2007,"30,135,626"
05/31/2007,"24,494,059"
06/30/2007,"25,299,487"
07/31/2007,"32,799,182"
08/31/2007,"26,765,384"
09/30/2007,"24,925,118"
10/31/2007,"31,914,152"
11/30/2007,"27,960,192"
12/31/2007,"36,746,104"
01/31/2008,"35,908,996"
02/29/2008,"34,223,024"
03/31/2008,"39,710,811"
04/30/2008,"32,846,591"
05/31/2008,"32,081,405"
06/30/2008,"41,780,059"
07/31/2008,"38,187,727"
08/31/2008,"38,938,565"
09/30/2008,"42,960,432"
10/31/2008,"41,629,064"
11/30/2008,"45,990,221"
12/31/2008,"60,101,061"
01/31/2009,"82,219,552"
02/28/2009,"77,221,801"
03/31/2009,"98,590,419"
04/30/2009,"82,312,131"
05/31/2009,"86,807,992"
06/30/2009,"90,208,251"
07/31/2009,"77,938,927"
08/31/2009,"82,265,088"
09/30/2009,"64,529,729"
10/31/2009,"59,209,397"
11/30/2009,"66,762,027"
12/31/2009,"58,955,427"
01/31/2010,"66,206,490"
02/28/2010,"57,363,758"
03/31/2010,"60,246,298"
04/30/2010,"48,201,035"
05/31/2010,"50,935,610"
06/30/2010,"44,348,747"
07/31/2010,"42,083,089"
08/31/2010,"48,206,692"
09/30/2010,"37,149,847"
10/31/2010,"39,853,739"
11/30/2010,"40,809,635"
12/31/2010,"38,600,230"
01/31/2011,"48,464,273"
02/28/2011,"40,324,896"
03/31/2011,"38,473,774"
04/30/2011,"34,022,974"
05/31/2011,"38,539,022"
06/30/2011,"33,626,666"
07/31/2011,"36,852,137"
08/31/2011,"37,707,427"
09/30/2011,"31,802,851"
10/31/2011,"37,359,242"
11/30/2011,"34,029,938"
12/31/2011,"31,926,406"
01/31/2012,"40,278,428"
02/29/2012,"31,603,141"
03/31/2012,"27,851,697"
04/30/2012,"28,298,592"
05/31/2012,"22,961,692"
06/30/2012,"22,522,526"
07/31/2012,"29,252,929"
08/31/2012,"20,594,833"
09/30/2012,"19,650,843"
10/31/2012,"20,420,109"
11/30/2012,"18,461,577"
12/31/2012,"23,481,127"
01/31/2013,"23,876,451"
02/28/2013,"21,875,714"
03/31/2013,"22,318,885"
04/30/2013,"20,847,782"
05/31/2013,"18,383,252"
06/30/2013,"21,262,526"
07/31/2013,"23,694,462"
08/31/2013,"20,239,560"
09/30/2013,"21,370,034"
10/31/2013,"18,265,540"
11/30/2013,"17,369,704"
12/31/2013,"21,656,391"
01/31/2014,"19,440,608"
02/28/2014,"19,077,511"
03/31/2014,"19,054,417"
04/30/2014,"11,418,186"
05/31/2014,"11,010,693"
06/30/2014,"14,440,842"
07/31/2014,"13,815,795"
08/31/2014,"15,221,889"
09/30/2014,"12,718,432"
10/31/2014,"10,886,585"
11/30/2014,"12,812,364"
