STATE,Benefits
01/31/2000,"1,712,356"
02/29/2000,"1,913,011"
03/31/2000,"2,082,146"
04/30/2000,"930,952"
05/31/2000,"580,602"
06/30/2000,"914,213"
07/31/2000,"895,552"
08/31/2000,"1,036,758"
09/30/2000,"576,035"
10/31/2000,"572,438"
11/30/2000,"1,009,522"
12/31/2000,"1,590,508"
01/31/2001,"2,376,171"
02/28/2001,"2,591,737"
03/31/2001,"2,585,539"
04/30/2001,"1,713,369"
05/31/2001,"1,200,761"
06/30/2001,"1,351,077"
07/31/2001,"1,582,944"
08/31/2001,"1,306,501"
09/30/2001,"905,990"
10/31/2001,"1,168,910"
11/30/2001,"1,401,406"
12/31/2001,"2,523,189"
01/31/2002,"3,508,170"
02/28/2002,"3,426,335"
03/31/2002,"3,380,208"
04/30/2002,"2,909,684"
05/31/2002,"1,640,763"
06/30/2002,"1,641,534"
07/31/2002,"2,159,667"
08/31/2002,"1,699,499"
09/30/2002,"1,543,570"
10/31/2002,"1,443,654"
11/30/2002,"1,599,688"
12/31/2002,"2,685,044"
01/31/2003,"3,250,082"
02/28/2003,"3,494,782"
03/31/2003,"3,853,190"
04/30/2003,"2,300,721"
05/31/2003,"1,730,029"
06/30/2003,"2,086,786"
07/31/2003,"2,215,224"
08/31/2003,"1,942,680"
09/30/2003,"1,858,872"
10/31/2003,"1,489,027"
11/30/2003,"1,605,548"
12/31/2003,"3,000,403"
01/31/2004,"3,199,020"
02/29/2004,"3,405,232"
03/31/2004,"3,813,650"
04/30/2004,"1,918,431"
05/31/2004,"1,474,090"
06/30/2004,"1,936,102"
07/31/2004,"1,686,691"
08/31/2004,"1,894,430"
09/30/2004,"1,251,618"
10/31/2004,"1,241,518"
11/30/2004,"1,740,110"
12/31/2004,"2,151,957"
01/31/2005,"3,803,591"
02/28/2005,"3,429,029"
03/31/2005,"3,265,871"
04/30/2005,"2,048,577"
05/31/2005,"1,721,012"
06/30/2005,"1,480,212"
07/31/2005,"1,412,305"
08/31/2005,"1,564,651"
09/30/2005,"959,634"
10/31/2005,"1,016,759"
11/30/2005,"1,126,815"
12/31/2005,"2,069,541"
01/31/2006,"3,201,733"
02/28/2006,"2,733,842"
03/31/2006,"2,553,591"
04/30/2006,"1,629,305"
05/31/2006,"1,223,525"
06/30/2006,"1,079,161"
07/31/2006,"1,310,560"
08/31/2006,"1,062,944"
09/30/2006,"758,694"
10/31/2006,"912,088"
11/30/2006,"999,348"
12/31/2006,"1,682,743"
01/31/2007,"3,145,639"
02/28/2007,"3,067,111"
03/31/2007,"2,743,225"
04/30/2007,"1,946,920"
05/31/2007,"1,034,424"
06/30/2007,"1,013,910"
07/31/2007,"1,220,029"
08/31/2007,"912,586"
09/30/2007,"660,301"
10/31/2007,"762,277"
11/30/2007,"836,908"
12/31/2007,"1,932,612"
01/31/2008,"2,730,479"
02/29/2008,"2,851,681"
03/31/2008,"2,970,720"
04/30/2008,"1,761,871"
05/31/2008,"1,033,378"
06/30/2008,"1,147,986"
07/31/2008,"1,164,849"
08/31/2008,"1,070,734"
09/30/2008,"1,089,876"
10/31/2008,"1,016,169"
11/30/2008,"1,472,248"
12/31/2008,"3,736,331"
01/31/2009,"5,167,119"
02/28/2009,"5,914,890"
03/31/2009,"7,781,048"
04/30/2009,"5,994,730"
05/31/2009,"4,536,654"
06/30/2009,"5,103,387"
07/31/2009,"4,317,052"
08/31/2009,"4,363,124"
09/30/2009,"3,486,539"
10/31/2009,"3,254,009"
11/30/2009,"3,904,168"
12/31/2009,"5,155,362"
01/31/2010,"6,229,170"
02/28/2010,"6,572,753"
