STATE,Benefits
01/31/2000,"13,149,844"
02/29/2000,"14,908,629"
03/31/2000,"11,907,421"
04/30/2000,"9,167,845"
05/31/2000,"9,820,965"
06/30/2000,"8,453,675"
07/31/2000,"9,094,061"
08/31/2000,"8,498,960"
09/30/2000,"6,564,344"
10/31/2000,"7,185,120"
11/30/2000,"7,230,050"
12/31/2000,"10,290,544"
01/31/2001,"16,527,833"
02/28/2001,"13,343,249"
03/31/2001,"13,217,546"
04/30/2001,"12,073,673"
05/31/2001,"10,048,220"
06/30/2001,"9,589,216"
07/31/2001,"11,419,550"
08/31/2001,"9,158,084"
09/30/2001,"7,565,594"
10/31/2001,"8,812,743"
11/30/2001,"8,916,662"
12/31/2001,"10,421,931"
01/31/2002,"18,002,413"
02/28/2002,"14,696,352"
03/31/2002,"15,086,865"
04/30/2002,"14,980,552"
05/31/2002,"12,961,992"
06/30/2002,"12,833,043"
07/31/2002,"14,591,347"
08/31/2002,"11,349,147"
09/30/2002,"11,286,527"
10/31/2002,"10,045,430"
11/30/2002,"11,074,433"
12/31/2002,"16,990,572"
01/31/2003,"18,487,771"
02/28/2003,"18,799,202"
03/31/2003,"20,909,758"
04/30/2003,"15,121,402"
05/31/2003,"12,655,734"
06/30/2003,"14,679,748"
07/31/2003,"13,322,224"
08/31/2003,"12,583,774"
09/30/2003,"12,449,250"
10/31/2003,"10,326,030"
11/30/2003,"12,342,383"
12/31/2003,"16,062,815"
01/31/2004,"15,893,171"
02/29/2004,"17,228,136"
03/31/2004,"15,914,977"
04/30/2004,"11,926,258"
05/31/2004,"10,807,038"
06/30/2004,"11,339,196"
07/31/2004,"9,930,944"
08/31/2004,"10,954,040"
09/30/2004,"8,439,092"
10/31/2004,"8,334,791"
11/30/2004,"9,819,053"
12/31/2004,"11,080,634"
01/31/2005,"15,384,977"
02/28/2005,"13,251,104"
03/31/2005,"13,664,749"
04/30/2005,"10,039,824"
05/31/2005,"10,201,315"
06/30/2005,"8,878,958"
07/31/2005,"9,897,752"
08/31/2005,"10,658,065"
09/30/2005,"8,786,614"
10/31/2005,"9,697,141"
11/30/2005,"9,982,548"
12/31/2005,"11,337,065"
01/31/2006,"15,509,138"
02/28/2006,"12,907,420"
03/31/2006,"11,788,353"
04/30/2006,"9,822,161"
05/31/2006,"9,414,308"
06/30/2006,"8,339,008"
07/31/2006,"10,426,376"
08/31/2006,"9,350,956"
09/30/2006,"8,426,847"
10/31/2006,"9,918,736"
11/30/2006,"9,314,463"
12/31/2006,"11,107,203"
01/31/2007,"15,602,906"
02/28/2007,"16,120,080"
03/31/2007,"13,602,184"
04/30/2007,"12,618,174"
05/31/2007,"9,473,325"
06/30/2007,"8,873,921"
07/31/2007,"11,020,274"
08/31/2007,"9,201,962"
09/30/2007,"8,678,151"
10/31/2007,"8,643,174"
11/30/2007,"9,049,176"
12/31/2007,"12,024,397"
01/31/2008,"16,483,326"
02/29/2008,"14,963,923"
03/31/2008,"16,242,732"
04/30/2008,"11,882,333"
05/31/2008,"10,440,864"
06/30/2008,"11,922,500"
07/31/2008,"10,497,602"
08/31/2008,"10,313,214"
09/30/2008,"10,094,542"
10/31/2008,"8,710,816"
11/30/2008,"10,923,263"
12/31/2008,"18,101,638"
01/31/2009,"21,992,220"
02/28/2009,"24,919,542"
03/31/2009,"32,221,513"
04/30/2009,"27,868,737"
05/31/2009,"31,340,479"
06/30/2009,"33,007,148"
07/31/2009,"30,724,186"
08/31/2009,"32,586,062"
09/30/2009,"25,633,146"
10/31/2009,"23,252,823"
11/30/2009,"25,656,162"
12/31/2009,"25,359,280"
01/31/2010,"30,528,915"
02/28/2010,"27,184,712"
03/31/2010,"28,122,228"
04/30/2010,"20,101,843"
05/31/2010,"20,854,522"
06/30/2010,"19,129,804"
07/31/2010,"17,228,933"
08/31/2010,"19,579,114"
09/30/2010,"14,288,340"
10/31/2010,"14,355,742"
11/30/2010,"15,071,755"
12/31/2010,"18,175,130"
01/31/2011,"24,213,465"
02/28/2011,"21,254,256"
03/31/2011,"19,781,182"
04/30/2011,"15,287,396"
05/31/2011,"16,413,459"
06/30/2011,"14,732,335"
07/31/2011,"15,609,994"
08/31/2011,"14,407,667"
09/30/2011,"12,273,763"
10/31/2011,"12,898,751"
11/30/2011,"12,172,528"
12/31/2011,"14,756,950"
01/31/2012,"20,782,145"
02/29/2012,"18,513,218"
03/31/2012,"17,657,297"
04/30/2012,"18,290,103"
05/31/2012,"16,571,685"
06/30/2012,"16,393,321"
07/31/2012,"20,753,613"
08/31/2012,"17,353,415"
09/30/2012,"17,778,593"
10/31/2012,"17,105,305"
11/30/2012,"19,048,926"
12/31/2012,"24,351,332"
01/31/2013,"25,332,037"
02/28/2013,"22,618,499"
03/31/2013,"22,342,505"
04/30/2013,"18,967,832"
05/31/2013,"15,270,544"
06/30/2013,"16,781,284"
07/31/2013,"16,772,074"
08/31/2013,"14,567,318"
09/30/2013,"15,836,024"
10/31/2013,"14,091,077"
11/30/2013,"14,445,820"
12/31/2013,"22,811,557"
01/31/2014,"24,197,435"
02/28/2014,"23,717,589"
03/31/2014,"23,738,757"
04/30/2014,"16,483,950"
05/31/2014,"14,257,879"
06/30/2014,"16,810,653"
07/31/2014,"15,694,305"
08/31/2014,"13,375,813"
09/30/2014,"14,243,562"
10/31/2014,"11,759,875"
11/30/2014,"12,503,597"
12/31/2014,"20,400,376"
01/31/2015,"20,125,544"
02/28/2015,"20,836,525"
03/31/2015,"25,051,215"
04/30/2015,"17,701,253"
05/31/2015,"15,769,584"
06/30/2015,"19,836,331"
07/31/2015,"17,297,576"
08/31/2015,"17,829,111"
09/30/2015,"15,678,031"
10/31/2015,"14,566,194"
11/30/2015,"18,129,827"
12/31/2015,"22,087,504"
01/31/2016,"25,317,632"
02/29/2016,"30,873,545"
03/31/2016,"26,806,008"
04/30/2016,"21,164,176"
05/31/2016,"23,869,715"
06/30/2016,"20,117,812"
07/31/2016,"17,915,544"
08/31/2016,"19,170,692"
09/30/2016,"13,968,202"
10/31/2016,"13,782,144"
11/30/2016,"13,529,633"
12/31/2016,"15,118,788"
01/31/2017,"20,884,007"
02/28/2017,"17,078,311"
03/31/2017,"15,548,633"
04/30/2017,"11,865,286"
05/31/2017,"12,012,068"
06/30/2017,"10,333,203"
07/31/2017,"11,608,920"
08/31/2017,"10,418,185"
09/30/2017,"8,387,413"
10/31/2017,"9,485,821"
11/30/2017,"9,615,845"
12/31/2017,"11,925,814"
01/31/2018,"18,838,930"
02/28/2018,"15,348,429"
03/31/2018,"13,926,454"
04/30/2018,"12,354,727"
05/31/2018,"9,840,784"
06/30/2018,"9,010,452"
07/31/2018,"10,604,473"
08/31/2018,"8,426,220"
09/30/2018,"7,107,899"
10/31/2018,"8,560,793"
11/30/2018,"8,745,545"
12/31/2018,"11,032,795"
01/31/2019,"19,909,645"
02/28/2019,"19,163,622"
03/31/2019,"18,284,908"
04/30/2019,"17,358,877"
05/31/2019,"12,303,183"
06/30/2019,"10,932,114"
07/31/2019,"13,193,023"
08/31/2019,"9,842,914"
09/30/2019,"11,134,000"
10/31/2019,"12,818,556"
11/30/2019,"14,579,459"
12/31/2019,"23,136,026"
01/31/2020,"23,957,295"
02/29/2020,"23,535,125"
03/31/2020,"28,783,672"
