Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,72,53,59,53,60,59,50,64,57,49,44,60
2002,55,52,48,56,53,48,54,54,46,52,48,44
2003,48,44,46,42,44,48,43,44,49,44,46,49
2004,46,48,51,47,42,45,51,44,48,52,46,51
2005,45,50,53,53,56,52,48,53,47,45,51,45
2006,51,46,51,56,52,52,61,57,54,56,53,61
2007,56,60,58,49,53,53,55,54,55,52,53,52
2008,65,52,47,49,47,54,47,47,51,51,49,52
2009,47,36,46,40,37,35,33,37,37,38,42,39
2010,37,41,48,43,47,42,50,37,45,44,40,44
2011,40,44,45,46,45,47,44,47,46,44,60,43
2012,50,43,45,37,47,46,45,44,40,43,41,40
2013,41,36,35,40,42,40,42,48,46,41,42,42
2014,41,46,45,48,46,45,47,48,47,45,47,50
2015,49,49,52,52,49,47,44,44,52,52,51,53
2016,49,50,51,45,48,58,54,57,52,50,50,52
2017,62,52,42,44,46,56,61,50,50,52,54,53
2018,55,53,52,53,61,50,52,51,54,55,53,53
2019,48,53,52,64,62,54,55,56,55,51,49,48
2020,52,50,42,40,60,50,52,54,46,49,51,47
2021,49,51,55,50,45,69,63,55,49,55,57,57
