Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,86,76,86,92,90,81,86,97,85,90,79,73
2002,76,79,74,85,83,83,76,74,84,71,78,87
2003,77,77,76,76,77,79,84,72,73,81,75,76
2004,88,85,89,75,78,81,82,90,86,75,89,81
2005,76,84,88,93,84,81,87,90,95,115,108,102
2006,105,97,89,94,109,78,90,97,106,89,81,90
2007,94,89,97,93,100,102,100,89,91,90,84,88
2008,83,82,83,82,78,81,71,84,80,98,83,69
2009,68,72,66,63,61,65,64,60,61,58,63,60
2010,62,56,71,82,60,71,67,60,62,66,64,56
2011,63,66,71,65,73,65,71,78,75,79,71,76
2012,70,72,71,72,77,67,71,67,68,65,65,74
2013,73,79,71,72,72,65,72,86,75,68,81,68
2014,70,64,67,71,68,77,78,75,80,85,94,85
2015,81,74,78,68,80,78,72,84,76,70,72,75
2016,78,77,75,79,75,79,85,71,95,79,79,81
2017,81,83,96,79,94,83,78,80,84,80,85,78
2018,80,89,100,85,83,78,85,87,83,81,80,86
2019,92,94,87,91,83,90,88,89,88,87,98,81
2020,78,80,66,42,92,90,80,91,77,94,100,81
2021,80,80,87,77,94,93,92,95,94,102,98,94
