Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,212,179,194,162,162,143,195,137,166,158,158,130
2002,141,144,148,149,136,159,149,173,148,169,149,170
2003,157,146,142,117,135,140,125,144,159,135,135,141
2004,148,144,149,152,142,147,148,152,137,128,157,135
2005,169,159,137,166,182,153,162,141,142,143,134,160
2006,118,152,150,157,150,185,158,133,118,150,156,148
2007,145,150,153,141,161,136,122,152,137,134,141,141
2008,134,128,185,148,141,150,129,154,142,151,132,127
2009,122,98,116,109,92,128,99,105,122,117,86,159
2010,111,125,150,137,154,146,170,130,135,115,140,168
2011,137,196,142,143,139,125,154,146,144,162,152,137
2012,164,186,150,135,119,119,132,115,119,105,118,108
2013,128,124,115,116,134,141,113,134,121,110,101,119
2014,110,119,125,132,131,131,123,139,140,150,151,156
2015,140,130,132,155,141,138,143,143,156,172,142,131
2016,226,178,176,144,155,167,166,133,144,153,173,134
2017,143,133,141,142,144,178,164,174,156,158,161,167
2018,173,163,161,140,175,182,159,170,181,171,178,183
2019,140,203,172,183,176,163,166,166,174,158,160,156
2020,147,169,154,136,292,356,226,248,175,185,201,161
2021,165,211,182,199,202,258,230,220,198,201,203,208
