Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,141,110,119,91,121,120,107,105,117,116,97,94
2002,90,88,89,95,88,103,93,89,88,92,95,90
2003,114,89,89,98,95,83,89,89,85,78,91,96
2004,85,105,98,80,82,83,80,97,97,92,88,82
2005,85,110,94,91,92,87,116,93,86,84,85,94
2006,95,97,99,99,91,100,104,78,90,105,109,107
2007,105,104,102,95,105,101,90,95,99,93,114,91
2008,89,79,80,78,81,82,82,82,85,79,69,77
2009,70,62,76,74,63,62,65,63,69,74,68,75
2010,69,80,91,82,83,79,78,72,68,75,71,71
2011,74,80,71,77,74,89,84,83,82,75,84,75
2012,85,84,87,81,81,77,79,91,84,84,95,96
2013,90,75,84,87,96,88,90,102,105,94,88,109
2014,76,83,96,100,97,91,104,83,88,98,89,98
2015,83,103,88,98,93,106,83,82,91,82,91,86
2016,90,100,103,76,87,96,86,92,81,93,90,89
2017,107,85,89,102,90,101,96,95,103,95,101,94
2018,97,100,102,96,124,97,96,97,98,98,91,93
2019,130,91,92,85,97,101,103,100,100,97,94,91
2020,86,99,94,80,110,149,97,107,74,92,93,90
2021,91,94,92,90,74,121,119,97,89,98,110,107
