Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,23,23,23,20,24,19,22,20,20,20,21,18
2002,20,18,18,22,20,21,23,22,24,22,22,22
2003,23,21,18,23,23,21,22,24,21,24,21,24
2004,19,23,24,29,22,25,22,21,23,23,21,24
2005,18,23,24,23,26,25,24,25,27,24,28,25
2006,28,27,24,25,23,27,25,25,24,27,28,25
2007,29,22,27,25,24,23,25,24,22,28,22,23
2008,22,23,24,23,25,23,23,25,24,22,21,23
2009,21,20,18,19,19,19,20,19,19,19,20,18
2010,18,18,18,19,19,19,17,16,17,18,18,18
2011,17,18,19,18,19,19,20,22,19,19,19,18
2012,17,17,19,22,21,19,19,21,17,20,20,20
2013,21,23,21,20,20,20,20,20,21,20,19,21
2014,21,21,19,22,20,23,24,20,23,25,21,24
2015,24,24,23,23,24,23,23,23,25,27,27,29
2016,25,22,24,26,25,28,24,23,26,19,24,24
2017,24,23,24,24,23,22,25,25,24,23,24,24
2018,23,24,22,22,24,23,22,25,23,22,23,23
2019,24,22,23,25,24,24,23,25,24,24,22,25
2020,26,27,24,20,50,25,25,24,27,25,23,22
2021,24,24,28,27,30,25,29,27,28,25,27,27
