Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,47,61,49,39,49,43,44,45,42,41,52,44
2002,50,42,44,48,51,43,52,46,49,45,46,44
2003,53,47,43,45,46,50,47,51,49,53,51,52
2004,52,50,56,55,50,53,53,51,57,58,53,55
2005,56,61,60,63,64,63,61,64,79,57,70,69
2006,72,66,62,56,59,66,66,61,65,63,75,63
2007,59,63,65,61,64,65,67,67,59,70,60,56
2008,60,61,65,66,63,52,50,54,51,59,49,48
2009,40,38,37,38,40,33,46,38,40,38,41,44
2010,41,43,43,42,45,50,41,46,42,45,43,42
2011,48,50,42,45,40,47,48,44,46,42,40,40
2012,40,39,48,44,45,39,45,44,37,47,45,51
2013,43,46,47,45,46,50,41,43,45,47,48,50
2014,55,52,53,47,52,52,53,53,62,54,39,48
2015,48,53,48,50,48,49,52,53,55,53,57,54
2016,52,50,50,59,52,59,55,52,58,44,61,49
2017,52,52,56,51,58,49,52,53,55,52,54,58
2018,55,56,52,60,59,63,61,60,49,57,56,66
2019,63,50,57,60,59,57,62,62,56,61,61,56
2020,75,65,65,44,123,144,87,90,86,74,61,49
2021,59,62,73,65,93,140,120,98,85,78,66,63
