Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,17,16,17,14,19,16,16,16,18,16,14,14
2002,14,14,14,15,13,14,14,14,14,14,14,14
2003,17,14,14,14,14,14,11,15,15,14,15,15
2004,15,13,15,14,12,14,14,13,13,14,13,14
2005,13,14,14,15,14,14,14,15,14,13,14,14
2006,16,16,16,15,16,16,16,16,15,14,16,16
2007,14,15,16,16,17,15,15,16,16,18,16,17
2008,15,15,15,14,13,15,14,13,15,14,14,13
2009,15,11,12,11,14,12,10,12,13,12,13,14
2010,13,14,15,16,15,14,15,15,14,15,15,14
2011,15,17,17,18,16,17,18,19,19,18,19,19
2012,19,18,20,17,20,21,19,18,17,19,17,18
2013,17,15,17,15,21,16,18,20,19,17,18,18
2014,19,21,19,21,21,20,21,18,21,22,22,21
2015,25,18,20,21,17,18,18,17,19,18,18,18
2016,17,19,18,17,18,18,17,18,17,17,17,15
2017,18,17,17,19,18,19,19,17,17,17,17,17
2018,17,17,17,17,21,18,17,18,19,18,18,19
2019,26,18,17,20,19,19,19,25,20,21,19,18
2020,18,20,19,15,30,19,17,21,16,17,17,17
2021,17,19,20,24,21,20,21,24,20,20,20,21
