Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,17,17,16,13,17,14,16,14,14,14,15,13
2002,14,13,13,14,14,14,15,14,17,14,13,13
2003,16,14,12,14,14,14,13,14,15,15,14,15
2004,13,13,14,15,13,14,14,14,14,14,14,14
2005,15,15,15,15,16,16,16,17,16,16,17,17
2006,17,19,17,18,14,17,17,16,16,16,21,17
2007,14,15,17,15,17,15,17,16,15,17,17,15
2008,15,19,17,18,17,16,16,16,18,17,15,15
2009,16,14,14,13,13,11,13,12,12,12,12,12
2010,14,11,12,13,13,13,12,13,11,11,11,12
2011,11,11,11,12,13,13,13,13,14,12,12,14
2012,13,14,14,16,13,12,14,14,12,14,14,12
2013,13,14,16,13,14,14,13,12,14,13,13,14
2014,14,14,14,13,13,15,14,14,15,14,12,16
2015,13,15,14,14,14,14,14,14,14,14,13,14
2016,13,13,14,14,15,15,14,14,13,12,14,13
2017,14,13,13,13,14,12,15,16,14,12,14,13
2018,13,14,14,14,14,13,14,16,15,15,16,16
2019,16,15,14,15,14,15,14,15,16,16,13,19
2020,17,17,15,12,15,9,14,15,15,13,13,13
2021,15,15,17,16,9,8,16,16,15,14,15,14
