Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,47,50,43,41,39,36,43,40,38,38,36,34
2002,36,34,36,36,34,34,32,29,32,31,33,29
2003,25,28,27,25,28,28,27,29,30,31,32,31
2004,33,31,30,32,31,30,31,32,30,31,28,33
2005,32,34,35,36,33,36,37,35,37,34,36,36
2006,40,33,41,47,40,44,36,40,41,42,43,43
2007,41,41,45,43,39,40,40,40,43,41,39,42
2008,43,40,36,40,41,39,38,39,31,34,33,30
2009,30,29,25,21,20,24,23,22,24,24,24,25
2010,23,23,25,27,28,27,26,28,26,27,32,23
2011,27,26,31,29,29,31,38,29,30,34,29,30
2012,33,26,30,31,32,30,33,31,30,29,31,31
2013,32,31,30,30,31,31,29,31,31,33,33,31
2014,32,35,35,36,39,41,36,47,44,42,39,44
2015,44,46,44,47,47,41,45,47,45,46,46,46
2016,47,48,53,47,45,47,46,45,45,43,49,50
2017,49,48,50,51,51,52,50,50,49,41,48,50
2018,52,55,55,51,58,57,60,58,58,59,58,58
2019,56,60,62,60,59,60,63,66,67,69,64,62
2020,64,59,55,50,44,44,57,57,58,58,61,61
2021,68,66,79,100,76,79,89,98,95,90,85,92
