Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,296,266,263,247,237,242,258,221,224,187,210,234
2002,202,201,200,198,209,202,209,220,206,206,202,193
2003,195,201,200,198,196,202,181,183,193,232,218,219
2004,244,251,225,223,235,226,262,291,279,293,242,292
2005,287,266,302,306,272,313,364,328,345,309,338,343
2006,335,319,347,393,384,345,303,313,323,315,311,327
2007,333,376,370,326,321,334,332,302,245,280,260,276
2008,275,248,234,236,233,223,190,183,145,196,204,177
2009,166,161,168,125,124,122,126,150,137,143,143,134
2010,152,126,143,166,187,181,192,177,174,210,184,173
2011,180,184,183,178,181,192,195,189,193,188,212,213
2012,208,218,232,250,200,216,215,222,226,216,216,223
2013,214,202,212,253,263,264,240,219,237,289,227,235
2014,263,288,271,249,285,268,271,328,307,316,274,307
2015,316,323,319,312,312,311,329,320,296,284,335,320
2016,322,297,335,328,319,398,344,315,347,342,321,352
2017,328,352,355,313,302,317,335,341,290,396,381,371
2018,382,404,417,448,445,452,462,455,432,440,474,472
2019,455,369,430,413,433,385,437,427,424,426,414,419
2020,434,416,372,267,314,351,387,374,393,402,390,390
2021,408,451,426,469,534,574,715,685,656,713,623,688
