Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,169,188,142,138,128,124,176,128,151,126,114,117
2002,107,109,120,103,100,112,104,111,91,103,113,100
2003,105,90,88,92,103,99,87,93,97,95,96,100
2004,100,120,94,106,120,108,117,108,109,123,99,126
2005,125,131,141,140,119,119,151,133,135,112,123,126
2006,133,118,152,144,124,142,132,139,137,136,147,135
2007,142,144,138,138,133,135,141,126,141,131,130,144
2008,140,129,129,113,111,98,94,95,79,96,95,77
2009,73,87,59,65,75,79,73,71,71,71,68,68
2010,69,71,64,80,79,85,87,89,91,97,98,91
2011,89,91,91,91,78,89,89,85,108,82,100,102
2012,127,102,98,104,108,109,101,123,101,95,107,114
2013,130,121,124,119,124,109,118,130,126,127,124,118
2014,113,124,133,155,135,150,153,149,154,158,139,141
2015,148,156,163,169,191,175,207,174,154,164,172,195
2016,199,194,224,193,197,186,197,188,202,193,197,195
2017,191,203,186,221,197,211,209,206,197,205,216,198
2018,224,221,225,231,233,233,236,234,226,238,229,235
2019,227,227,244,235,219,220,227,226,243,242,238,239
2020,237,227,152,141,215,229,248,259,246,251,257,275
2021,307,281,289,332,356,364,383,416,417,412,419,419
