Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,79,74,67,66,68,62,70,65,67,61,57,56
2002,66,49,58,57,55,62,50,58,57,59,60,57
2003,54,56,58,53,58,60,58,50,59,55,57,55
2004,62,62,53,63,58,60,63,63,58,63,63,67
2005,69,62,69,72,60,64,70,73,61,83,94,83
2006,74,69,83,84,84,76,76,77,88,75,78,73
2007,83,80,89,81,78,89,79,76,77,68,71,73
2008,67,66,60,64,62,60,59,63,46,62,55,51
2009,47,47,37,36,44,40,38,35,40,36,35,38
2010,37,36,39,37,38,35,48,37,40,50,43,42
2011,44,44,47,50,48,44,53,51,58,50,52,51
2012,59,52,51,54,54,63,49,51,49,53,52,58
2013,57,56,56,53,58,55,48,61,55,59,58,54
2014,53,61,61,60,58,71,69,73,76,72,70,71
2015,79,77,72,101,88,80,86,83,68,85,85,86
2016,84,87,84,76,83,69,74,71,76,69,74,77
2017,79,79,75,78,71,72,73,69,71,69,82,76
2018,76,74,84,82,81,92,90,86,82,87,87,90
2019,89,85,91,91,90,91,91,100,100,97,94,86
2020,90,99,70,60,81,82,91,101,93,105,96,88
2021,103,105,104,107,110,125,132,136,138,156,129,147
