Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,28,25,27,28,29,25,23,24,23,22,18,21
2002,24,17,18,18,17,17,18,18,17,18,19,17
2003,18,20,17,18,18,18,19,18,19,18,19,18
2004,16,20,21,20,19,16,19,18,20,20,17,20
2005,17,19,20,20,21,20,19,21,24,22,21,21
2006,24,21,24,24,23,21,22,24,23,24,25,25
2007,26,24,24,21,22,23,22,22,21,22,21,22
2008,21,21,21,21,22,20,21,19,18,19,19,18
2009,14,17,15,15,15,16,17,14,16,13,15,16
2010,16,16,15,22,18,15,18,17,17,18,18,18
2011,18,19,19,18,19,19,19,17,22,18,17,19
2012,20,19,19,19,17,19,17,21,19,19,17,17
2013,20,18,18,18,19,23,17,19,21,18,21,26
2014,16,19,19,20,22,23,23,22,19,23,21,27
2015,18,25,24,23,26,24,26,24,24,24,26,26
2016,29,27,26,36,27,28,27,27,27,27,28,27
2017,25,29,28,29,28,28,28,28,27,27,29,30
2018,37,29,32,39,32,33,33,29,34,33,34,31
2019,32,31,32,28,33,32,28,31,33,32,30,31
2020,31,32,25,24,24,24,26,25,34,30,29,29
2021,29,34,41,44,42,43,56,47,50,42,44,47
