Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,165,147,135,123,129,128,127,117,109,98,97,105
2002,99,95,98,94,92,89,90,93,87,94,91,86
2003,105,96,78,81,111,126,100,90,103,105,109,105
2004,104,105,109,109,102,109,110,108,121,121,125,134
2005,129,125,123,127,122,125,125,131,136,118,117,122
2006,130,110,136,144,135,131,141,137,146,147,134,156
2007,135,129,136,142,130,138,145,135,134,151,142,136
2008,154,137,137,128,143,139,123,127,116,110,116,106
2009,87,98,80,69,91,68,52,56,59,64,69,70
2010,79,67,61,88,95,70,77,76,76,78,79,71
2011,75,88,89,87,71,96,100,98,100,126,106,112
2012,107,98,108,104,109,115,130,123,122,107,105,111
2013,137,124,124,141,135,154,128,130,131,124,133,138
2014,133,131,135,125,139,132,124,154,132,154,153,151
2015,164,165,161,172,179,138,183,179,199,200,183,196
2016,228,200,203,172,168,176,190,167,201,171,174,174
2017,178,190,188,201,193,224,224,206,205,222,222,206
2018,217,217,214,239,251,240,217,250,245,257,294,280
2019,289,289,294,280,273,258,267,299,284,326,266,259
2020,233,226,177,148,180,198,219,208,228,247,208,238
2021,291,280,297,303,284,354,354,360,329,344,358,425
