Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.4,3.3,2.6,2.7,2.7,2.7,2.5,2.4,2.4,2.6,2.3,2.3
2002,2.1,2.0,2.2,2.1,2.3,2.0,2.2,2.2,2.1,2.1,2.0,2.0
2003,2.2,2.1,2.1,1.9,1.9,1.9,1.7,2.2,1.8,2.0,2.0,2.0
2004,2.0,2.0,1.9,2.6,2.1,1.9,2.1,1.9,2.2,2.1,1.8,2.5
2005,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.3,2.5,2.4,2.6,2.5
2006,2.5,2.5,2.4,2.7,2.7,2.8,2.4,2.9,2.5,2.8,2.4,3.0
2007,2.7,2.4,2.6,2.2,2.1,2.5,2.3,2.1,2.1,2.8,2.3,2.3
2008,2.2,2.3,2.4,2.3,2.8,2.2,2.0,2.0,2.1,1.8,2.1,1.8
2009,1.7,2.3,1.4,1.6,1.5,1.3,1.3,1.5,1.5,1.4,1.6,1.4
2010,1.6,1.8,1.6,2.0,1.9,1.7,2.3,2.0,2.2,2.1,2.0,2.2
2011,2.3,2.4,2.5,2.3,2.5,2.6,2.7,2.5,2.6,2.7,2.4,2.7
2012,2.9,2.7,3.2,2.8,2.8,3.0,2.7,2.6,2.7,2.3,3.0,3.4
2013,2.5,2.7,2.7,2.7,2.8,3.0,2.7,2.6,2.6,2.7,2.7,3.1
2014,2.3,2.6,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.3,3.1,3.3
2015,3.9,3.7,3.2,3.5,3.5,3.6,3.9,3.8,3.7,3.7,3.6,3.6
2016,3.6,3.7,3.6,3.9,3.7,4.2,4.3,3.7,3.7,3.9,4.5,4.1
2017,4.3,4.2,4.3,4.2,4.1,4.7,4.1,4.9,4.6,4.6,4.9,4.9
2018,4.8,4.7,4.7,4.8,4.9,4.7,4.9,5.2,5.0,5.0,4.7,5.1
2019,4.8,4.4,5.1,4.8,4.8,4.8,4.5,4.4,4.5,5.1,4.6,4.3
2020,4.7,4.6,3.0,2.8,3.6,5.4,5.6,5.2,4.9,4.7,4.9,5.1
2021,5.7,5.8,5.9,7.4,8.7,9.5,8.3,8.0,8.0,8.6,7.5,7.6
