Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.0,3.8,3.5,3.3,3.0,3.1,3.2,2.6,2.8,2.9,3.2,2.9
2002,2.8,3.0,2.4,2.7,2.8,2.5,2.5,2.7,2.5,2.7,2.5,2.3
2003,3.1,2.1,2.2,2.4,2.5,2.9,2.4,2.5,2.5,2.5,2.5,2.7
2004,2.8,2.7,2.8,2.7,3.5,2.6,3.4,2.7,3.0,2.9,2.9,3.1
2005,2.8,2.8,3.2,3.0,2.8,3.1,3.0,3.1,2.9,3.1,3.0,3.1
2006,3.4,3.3,4.5,3.6,3.5,3.3,3.4,3.5,3.9,3.8,3.9,3.5
2007,4.0,3.5,3.9,4.5,3.8,4.2,3.8,4.2,4.0,4.0,4.1,4.3
2008,4.2,3.7,3.6,3.1,3.2,2.8,3.0,2.8,2.3,2.5,2.4,2.4
2009,2.0,2.3,2.0,1.7,1.8,1.8,1.7,1.8,2.0,1.7,1.8,1.9
2010,2.2,2.6,2.2,2.6,2.4,2.2,2.3,2.1,2.2,2.5,2.5,2.6
2011,2.3,2.4,2.7,2.6,2.3,3.0,3.1,3.0,3.1,3.0,2.2,2.6
2012,2.5,2.2,2.6,2.6,2.6,2.6,2.5,2.6,2.8,2.5,2.8,2.6
2013,2.8,3.0,2.9,2.7,2.9,2.8,2.8,2.6,2.6,3.2,2.9,3.0
2014,3.3,3.0,3.2,3.2,3.2,3.7,3.4,4.1,3.5,3.6,3.5,3.8
2015,3.6,4.1,3.9,4.1,4.1,3.7,4.6,3.9,4.1,4.0,3.9,4.0
2016,3.8,3.9,4.3,4.4,4.3,4.1,4.0,4.0,4.0,3.9,4.4,4.0
2017,4.1,3.9,4.0,4.1,4.1,4.4,4.5,4.5,4.7,4.7,4.4,4.4
2018,5.2,4.8,4.5,4.6,4.1,4.5,4.8,5.0,5.1,5.8,5.3,5.2
2019,5.4,4.9,5.4,5.2,4.9,5.1,5.1,4.7,4.5,4.4,4.5,4.6
2020,4.6,4.7,3.9,4.5,4.3,4.0,4.0,4.4,4.3,4.3,4.5,4.9
2021,4.5,5.1,5.0,7.0,6.1,6.2,7.5,6.9,6.4,7.1,6.6,7.6
