Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,24,15,21,18,20,13,20,20,24,25,19,18
2002,20,19,13,21,18,18,27,16,18,20,21,18
2003,19,19,28,16,18,17,19,17,17,17,19,21
2004,21,24,20,28,22,16,22,24,20,17,17,18
2005,28,20,19,20,21,23,18,19,19,19,24,20
2006,22,23,25,24,18,18,19,23,20,20,18,16
2007,28,16,21,20,25,26,26,25,27,24,27,20
2008,27,30,26,24,31,20,27,34,42,38,31,44
2009,27,26,28,30,19,20,29,21,20,25,24,29
2010,35,21,18,22,21,27,25,23,21,18,20,23
2011,18,25,20,19,25,19,19,19,17,14,18,16
2012,17,18,15,20,18,21,19,18,16,22,19,17
2013,16,16,16,24,18,15,16,18,21,17,21,19
2014,18,20,21,15,26,17,19,18,17,16,13,14
2015,16,15,18,15,14,15,15,13,16,20,17,18
2016,16,23,14,18,17,14,35,22,13,18,44,16
2017,16,16,16,13,13,13,16,18,19,16,14,15
2018,18,18,19,22,15,20,14,15,13,16,18,17
2019,13,13,16,16,25,16,19,16,18,20,19,20
2020,31,33,247,184,46,34,30,26,18,21,32,30
2021,27,21,18,22,21,22,29,22,19,17,17,14
