Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,23,22,24,25,21,20,26,23,24,27,36,24
2002,21,21,26,22,27,33,33,20,27,26,28,28
2003,29,27,25,22,26,27,24,29,22,19,24,24
2004,24,25,22,23,20,21,18,21,21,23,23,22
2005,23,23,29,18,30,22,24,22,19,20,19,22
2006,20,17,20,22,23,21,20,22,24,24,22,20
2007,21,20,30,23,24,18,23,21,25,20,19,24
2008,20,31,20,21,21,26,22,28,21,21,26,27
2009,26,32,30,24,22,25,25,22,27,33,23,18
2010,19,16,18,31,20,23,19,17,21,18,17,17
2011,22,28,19,21,19,15,21,24,19,19,22,24
2012,20,22,20,18,21,21,19,21,21,27,19,17
2013,20,19,18,17,17,28,19,18,22,22,18,21
2014,20,17,22,21,18,17,16,27,22,18,26,20
2015,21,22,20,24,19,20,19,21,19,31,21,23
2016,19,26,26,25,23,23,17,19,17,19,18,18
2017,18,18,17,17,20,20,20,20,19,19,17,17
2018,20,17,17,20,17,19,20,22,23,25,24,32
2019,21,21,23,20,21,23,22,21,18,16,17,19
2020,18,24,136,78,29,31,22,15,12,15,17,15
2021,20,16,17,13,15,19,15,15,15,14,20,17
