Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,45,43,42,48,43,46,41,43,39,41,34,51
2002,38,39,36,40,36,36,37,40,37,32,35,37
2003,38,42,43,35,37,36,34,33,42,34,39,42
2004,37,42,45,41,39,42,48,46,43,47,46,41
2005,45,43,42,43,46,56,46,49,49,53,39,43
2006,45,45,46,45,50,54,52,52,53,48,53,60
2007,50,53,50,62,50,46,50,47,40,45,37,46
2008,47,47,44,46,39,38,37,36,34,35,33,31
2009,26,25,25,23,23,25,28,24,23,25,24,24
2010,25,27,26,26,28,31,28,31,29,29,28,32
2011,22,29,28,30,38,28,30,30,30,32,33,39
2012,35,36,36,32,32,33,31,30,35,29,30,27
2013,29,35,31,34,31,30,35,31,30,29,32,30
2014,30,31,30,31,36,29,33,31,37,43,39,37
2015,38,37,39,42,38,44,36,43,37,39,35,44
2016,37,41,40,41,42,43,45,44,41,40,37,42
2017,37,39,46,43,48,48,47,49,48,53,52,51
2018,53,51,51,47,57,41,49,44,48,45,46,45
2019,46,54,50,50,50,53,44,56,52,46,54,52
2020,54,51,34,30,27,39,49,53,64,60,53,52
2021,50,57,55,61,50,60,58,62,69,65,78,65
