Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,68,56,69,66,54,52,57,53,49,48,55,51
2002,51,59,53,59,58,49,58,59,69,45,48,59
2003,56,51,51,46,54,49,48,48,50,59,53,51
2004,51,57,58,57,56,57,50,67,50,49,49,49
2005,51,53,57,57,58,68,68,63,74,57,71,80
2006,68,61,57,62,54,60,54,70,51,56,59,63
2007,60,63,62,61,66,67,91,76,65,70,53,58
2008,64,58,60,60,54,48,60,52,53,40,47,46
2009,42,42,31,38,39,38,30,32,38,36,42,33
2010,33,34,35,43,38,40,31,36,41,44,37,30
2011,44,50,47,34,34,36,36,37,34,36,33,35
2012,33,33,35,36,48,36,40,42,39,40,49,42
2013,63,48,46,56,50,48,61,67,48,44,57,62
2014,65,62,60,59,46,61,66,59,66,67,57,58
2015,60,63,70,49,67,70,54,58,62,66,100,69
2016,61,59,75,75,73,66,69,63,68,89,67,76
2017,66,70,62,67,67,66,67,83,75,52,65,66
2018,71,68,75,72,73,76,81,80,72,80,70,62
2019,72,71,68,71,71,76,72,77,79,73,76,82
2020,85,81,58,24,28,62,62,64,67,61,66,79
2021,69,64,71,71,68,79,91,94,106,111,91,83
