Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,29,31,29,31,29,28,29,31,27,32,29,27
2002,37,24,21,23,24,25,23,23,24,23,21,20
2003,23,24,21,21,20,23,19,19,27,20,22,29
2004,21,24,26,25,24,25,27,27,22,27,33,26
2005,31,24,27,35,24,23,28,28,25,27,28,29
2006,27,28,30,27,30,28,29,32,30,29,29,26
2007,29,29,30,23,28,34,29,29,23,29,31,28
2008,29,29,26,29,26,26,26,23,24,24,19,24
2009,19,16,17,18,16,15,15,14,15,16,19,19
2010,19,21,19,20,13,17,18,16,18,16,23,16
2011,16,14,18,12,18,17,15,17,18,17,16,16
2012,20,19,17,21,17,19,17,18,14,15,17,18
2013,22,18,17,20,19,21,19,19,21,21,17,13
2014,16,19,19,16,18,18,22,18,21,25,24,24
2015,21,18,26,19,20,24,24,30,23,20,23,23
2016,25,29,24,20,25,26,28,30,27,25,29,26
2017,31,34,32,33,30,24,23,24,25,29,29,26
2018,21,25,26,28,26,28,27,29,27,23,23,27
2019,24,24,30,25,30,32,29,31,26,31,28,25
2020,34,30,26,22,18,25,27,23,27,27,29,29
2021,27,26,32,29,24,34,38,36,43,35,47,38
