Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,105,103,96,92,84,92,109,108,99,112,102,79
2002,87,92,83,83,91,92,80,83,85,91,90,90
2003,96,74,83,80,80,72,75,70,73,71,74,94
2004,71,79,77,85,75,84,86,88,80,81,114,92
2005,83,101,108,100,90,96,100,92,99,94,78,93
2006,100,91,95,80,103,102,101,96,104,100,132,106
2007,105,94,93,97,94,90,88,101,76,89,84,99
2008,84,94,92,80,79,86,66,99,80,78,65,47
2009,57,66,63,59,57,60,54,49,43,48,51,56
2010,55,53,54,57,66,55,56,65,63,63,64,67
2011,57,65,58,53,51,58,74,59,79,59,66,53
2012,58,55,64,67,71,63,61,65,63,57,53,61
2013,81,73,60,67,64,63,63,67,59,74,86,69
2014,65,75,73,75,74,92,90,81,89,85,92,91
2015,101,96,123,99,95,91,99,100,96,102,92,108
2016,103,110,98,106,119,116,110,114,120,106,112,110
2017,113,100,113,109,141,114,122,120,135,110,110,108
2018,109,124,144,111,117,114,111,109,110,129,121,119
2019,106,115,118,129,120,113,147,121,95,119,127,134
2020,142,126,82,84,89,85,122,150,128,124,130,139
2021,134,135,131,190,133,184,157,195,185,153,199,172
