Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,61,63,52,53,53,48,48,54,53,47,49,44
2002,50,46,46,52,43,49,52,52,45,46,51,55
2003,45,53,50,38,52,51,51,44,47,50,51,54
2004,50,56,58,50,44,56,53,51,57,50,56,55
2005,72,52,47,57,72,57,58,61,60,57,50,57
2006,56,52,55,42,54,55,48,52,49,56,55,53
2007,48,52,48,53,48,47,51,58,44,49,44,48
2008,46,50,46,52,41,43,44,47,41,37,36,40
2009,40,49,35,32,38,30,36,31,31,39,37,38
2010,40,39,42,35,36,44,39,37,43,35,39,33
2011,27,32,30,30,34,35,32,47,33,26,39,31
2012,36,36,41,38,34,37,35,40,35,42,39,43
2013,39,50,35,44,40,35,43,35,40,37,33,54
2014,38,43,46,44,40,44,42,44,53,43,41,41
2015,44,40,36,42,48,45,44,48,45,42,48,57
2016,47,49,44,59,61,60,51,57,47,55,48,43
2017,51,53,54,50,53,43,63,60,56,58,55,58
2018,46,53,55,50,50,52,55,54,56,61,72,49
2019,65,73,65,64,63,74,60,60,64,57,63,61
2020,68,56,53,37,42,45,52,44,43,55,51,45
2021,50,52,52,67,58,64,69,66,64,66,69,67
