Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,12,11,12,13,11,11,11,10,9,11,10,9
2002,11,11,10,11,10,10,11,12,11,11,11,12
2003,13,11,11,11,11,10,10,9,11,15,11,10
2004,10,11,13,12,12,13,12,18,11,12,11,13
2005,11,13,13,13,13,14,11,15,15,14,15,14
2006,14,14,14,12,12,13,14,13,13,13,14,13
2007,16,13,13,14,14,14,14,13,11,15,12,13
2008,13,12,13,12,14,12,12,13,12,11,10,11
2009,10,10,9,8,7,8,8,9,8,8,10,8
2010,7,9,8,9,8,8,7,8,8,8,9,7
2011,8,8,9,8,9,8,8,9,9,8,9,9
2012,7,8,9,10,9,9,9,8,8,10,10,9
2013,10,10,10,10,10,10,11,11,10,11,11,11
2014,11,11,11,12,11,10,14,12,12,13,11,11
2015,13,13,13,11,13,12,11,12,13,12,13,14
2016,12,12,13,14,13,14,13,13,14,12,12,13
2017,14,13,13,14,15,16,14,13,14,14,14,15
2018,14,14,14,15,14,16,15,16,14,14,14,14
2019,15,15,15,14,15,14,16,15,15,16,15,15
2020,15,13,10,9,5,10,14,14,13,13,14,12
2021,16,13,15,15,9,14,15,16,21,18,21,17
