Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,41,48,40,40,42,35,40,43,41,44,35,33
2002,33,33,30,33,33,33,36,31,33,34,34,35
2003,38,33,32,26,28,31,31,31,30,29,32,32
2004,32,34,38,35,32,34,32,33,33,34,40,34
2005,37,35,38,34,35,34,34,38,33,36,34,40
2006,36,41,40,40,46,42,42,41,43,52,39,45
2007,44,47,43,44,45,38,43,43,40,40,31,41
2008,37,37,35,34,33,38,34,33,31,28,30,26
2009,31,27,28,24,22,24,24,23,22,26,25,24
2010,23,24,27,28,28,29,23,29,27,29,35,34
2011,25,31,26,27,28,27,29,27,34,28,33,30
2012,27,37,30,29,32,28,32,32,28,27,26,28
2013,35,33,33,37,31,34,33,33,34,36,33,32
2014,35,35,37,32,33,33,32,36,44,37,36,37
2015,35,34,33,38,38,35,37,37,32,30,34,51
2016,39,35,41,37,36,37,35,39,37,37,37,35
2017,39,37,37,38,36,41,42,34,43,46,44,41
2018,40,48,43,49,54,52,52,41,51,50,54,58
2019,51,66,56,47,50,45,47,52,50,44,45,46
2020,46,39,35,36,25,40,39,40,41,44,41,43
2021,51,43,43,54,40,45,57,51,54,51,60,54
