Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,40,39,39,41,39,39,35,31,28,32,35,29
2002,32,33,32,33,31,32,31,36,34,23,34,33
2003,38,33,34,32,32,30,32,30,33,38,32,30
2004,36,34,39,38,33,38,41,42,40,35,34,40
2005,36,40,39,37,46,41,37,42,53,43,45,43
2006,41,49,35,41,38,40,38,41,37,43,39,38
2007,40,36,41,40,40,45,47,40,33,39,35,47
2008,41,41,42,40,48,39,44,37,39,40,38,37
2009,32,35,32,24,18,24,19,27,26,21,30,18
2010,24,27,24,24,25,22,19,22,22,21,23,20
2011,25,19,24,23,21,24,26,26,22,24,24,27
2012,21,19,23,26,25,27,29,23,17,28,23,19
2013,27,30,24,27,25,26,27,29,29,29,29,30
2014,28,29,32,28,33,27,34,36,31,36,31,29
2015,35,34,37,36,33,36,31,34,38,34,42,41
2016,37,36,45,44,44,38,42,39,50,38,37,42
2017,50,43,45,42,47,49,45,46,45,47,46,47
2018,48,47,47,46,49,46,54,55,55,52,55,49
2019,55,56,51,56,50,59,61,57,50,61,49,50
2020,51,53,43,27,28,32,41,38,40,40,39,49
2021,49,46,57,58,57,50,49,55,67,58,59,60
