Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,11,10,10,11,10,10,10,10,10,11,10,9
2002,12,8,8,9,9,9,8,8,7,8,8,7
2003,7,8,8,7,7,8,7,7,8,8,8,8
2004,8,8,9,8,8,9,9,8,8,8,9,10
2005,11,8,9,10,9,9,9,11,10,10,9,9
2006,10,9,9,8,10,9,11,11,11,10,10,9
2007,8,9,9,8,9,9,9,9,8,9,10,8
2008,10,10,8,10,8,9,10,7,7,8,7,7
2009,6,6,6,6,5,5,5,4,6,6,6,5
2010,6,6,6,7,6,7,6,6,6,6,6,7
2011,5,6,6,5,6,6,5,6,6,6,7,7
2012,9,7,7,7,6,7,7,7,6,6,6,6
2013,7,7,6,8,7,7,7,7,7,7,7,6
2014,7,7,8,6,8,7,8,7,8,7,7,8
2015,7,8,8,7,9,9,8,9,8,8,9,9
2016,9,9,9,8,8,9,8,10,9,9,10,8
2017,10,9,10,12,9,9,10,9,10,10,9,10
2018,9,10,10,10,10,11,10,9,10,9,9,10
2019,9,9,14,10,10,11,9,10,10,11,9,9
2020,9,10,8,8,4,7,8,8,10,10,10,11
2021,9,10,11,13,9,11,11,12,16,14,15,15
